Rank,Score,Trading Mode,Direction,Take Profit,Stop Loss,Leverage,Timeframes,Total Trades,Win Rate %,Total PnL,Avg PnL,Max Drawdown %,Profit Factor,Sharpe Ratio,Final Capital
1,17.13,cascade,both,0.9,0.4,1,"4h(0.37%)+2h(0.21%)",34,26.5,-7.16,-0.21,7.2,0.49,-0.36,92.84
2,17.13,cascade,both,0.9,0.4,1,"4h(0.37%)+2h(0.22%)",34,26.5,-7.16,-0.21,7.2,0.49,-0.36,92.84
3,17.13,cascade,both,0.9,0.4,1,"4h(0.37%)+2h(0.23%)",34,26.5,-7.16,-0.21,7.2,0.49,-0.36,92.84
4,17.13,cascade,both,0.9,0.4,1,"4h(0.37%)+2h(0.24%)",34,26.5,-7.16,-0.21,7.2,0.49,-0.36,92.84
5,16.78,cascade,both,0.9,0.4,1,"4h(0.37%)+2h(0.2%)",35,25.7,-7.65,-0.22,7.7,0.47,-0.37,92.35
6,16.77,cascade,both,0.9,0.4,1,"4h(0.33%)+2h(0.21%)",35,25.7,-7.65,-0.22,7.7,0.47,-0.37,92.35
7,16.77,cascade,both,0.9,0.4,1,"4h(0.33%)+2h(0.22%)",35,25.7,-7.65,-0.22,7.7,0.47,-0.37,92.35
8,16.77,cascade,both,0.9,0.4,1,"4h(0.33%)+2h(0.23%)",35,25.7,-7.65,-0.22,7.7,0.47,-0.37,92.35
9,16.77,cascade,both,0.9,0.4,1,"4h(0.33%)+2h(0.24%)",35,25.7,-7.65,-0.22,7.7,0.47,-0.37,92.35
10,16.77,cascade,both,0.9,0.4,1,"4h(0.34%)+2h(0.21%)",35,25.7,-7.65,-0.22,7.7,0.47,-0.37,92.35
11,16.77,cascade,both,0.9,0.4,1,"4h(0.34%)+2h(0.22%)",35,25.7,-7.65,-0.22,7.7,0.47,-0.37,92.35
12,16.77,cascade,both,0.9,0.4,1,"4h(0.34%)+2h(0.23%)",35,25.7,-7.65,-0.22,7.7,0.47,-0.37,92.35
13,16.77,cascade,both,0.9,0.4,1,"4h(0.34%)+2h(0.24%)",35,25.7,-7.65,-0.22,7.7,0.47,-0.37,92.35
14,16.77,cascade,both,0.9,0.4,1,"4h(0.35%)+2h(0.21%)",35,25.7,-7.65,-0.22,7.7,0.47,-0.37,92.35
15,16.77,cascade,both,0.9,0.4,1,"4h(0.35%)+2h(0.22%)",35,25.7,-7.65,-0.22,7.7,0.47,-0.37,92.35
16,16.77,cascade,both,0.9,0.4,1,"4h(0.35%)+2h(0.23%)",35,25.7,-7.65,-0.22,7.7,0.47,-0.37,92.35
17,16.77,cascade,both,0.9,0.4,1,"4h(0.35%)+2h(0.24%)",35,25.7,-7.65,-0.22,7.7,0.47,-0.37,92.35
18,16.77,cascade,both,0.9,0.4,1,"4h(0.36%)+2h(0.21%)",35,25.7,-7.65,-0.22,7.7,0.47,-0.37,92.35
19,16.77,cascade,both,0.9,0.4,1,"4h(0.36%)+2h(0.22%)",35,25.7,-7.65,-0.22,7.7,0.47,-0.37,92.35
20,16.77,cascade,both,0.9,0.4,1,"4h(0.36%)+2h(0.23%)",35,25.7,-7.65,-0.22,7.7,0.47,-0.37,92.35
21,16.77,cascade,both,0.9,0.4,1,"4h(0.36%)+2h(0.24%)",35,25.7,-7.65,-0.22,7.7,0.47,-0.37,92.35
22,16.63,cascade,both,0.9,0.4,1,"4h(0.24%)+2h(0.21%)",36,25.0,-7.65,-0.21,7.7,0.47,-0.37,92.35
23,16.63,cascade,both,0.9,0.4,1,"4h(0.24%)+2h(0.22%)",36,25.0,-7.65,-0.21,7.7,0.47,-0.37,92.35
24,16.63,cascade,both,0.9,0.4,1,"4h(0.24%)+2h(0.23%)",36,25.0,-7.65,-0.21,7.7,0.47,-0.37,92.35
25,16.63,cascade,both,0.9,0.4,1,"4h(0.24%)+2h(0.24%)",36,25.0,-7.65,-0.21,7.7,0.47,-0.37,92.35
26,16.63,cascade,both,0.9,0.4,1,"4h(0.25%)+2h(0.21%)",36,25.0,-7.65,-0.21,7.7,0.47,-0.37,92.35
27,16.63,cascade,both,0.9,0.4,1,"4h(0.25%)+2h(0.22%)",36,25.0,-7.65,-0.21,7.7,0.47,-0.37,92.35
28,16.63,cascade,both,0.9,0.4,1,"4h(0.25%)+2h(0.23%)",36,25.0,-7.65,-0.21,7.7,0.47,-0.37,92.35
29,16.63,cascade,both,0.9,0.4,1,"4h(0.25%)+2h(0.24%)",36,25.0,-7.65,-0.21,7.7,0.47,-0.37,92.35
30,16.63,cascade,both,0.9,0.4,1,"4h(0.26%)+2h(0.21%)",36,25.0,-7.65,-0.21,7.7,0.47,-0.37,92.35
31,16.63,cascade,both,0.9,0.4,1,"4h(0.26%)+2h(0.22%)",36,25.0,-7.65,-0.21,7.7,0.47,-0.37,92.35
32,16.63,cascade,both,0.9,0.4,1,"4h(0.26%)+2h(0.23%)",36,25.0,-7.65,-0.21,7.7,0.47,-0.37,92.35
33,16.63,cascade,both,0.9,0.4,1,"4h(0.26%)+2h(0.24%)",36,25.0,-7.65,-0.21,7.7,0.47,-0.37,92.35
34,16.63,cascade,both,0.9,0.4,1,"4h(0.27%)+2h(0.21%)",36,25.0,-7.65,-0.21,7.7,0.47,-0.37,92.35
35,16.63,cascade,both,0.9,0.4,1,"4h(0.27%)+2h(0.22%)",36,25.0,-7.65,-0.21,7.7,0.47,-0.37,92.35
36,16.63,cascade,both,0.9,0.4,1,"4h(0.27%)+2h(0.23%)",36,25.0,-7.65,-0.21,7.7,0.47,-0.37,92.35
37,16.63,cascade,both,0.9,0.4,1,"4h(0.27%)+2h(0.24%)",36,25.0,-7.65,-0.21,7.7,0.47,-0.37,92.35
38,16.63,cascade,both,0.9,0.4,1,"4h(0.28%)+2h(0.21%)",36,25.0,-7.65,-0.21,7.7,0.47,-0.37,92.35
39,16.63,cascade,both,0.9,0.4,1,"4h(0.28%)+2h(0.22%)",36,25.0,-7.65,-0.21,7.7,0.47,-0.37,92.35
40,16.63,cascade,both,0.9,0.4,1,"4h(0.28%)+2h(0.23%)",36,25.0,-7.65,-0.21,7.7,0.47,-0.37,92.35
41,16.63,cascade,both,0.9,0.4,1,"4h(0.28%)+2h(0.24%)",36,25.0,-7.65,-0.21,7.7,0.47,-0.37,92.35
42,16.63,cascade,both,0.9,0.4,1,"4h(0.29%)+2h(0.21%)",36,25.0,-7.65,-0.21,7.7,0.47,-0.37,92.35
43,16.63,cascade,both,0.9,0.4,1,"4h(0.29%)+2h(0.22%)",36,25.0,-7.65,-0.21,7.7,0.47,-0.37,92.35
44,16.63,cascade,both,0.9,0.4,1,"4h(0.29%)+2h(0.23%)",36,25.0,-7.65,-0.21,7.7,0.47,-0.37,92.35
