Rank,Score,Trading Mode,Direction,Take Profit,Stop Loss,Leverage,Timeframes,Total Trades,Win Rate %,Total PnL,Avg PnL,Max Drawdown %,Profit Factor,Sharpe Ratio,Final Capital
1,14.86,cascade,both,0.9,0.4,1,"4h(0.17%)",62,24.2,-13.80,-0.22,14.9,0.45,-0.40,86.20
2,14.86,cascade,both,0.9,0.4,1,"4h(0.18%)",62,24.2,-13.80,-0.22,14.9,0.45,-0.40,86.20
3,14.86,cascade,both,0.9,0.4,1,"4h(0.19%)",62,24.2,-13.80,-0.22,14.9,0.45,-0.40,86.20
4,14.75,cascade,both,0.9,0.4,1,"4h(0.11%)",63,23.8,-14.17,-0.22,15.0,0.45,-0.40,85.83
5,14.29,cascade,both,0.9,0.4,1,"4h(0.1%)",65,23.1,-15.14,-0.23,15.9,0.43,-0.43,84.86
6,14.12,cascade,both,0.9,0.4,1,"4h(0.16%)",62,22.6,-14.96,-0.24,15.7,0.41,-0.45,85.04
7,13.91,cascade,both,0.9,0.4,1,"4h(0.12%)",63,22.2,-15.41,-0.24,16.2,0.41,-0.46,84.59
8,13.91,cascade,both,0.9,0.4,1,"4h(0.13%)",63,22.2,-15.41,-0.24,16.2,0.41,-0.46,84.59
9,13.91,cascade,both,0.9,0.4,1,"4h(0.14%)",63,22.2,-15.41,-0.24,16.2,0.41,-0.46,84.59
10,13.91,cascade,both,0.9,0.4,1,"4h(0.15%)",63,22.2,-15.41,-0.24,16.2,0.41,-0.46,84.59
