Rank,Score,Trading Mode,Direction,Take Profit,Stop Loss,Leverage,Timeframes,Detailed Timeframes,Total Trades,Win Rate %,Total PnL,Avg PnL,Max Drawdown %,Profit Factor,Sharpe Ratio,Final Capital
1,21.40,cascade,both,0.9,0.4,1,"2h(0.1%,L1,B4)","2h: swing=0.1%, lookback=1, minLegBars=4",41,34.1,-3.08,-0.08,3.7,0.79,-0.11,96.92
2,19.60,cascade,both,0.9,0.4,1,"2h(0.1%,L3,B2)","2h: swing=0.1%, lookback=3, minLegBars=2",61,32.8,-6.85,-0.11,8.0,0.70,-0.18,93.15
3,19.60,cascade,both,0.9,0.4,1,"2h(0.2%,L3,B2)","2h: swing=0.2%, lookback=3, minLegBars=2",61,32.8,-6.85,-0.11,8.0,0.70,-0.18,93.15
4,19.03,cascade,both,0.9,0.4,1,"2h(0.4%,L2,B2)","2h: swing=0.4%, lookback=2, minLegBars=2",60,31.7,-7.74,-0.13,8.5,0.66,-0.21,92.26
5,18.99,cascade,both,0.9,0.4,1,"2h(0.1%,L1,B5)","2h: swing=0.1%, lookback=1, minLegBars=5",33,30.3,-4.91,-0.15,5.7,0.61,-0.24,95.09
6,18.58,cascade,both,0.9,0.4,1,"2h(0.6%,L2,B5)","2h: swing=0.6%, lookback=2, minLegBars=5",28,28.6,-4.89,-0.17,4.9,0.58,-0.27,95.11
7,18.45,cascade,both,0.9,0.4,1,"2h(0.3%,L2,B2)","2h: swing=0.3%, lookback=2, minLegBars=2",62,30.6,-8.72,-0.14,9.5,0.63,-0.23,91.28
8,18.31,cascade,both,0.9,0.4,1,"2h(0.2%,L1,B3)","2h: swing=0.2%, lookback=1, minLegBars=3",47,29.8,-7.20,-0.15,8.4,0.60,-0.25,92.80
9,18.04,cascade,both,0.9,0.4,1,"2h(0.4%,L2,B5)","2h: swing=0.4%, lookback=2, minLegBars=5",29,27.6,-5.51,-0.19,5.5,0.54,-0.30,94.49
10,18.02,cascade,both,0.9,0.4,1,"2h(0.1%,L2,B2)","2h: swing=0.1%, lookback=2, minLegBars=2",63,30.2,-9.54,-0.15,10.3,0.61,-0.25,90.46
11,17.84,cascade,both,0.9,0.4,1,"2h(0.1%,L5,B4)","2h: swing=0.1%, lookback=5, minLegBars=4",32,28.1,-6.03,-0.19,7.0,0.54,-0.31,93.97
12,17.84,cascade,both,0.9,0.4,1,"2h(0.2%,L5,B4)","2h: swing=0.2%, lookback=5, minLegBars=4",32,28.1,-6.03,-0.19,7.0,0.54,-0.31,93.97
13,17.84,cascade,both,0.9,0.4,1,"2h(0.3%,L5,B4)","2h: swing=0.3%, lookback=5, minLegBars=4",32,28.1,-6.03,-0.19,7.0,0.54,-0.31,93.97
14,17.84,cascade,both,0.9,0.4,1,"2h(0.4%,L5,B4)","2h: swing=0.4%, lookback=5, minLegBars=4",32,28.1,-6.03,-0.19,7.0,0.54,-0.31,93.97
15,17.76,cascade,both,0.9,0.4,1,"2h(0.2%,L2,B2)","2h: swing=0.2%, lookback=2, minLegBars=2",64,29.7,-10.00,-0.16,10.7,0.60,-0.26,90.00
16,17.63,cascade,both,0.9,0.4,1,"2h(0.7%,L4,B2)","2h: swing=0.7%, lookback=4, minLegBars=2",58,29.3,-9.36,-0.16,10.5,0.58,-0.27,90.64
17,17.57,cascade,both,0.9,0.4,1,"2h(0.6%,L3,B4)","2h: swing=0.6%, lookback=3, minLegBars=4",33,27.3,-6.68,-0.20,6.7,0.52,-0.33,93.32
18,17.54,cascade,both,0.9,0.4,1,"2h(0.4%,L3,B2)","2h: swing=0.4%, lookback=3, minLegBars=2",59,28.8,-9.54,-0.16,10.5,0.58,-0.27,90.46
19,17.46,cascade,both,0.9,0.4,1,"2h(0.2%,L1,B4)","2h: swing=0.2%, lookback=1, minLegBars=4",38,26.3,-6.97,-0.18,7.0,0.54,-0.30,93.03
20,17.43,cascade,both,0.9,0.4,1,"2h(0.5%,L3,B2)","2h: swing=0.5%, lookback=3, minLegBars=2",59,28.8,-9.65,-0.16,10.8,0.58,-0.27,90.35
21,17.43,cascade,both,0.9,0.4,1,"2h(0.6%,L3,B2)","2h: swing=0.6%, lookback=3, minLegBars=2",59,28.8,-9.66,-0.16,10.8,0.58,-0.27,90.34
22,17.31,cascade,both,0.9,0.4,1,"2h(0.2%,L1,B2)","2h: swing=0.2%, lookback=1, minLegBars=2",67,28.4,-10.53,-0.16,11.3,0.58,-0.26,89.47
23,17.25,cascade,both,0.9,0.4,1,"2h(0.4%,L1,B2)","2h: swing=0.4%, lookback=1, minLegBars=2",53,28.3,-9.56,-0.18,10.3,0.55,-0.30,90.44
