Rank,Score,Trading Mode,Direction,Take Profit,Stop Loss,Leverage,Timeframes,Detailed Timeframes,Total Trades,Win Rate %,Total PnL,Avg PnL,Max Drawdown %,Profit Factor,Sharpe Ratio,Final Capital
1,13068.31,cascade,both,1,0.4,80,"1m(0.1%,L3,B1,OF)+30m(0.7%,L1,B5,OF)+1h(0.5%,L2,B2,OF)","1m: swing=0.1%, lookback=3, minLegBars=1, opposite=false | 30m: swing=0.7%, lookback=1, minLegBars=5, opposite=false | 1h: swing=0.5%, lookback=2, minLegBars=2, opposite=false",7,85.7,3256.09,465.16,37.3,24.32,0.85,3356.09
2,5457.31,cascade,both,1,0.4,80,"1m(0.1%,L3,B1,OF)+30m(0.7%,L1,B4,OF)+1h(0.5%,L2,B2,OF)","1m: swing=0.1%, lookback=3, minLegBars=1, opposite=false | 30m: swing=0.7%, lookback=1, minLegBars=4, opposite=false | 1h: swing=0.5%, lookback=2, minLegBars=2, opposite=false",9,66.7,1355.75,150.64,37.3,2.52,0.33,1455.75
3,4192.14,cascade,both,1,0.4,80,"1m(0.1%,L3,B1,OF)+30m(0.5%,L1,B4,OF)+1h(0.5%,L2,B2,OF)","1m: swing=0.1%, lookback=3, minLegBars=1, opposite=false | 30m: swing=0.5%, lookback=1, minLegBars=4, opposite=false | 1h: swing=0.5%, lookback=2, minLegBars=2, opposite=false",7,71.4,1037.91,148.27,37.3,7.62,0.74,1137.91
4,4037.95,cascade,both,1,0.4,80,"1m(0.1%,L3,B1,OF)+30m(0.5%,L3,B3,OF)+1h(0.5%,L2,B2,OF)","1m: swing=0.1%, lookback=3, minLegBars=1, opposite=false | 30m: swing=0.5%, lookback=3, minLegBars=3, opposite=false | 1h: swing=0.5%, lookback=2, minLegBars=2, opposite=false",20,55.0,1004.28,50.21,79.9,1.39,0.11,1104.28
5,3958.07,cascade,both,1,0.4,80,"1m(0.1%,L3,B1,OF)+30m(0.6%,L3,B3,OF)+1h(0.5%,L2,B2,OF)","1m: swing=0.1%, lookback=3, minLegBars=1, opposite=false | 30m: swing=0.6%, lookback=3, minLegBars=3, opposite=false | 1h: swing=0.5%, lookback=2, minLegBars=2, opposite=false",20,55.0,984.32,49.22,79.9,1.38,0.11,1084.32
6,3731.40,cascade,both,1,0.4,80,"1m(0.1%,L3,B1,OF)+30m(0.7%,L1,B3,OF)+1h(0.5%,L2,B2,OF)","1m: swing=0.1%, lookback=3, minLegBars=1, opposite=false | 30m: swing=0.7%, lookback=1, minLegBars=3, opposite=false | 1h: swing=0.5%, lookback=2, minLegBars=2, opposite=false",9,66.7,925.50,102.83,71.2,2.18,0.31,1025.50
7,2402.58,cascade,both,1,0.4,80,"1m(0.1%,L3,B1,OF)+30m(0.5%,L1,B3,OF)+1h(0.5%,L2,B2,OF)","1m: swing=0.1%, lookback=3, minLegBars=1, opposite=false | 30m: swing=0.5%, lookback=1, minLegBars=3, opposite=false | 1h: swing=0.5%, lookback=2, minLegBars=2, opposite=false",10,60.0,594.56,59.46,71.2,1.68,0.23,694.56
8,2334.12,cascade,both,1,0.4,80,"1m(0.1%,L3,B1,OF)+30m(0.5%,L3,B4,OF)+1h(0.5%,L2,B2,OF)","1m: swing=0.1%, lookback=3, minLegBars=1, opposite=false | 30m: swing=0.5%, lookback=3, minLegBars=4, opposite=false | 1h: swing=0.5%, lookback=2, minLegBars=2, opposite=false",16,56.3,578.52,36.16,79.2,1.25,0.08,678.52
9,2196.77,cascade,both,1,0.4,80,"1m(0.1%,L3,B1,OF)+30m(0.7%,L1,B2,OF)+1h(0.5%,L2,B2,OF)","1m: swing=0.1%, lookback=3, minLegBars=1, opposite=false | 30m: swing=0.7%, lookback=1, minLegBars=2, opposite=false | 1h: swing=0.5%, lookback=2, minLegBars=2, opposite=false",10,60.0,542.77,54.28,81.9,1.86,0.26,642.77
10,2118.57,cascade,both,1,0.4,80,"1m(0.1%,L3,B1,OF)+30m(0.7%,L3,B5,OF)+1h(0.5%,L2,B2,OF)","1m: swing=0.1%, lookback=3, minLegBars=1, opposite=false | 30m: swing=0.7%, lookback=3, minLegBars=5, opposite=false | 1h: swing=0.5%, lookback=2, minLegBars=2, opposite=false",13,53.8,524.53,40.35,61.1,1.35,0.13,624.53
11,1816.32,cascade,both,1,0.4,80,"1m(0.1%,L3,B1,OF)+30m(0.4%,L4,B2,OF)+1h(0.5%,L2,B2,OF)","1m: swing=0.1%, lookback=3, minLegBars=1, opposite=false | 30m: swing=0.4%, lookback=4, minLegBars=2, opposite=false | 1h: swing=0.5%, lookback=2, minLegBars=2, opposite=false",23,47.8,449.88,19.56,85.8,1.07,0.03,549.88
12,1630.41,cascade,both,1,0.4,80,"1m(0.1%,L3,B1,OF)+30m(0.6%,L1,B4,OF)+1h(0.5%,L2,B2,OF)","1m: swing=0.1%, lookback=3, minLegBars=1, opposite=false | 30m: swing=0.6%, lookback=1, minLegBars=4, opposite=false | 1h: swing=0.5%, lookback=2, minLegBars=2, opposite=false",9,55.6,401.33,44.59,59.2,1.89,0.27,501.33
13,1602.98,cascade,both,1,0.4,80,"1m(0.1%,L3,B1,OF)+30m(0.7%,L3,B3,OF)+1h(0.5%,L2,B2,OF)","1m: swing=0.1%, lookback=3, minLegBars=1, opposite=false | 30m: swing=0.7%, lookback=3, minLegBars=3, opposite=false | 1h: swing=0.5%, lookback=2, minLegBars=2, opposite=false",19,47.4,396.20,20.85,79.8,1.24,0.09,496.20
14,1573.13,cascade,both,1,0.4,80,"1m(0.1%,L3,B1,OF)+30m(0.4%,L1,B4,OF)+1h(0.5%,L2,B2,OF)","1m: swing=0.1%, lookback=3, minLegBars=1, opposite=false | 30m: swing=0.4%, lookback=1, minLegBars=4, opposite=false | 1h: swing=0.5%, lookback=2, minLegBars=2, opposite=false",13,53.8,388.24,29.86,72.3,1.33,0.12,488.24
15,1476.71,cascade,both,1,0.4,80,"1m(0.1%,L3,B1,OF)+30m(0.1%,L5,B2,OF)+1h(0.5%,L2,B2,OF)","1m: swing=0.1%, lookback=3, minLegBars=1, opposite=false | 30m: swing=0.1%, lookback=5, minLegBars=2, opposite=false | 1h: swing=0.5%, lookback=2, minLegBars=2, opposite=false",19,47.4,364.60,19.19,92.2,1.26,0.09,464.60
16,1476.71,cascade,both,1,0.4,80,"1m(0.1%,L3,B1,OF)+30m(0.2%,L5,B2,OF)+1h(0.5%,L2,B2,OF)","1m: swing=0.1%, lookback=3, minLegBars=1, opposite=false | 30m: swing=0.2%, lookback=5, minLegBars=2, opposite=false | 1h: swing=0.5%, lookback=2, minLegBars=2, opposite=false",19,47.4,364.60,19.19,92.2,1.26,0.09,464.60
