Rank,Score,Trading Mode,Direction,Take Profit,Stop Loss,Leverage,Timeframes,Detailed Timeframes,Total Trades,Win Rate %,Total PnL,Avg PnL,Max Drawdown %,Profit Factor,Sharpe Ratio,Final Capital
1,13625.16,cascade,both,0.9,0.4,80,"1m(0.1%,L1,B1,OF)+10m(0.2%,L3,B4,OF)+30m(0.2%,L3,B2,OF)","1m: swing=0.1%, lookback=1, minLegBars=1, opposite=false | 10m: swing=0.2%, lookback=3, minLegBars=4, opposite=false | 30m: swing=0.2%, lookback=3, minLegBars=2, opposite=false",31,54.8,3400.90,109.71,80.8,1.50,0.12,3500.90
2,12227.11,cascade,both,0.9,0.4,80,"1m(0.1%,L1,B1,OF)+10m(0.2%,L4,B4,OF)+30m(0.2%,L3,B2,OF)","1m: swing=0.1%, lookback=1, minLegBars=1, opposite=false | 10m: swing=0.2%, lookback=4, minLegBars=4, opposite=false | 30m: swing=0.2%, lookback=3, minLegBars=2, opposite=false",31,54.8,3051.56,98.44,71.9,1.40,0.11,3151.56
3,10059.12,cascade,both,0.9,0.4,80,"1m(0.1%,L1,B1,OF)+10m(0.3%,L4,B4,OF)+30m(0.2%,L3,B2,OF)","1m: swing=0.1%, lookback=1, minLegBars=1, opposite=false | 10m: swing=0.3%, lookback=4, minLegBars=4, opposite=false | 30m: swing=0.2%, lookback=3, minLegBars=2, opposite=false",26,57.7,2508.78,96.49,85.3,1.74,0.17,2608.78
4,9754.05,cascade,both,0.9,0.4,80,"1m(0.1%,L1,B1,OF)+10m(0.2%,L5,B3,OF)+30m(0.2%,L3,B2,OF)","1m: swing=0.1%, lookback=1, minLegBars=1, opposite=false | 10m: swing=0.2%, lookback=5, minLegBars=3, opposite=false | 30m: swing=0.2%, lookback=3, minLegBars=2, opposite=false",32,53.1,2433.34,76.04,91.2,1.41,0.13,2533.34
5,9229.50,cascade,both,0.9,0.4,80,"1m(0.1%,L1,B1,OF)+10m(0.1%,L4,B4,OF)+30m(0.2%,L3,B2,OF)","1m: swing=0.1%, lookback=1, minLegBars=1, opposite=false | 10m: swing=0.1%, lookback=4, minLegBars=4, opposite=false | 30m: swing=0.2%, lookback=3, minLegBars=2, opposite=false",25,56.0,2300.52,92.02,76.4,2.25,0.25,2400.52
6,6883.79,cascade,both,0.9,0.4,80,"1m(0.1%,L1,B1,OF)+10m(0.4%,L4,B2,OF)+30m(0.2%,L3,B2,OF)","1m: swing=0.1%, lookback=1, minLegBars=1, opposite=false | 10m: swing=0.4%, lookback=4, minLegBars=2, opposite=false | 30m: swing=0.2%, lookback=3, minLegBars=2, opposite=false",39,51.3,1715.90,44.00,71.4,1.40,0.12,1815.90
7,5455.84,cascade,both,0.9,0.4,80,"1m(0.1%,L1,B1,OF)+10m(0.1%,L5,B3,OF)+30m(0.2%,L3,B2,OF)","1m: swing=0.1%, lookback=1, minLegBars=1, opposite=false | 10m: swing=0.1%, lookback=5, minLegBars=3, opposite=false | 30m: swing=0.2%, lookback=3, minLegBars=2, opposite=false",31,51.6,1358.93,43.84,91.2,1.37,0.13,1458.93
8,3624.16,cascade,both,0.9,0.4,80,"1m(0.1%,L1,B1,OF)+10m(0.5%,L2,B1,OF)+30m(0.2%,L3,B2,OF)","1m: swing=0.1%, lookback=1, minLegBars=1, opposite=false | 10m: swing=0.5%, lookback=2, minLegBars=1, opposite=false | 30m: swing=0.2%, lookback=3, minLegBars=2, opposite=false",31,51.6,901.06,29.07,77.4,1.35,0.12,1001.06
9,3611.33,cascade,both,0.9,0.4,80,"1m(0.1%,L1,B1,OF)+10m(0.6%,L4,B2,OF)+30m(0.2%,L3,B2,OF)","1m: swing=0.1%, lookback=1, minLegBars=1, opposite=false | 10m: swing=0.6%, lookback=4, minLegBars=2, opposite=false | 30m: swing=0.2%, lookback=3, minLegBars=2, opposite=false",31,51.6,897.76,28.96,85.0,1.39,0.15,997.76
10,3412.28,cascade,both,0.9,0.4,80,"1m(0.1%,L1,B1,OF)+10m(0.1%,L5,B4,OF)+30m(0.2%,L3,B2,OF)","1m: swing=0.1%, lookback=1, minLegBars=1, opposite=false | 10m: swing=0.1%, lookback=5, minLegBars=4, opposite=false | 30m: swing=0.2%, lookback=3, minLegBars=2, opposite=false",31,51.6,848.46,27.37,83.4,1.17,0.06,948.46
11,3412.28,cascade,both,0.9,0.4,80,"1m(0.1%,L1,B1,OF)+10m(0.2%,L5,B4,OF)+30m(0.2%,L3,B2,OF)","1m: swing=0.1%, lookback=1, minLegBars=1, opposite=false | 10m: swing=0.2%, lookback=5, minLegBars=4, opposite=false | 30m: swing=0.2%, lookback=3, minLegBars=2, opposite=false",31,51.6,848.46,27.37,83.4,1.17,0.06,948.46
12,2978.70,cascade,both,0.9,0.4,80,"1m(0.1%,L1,B1,OF)+10m(0.4%,L2,B1,OF)+30m(0.2%,L3,B2,OF)","1m: swing=0.1%, lookback=1, minLegBars=1, opposite=false | 10m: swing=0.4%, lookback=2, minLegBars=1, opposite=false | 30m: swing=0.2%, lookback=3, minLegBars=2, opposite=false",45,48.9,740.22,16.45,84.5,1.16,0.06,840.22
