Rank,Score,Trading Mode,Direction,Take Profit,Stop Loss,Leverage,Timeframes,Total Trades,Win Rate %,Total PnL,Avg PnL,Max Drawdown %,Profit Factor,Sharpe Ratio,Final Capital
1,19.86,cascade,both,0.9,0.4,1,"4h(0.5%)+2h(0.1%)",19,31.6,-2.77,-0.15,3.8,0.65,-0.22,97.23
2,19.86,cascade,both,0.9,0.4,1,"4h(0.5%)+2h(0.1%)",19,31.6,-2.77,-0.15,3.8,0.65,-0.22,97.23
3,19.86,cascade,both,0.9,0.4,1,"4h(0.5%)+2h(0.1%)",19,31.6,-2.77,-0.15,3.8,0.65,-0.22,97.23
4,19.86,cascade,both,0.9,0.4,1,"4h(0.5%)+2h(0.1%)",19,31.6,-2.77,-0.15,3.8,0.65,-0.22,97.23
5,19.86,cascade,both,0.9,0.4,1,"4h(0.5%)+2h(0.1%)",19,31.6,-2.77,-0.15,3.8,0.65,-0.22,97.23
6,19.86,cascade,both,0.9,0.4,1,"4h(0.5%)+2h(0.1%)",19,31.6,-2.77,-0.15,3.8,0.65,-0.22,97.23
7,19.86,cascade,both,0.9,0.4,1,"4h(0.5%)+2h(0.1%)",19,31.6,-2.77,-0.15,3.8,0.65,-0.22,97.23
8,19.86,cascade,both,0.9,0.4,1,"4h(0.5%)+2h(0.1%)",19,31.6,-2.77,-0.15,3.8,0.65,-0.22,97.23
9,19.86,cascade,both,0.9,0.4,1,"4h(0.5%)+2h(0.1%)",19,31.6,-2.77,-0.15,3.8,0.65,-0.22,97.23
10,19.86,cascade,both,0.9,0.4,1,"4h(0.5%)+2h(0.1%)",19,31.6,-2.77,-0.15,3.8,0.65,-0.22,97.23
11,19.86,cascade,both,0.9,0.4,1,"4h(0.5%)+2h(0.1%)",19,31.6,-2.77,-0.15,3.8,0.65,-0.22,97.23
12,19.86,cascade,both,0.9,0.4,1,"4h(0.5%)+2h(0.1%)",19,31.6,-2.77,-0.15,3.8,0.65,-0.22,97.23
13,19.86,cascade,both,0.9,0.4,1,"4h(0.5%)+2h(0.1%)",19,31.6,-2.77,-0.15,3.8,0.65,-0.22,97.23
14,19.86,cascade,both,0.9,0.4,1,"4h(0.5%)+2h(0.1%)",19,31.6,-2.77,-0.15,3.8,0.65,-0.22,97.23
15,19.86,cascade,both,0.9,0.4,1,"4h(0.5%)+2h(0.1%)",19,31.6,-2.77,-0.15,3.8,0.65,-0.22,97.23
16,19.86,cascade,both,0.9,0.4,1,"4h(0.5%)+2h(0.1%)",19,31.6,-2.77,-0.15,3.8,0.65,-0.22,97.23
17,19.86,cascade,both,0.9,0.4,1,"4h(0.5%)+2h(0.1%)",19,31.6,-2.77,-0.15,3.8,0.65,-0.22,97.23
18,19.86,cascade,both,0.9,0.4,1,"4h(0.5%)+2h(0.1%)",19,31.6,-2.77,-0.15,3.8,0.65,-0.22,97.23
19,19.86,cascade,both,0.9,0.4,1,"4h(0.5%)+2h(0.1%)",19,31.6,-2.77,-0.15,3.8,0.65,-0.22,97.23
20,19.86,cascade,both,0.9,0.4,1,"4h(0.5%)+2h(0.1%)",19,31.6,-2.77,-0.15,3.8,0.65,-0.22,97.23
21,19.86,cascade,both,0.9,0.4,1,"4h(0.5%)+2h(0.1%)",19,31.6,-2.77,-0.15,3.8,0.65,-0.22,97.23
22,19.86,cascade,both,0.9,0.4,1,"4h(0.5%)+2h(0.1%)",19,31.6,-2.77,-0.15,3.8,0.65,-0.22,97.23
23,19.86,cascade,both,0.9,0.4,1,"4h(0.5%)+2h(0.1%)",19,31.6,-2.77,-0.15,3.8,0.65,-0.22,97.23
24,19.86,cascade,both,0.9,0.4,1,"4h(0.5%)+2h(0.1%)",19,31.6,-2.77,-0.15,3.8,0.65,-0.22,97.23
25,19.86,cascade,both,0.9,0.4,1,"4h(0.5%)+2h(0.1%)",19,31.6,-2.77,-0.15,3.8,0.65,-0.22,97.23
26,19.86,cascade,both,0.9,0.4,1,"4h(0.5%)+2h(0.2%)",19,31.6,-2.77,-0.15,3.8,0.65,-0.22,97.23
27,19.86,cascade,both,0.9,0.4,1,"4h(0.5%)+2h(0.2%)",19,31.6,-2.77,-0.15,3.8,0.65,-0.22,97.23
28,19.86,cascade,both,0.9,0.4,1,"4h(0.5%)+2h(0.2%)",19,31.6,-2.77,-0.15,3.8,0.65,-0.22,97.23
29,19.86,cascade,both,0.9,0.4,1,"4h(0.5%)+2h(0.2%)",19,31.6,-2.77,-0.15,3.8,0.65,-0.22,97.23
30,19.86,cascade,both,0.9,0.4,1,"4h(0.5%)+2h(0.2%)",19,31.6,-2.77,-0.15,3.8,0.65,-0.22,97.23
31,19.86,cascade,both,0.9,0.4,1,"4h(0.5%)+2h(0.2%)",19,31.6,-2.77,-0.15,3.8,0.65,-0.22,97.23
32,19.86,cascade,both,0.9,0.4,1,"4h(0.5%)+2h(0.2%)",19,31.6,-2.77,-0.15,3.8,0.65,-0.22,97.23
33,19.86,cascade,both,0.9,0.4,1,"4h(0.5%)+2h(0.2%)",19,31.6,-2.77,-0.15,3.8,0.65,-0.22,97.23
34,19.86,cascade,both,0.9,0.4,1,"4h(0.5%)+2h(0.2%)",19,31.6,-2.77,-0.15,3.8,0.65,-0.22,97.23
35,19.86,cascade,both,0.9,0.4,1,"4h(0.5%)+2h(0.2%)",19,31.6,-2.77,-0.15,3.8,0.65,-0.22,97.23
36,19.86,cascade,both,0.9,0.4,1,"4h(0.5%)+2h(0.2%)",19,31.6,-2.77,-0.15,3.8,0.65,-0.22,97.23
37,19.86,cascade,both,0.9,0.4,1,"4h(0.5%)+2h(0.2%)",19,31.6,-2.77,-0.15,3.8,0.65,-0.22,97.23
38,19.86,cascade,both,0.9,0.4,1,"4h(0.5%)+2h(0.2%)",19,31.6,-2.77,-0.15,3.8,0.65,-0.22,97.23
39,19.86,cascade,both,0.9,0.4,1,"4h(0.5%)+2h(0.2%)",19,31.6,-2.77,-0.15,3.8,0.65,-0.22,97.23
40,19.86,cascade,both,0.9,0.4,1,"4h(0.5%)+2h(0.2%)",19,31.6,-2.77,-0.15,3.8,0.65,-0.22,97.23
41,19.86,cascade,both,0.9,0.4,1,"4h(0.5%)+2h(0.2%)",19,31.6,-2.77,-0.15,3.8,0.65,-0.22,97.23
42,19.86,cascade,both,0.9,0.4,1,"4h(0.5%)+2h(0.2%)",19,31.6,-2.77,-0.15,3.8,0.65,-0.22,97.23
43,19.86,cascade,both,0.9,0.4,1,"4h(0.5%)+2h(0.2%)",19,31.6,-2.77,-0.15,3.8,0.65,-0.22,97.23
44,19.86,cascade,both,0.9,0.4,1,"4h(0.5%)+2h(0.2%)",19,31.6,-2.77,-0.15,3.8,0.65,-0.22,97.23
45,19.86,cascade,both,0.9,0.4,1,"4h(0.5%)+2h(0.2%)",19,31.6,-2.77,-0.15,3.8,0.65,-0.22,97.23
46,19.86,cascade,both,0.9,0.4,1,"4h(0.5%)+2h(0.2%)",19,31.6,-2.77,-0.15,3.8,0.65,-0.22,97.23
47,19.86,cascade,both,0.9,0.4,1,"4h(0.5%)+2h(0.2%)",19,31.6,-2.77,-0.15,3.8,0.65,-0.22,97.23
48,19.86,cascade,both,0.9,0.4,1,"4h(0.5%)+2h(0.2%)",19,31.6,-2.77,-0.15,3.8,0.65,-0.22,97.23
49,19.86,cascade,both,0.9,0.4,1,"4h(0.5%)+2h(0.2%)",19,31.6,-2.77,-0.15,3.8,0.65,-0.22,97.23
50,19.86,cascade,both,0.9,0.4,1,"4h(0.5%)+2h(0.2%)",19,31.6,-2.77,-0.15,3.8,0.65,-0.22,97.23
51,19.86,cascade,both,0.9,0.4,1,"4h(0.5%)+2h(0.3%)",19,31.6,-2.77,-0.15,3.8,0.65,-0.22,97.23
52,19.86,cascade,both,0.9,0.4,1,"4h(0.5%)+2h(0.3%)",19,31.6,-2.77,-0.15,3.8,0.65,-0.22,97.23
53,19.86,cascade,both,0.9,0.4,1,"4h(0.5%)+2h(0.3%)",19,31.6,-2.77,-0.15,3.8,0.65,-0.22,97.23
54,19.86,cascade,both,0.9,0.4,1,"4h(0.5%)+2h(0.3%)",19,31.6,-2.77,-0.15,3.8,0.65,-0.22,97.23
55,19.86,cascade,both,0.9,0.4,1,"4h(0.5%)+2h(0.3%)",19,31.6,-2.77,-0.15,3.8,0.65,-0.22,97.23
56,19.86,cascade,both,0.9,0.4,1,"4h(0.5%)+2h(0.3%)",19,31.6,-2.77,-0.15,3.8,0.65,-0.22,97.23
57,19.86,cascade,both,0.9,0.4,1,"4h(0.5%)+2h(0.3%)",19,31.6,-2.77,-0.15,3.8,0.65,-0.22,97.23
