Rank,Score,Trading Mode,Direction,Take Profit,Stop Loss,Leverage,Timeframes,Detailed Timeframes,Total Trades,Win Rate %,Total PnL,Avg PnL,Max Drawdown %,Profit Factor,Sharpe Ratio,Final Capital
1,10.00,cascade,both,0.9,0.4,80,"4h(0.1%,L1,B1,OF)","4h: swing=0.1%, lookback=1, minLegBars=1, opposite=false",0,0.0,0.00,0.00,0.0,0.00,0.00,100.00
2,10.00,cascade,both,0.9,0.4,80,"4h(0.1%,L1,B2,OF)","4h: swing=0.1%, lookback=1, minLegBars=2, opposite=false",0,0.0,0.00,0.00,0.0,0.00,0.00,100.00
3,10.00,cascade,both,0.9,0.4,80,"4h(0.1%,L1,B3,OF)","4h: swing=0.1%, lookback=1, minLegBars=3, opposite=false",0,0.0,0.00,0.00,0.0,0.00,0.00,100.00
4,10.00,cascade,both,0.9,0.4,80,"4h(0.1%,L1,B4,OF)","4h: swing=0.1%, lookback=1, minLegBars=4, opposite=false",0,0.0,0.00,0.00,0.0,0.00,0.00,100.00
5,10.00,cascade,both,0.9,0.4,80,"4h(0.1%,L1,B5,OF)","4h: swing=0.1%, lookback=1, minLegBars=5, opposite=false",0,0.0,0.00,0.00,0.0,0.00,0.00,100.00
6,10.00,cascade,both,0.9,0.4,80,"4h(0.1%,L2,B1,OF)","4h: swing=0.1%, lookback=2, minLegBars=1, opposite=false",0,0.0,0.00,0.00,0.0,0.00,0.00,100.00
7,10.00,cascade,both,0.9,0.4,80,"4h(0.1%,L2,B2,OF)","4h: swing=0.1%, lookback=2, minLegBars=2, opposite=false",0,0.0,0.00,0.00,0.0,0.00,0.00,100.00
8,10.00,cascade,both,0.9,0.4,80,"4h(0.1%,L2,B3,OF)","4h: swing=0.1%, lookback=2, minLegBars=3, opposite=false",0,0.0,0.00,0.00,0.0,0.00,0.00,100.00
9,10.00,cascade,both,0.9,0.4,80,"4h(0.1%,L2,B4,OF)","4h: swing=0.1%, lookback=2, minLegBars=4, opposite=false",0,0.0,0.00,0.00,0.0,0.00,0.00,100.00
10,10.00,cascade,both,0.9,0.4,80,"4h(0.1%,L2,B5,OF)","4h: swing=0.1%, lookback=2, minLegBars=5, opposite=false",0,0.0,0.00,0.00,0.0,0.00,0.00,100.00
11,10.00,cascade,both,0.9,0.4,80,"4h(0.1%,L3,B1,OF)","4h: swing=0.1%, lookback=3, minLegBars=1, opposite=false",0,0.0,0.00,0.00,0.0,0.00,0.00,100.00
12,10.00,cascade,both,0.9,0.4,80,"4h(0.1%,L3,B2,OF)","4h: swing=0.1%, lookback=3, minLegBars=2, opposite=false",0,0.0,0.00,0.00,0.0,0.00,0.00,100.00
13,10.00,cascade,both,0.9,0.4,80,"4h(0.1%,L3,B3,OF)","4h: swing=0.1%, lookback=3, minLegBars=3, opposite=false",0,0.0,0.00,0.00,0.0,0.00,0.00,100.00
14,10.00,cascade,both,0.9,0.4,80,"4h(0.1%,L3,B4,OF)","4h: swing=0.1%, lookback=3, minLegBars=4, opposite=false",0,0.0,0.00,0.00,0.0,0.00,0.00,100.00
15,10.00,cascade,both,0.9,0.4,80,"4h(0.1%,L3,B5,OF)","4h: swing=0.1%, lookback=3, minLegBars=5, opposite=false",0,0.0,0.00,0.00,0.0,0.00,0.00,100.00
