Rank,Score,Trading Mode,Direction,Take Profit,Stop Loss,Leverage,Timeframes,Detailed Timeframes,Total Trades,Win Rate %,Total PnL,Avg PnL,Max Drawdown %,Profit Factor,Sharpe Ratio,Final Capital
1,23.77,cascade,both,0.9,0.4,1,"5h(0.3%,L1,B5)","5h: swing=0.3%, lookback=1, minLegBars=5",13,38.5,-0.06,-0.00,2.5,0.99,-0.01,99.94
2,23.61,cascade,both,0.9,0.4,1,"5h(0.2%,L1,B5)","5h: swing=0.2%, lookback=1, minLegBars=5",13,38.5,-0.16,-0.01,2.5,0.96,-0.02,99.84
3,23.43,cascade,both,0.9,0.4,1,"5h(0.4%,L1,B4)","5h: swing=0.4%, lookback=1, minLegBars=4",16,37.5,-0.12,-0.01,2.9,0.98,-0.01,99.88
4,23.43,cascade,both,0.9,0.4,1,"5h(0.5%,L1,B4)","5h: swing=0.5%, lookback=1, minLegBars=4",16,37.5,-0.12,-0.01,2.9,0.98,-0.01,99.88
5,23.34,cascade,both,0.9,0.4,1,"5h(0.3%,L1,B4)","5h: swing=0.3%, lookback=1, minLegBars=4",16,37.5,-0.20,-0.01,2.8,0.96,-0.02,99.80
6,22.82,cascade,both,0.9,0.4,1,"5h(0.1%,L1,B5)","5h: swing=0.1%, lookback=1, minLegBars=5",13,38.5,-0.73,-0.06,2.5,0.84,-0.08,99.27
7,21.75,cascade,both,0.9,0.4,1,"5h(0.1%,L2,B3)","5h: swing=0.1%, lookback=2, minLegBars=3",20,35.0,-1.33,-0.07,3.2,0.81,-0.10,98.67
8,21.75,cascade,both,0.9,0.4,1,"5h(0.2%,L2,B3)","5h: swing=0.2%, lookback=2, minLegBars=3",20,35.0,-1.33,-0.07,3.2,0.81,-0.10,98.67
9,21.75,cascade,both,0.9,0.4,1,"5h(0.3%,L2,B3)","5h: swing=0.3%, lookback=2, minLegBars=3",20,35.0,-1.33,-0.07,3.2,0.81,-0.10,98.67
10,20.25,cascade,both,0.9,0.4,1,"5h(0.4%,L2,B3)","5h: swing=0.4%, lookback=2, minLegBars=3",19,31.6,-2.21,-0.12,3.2,0.69,-0.18,97.79
11,20.25,cascade,both,0.9,0.4,1,"5h(0.5%,L2,B3)","5h: swing=0.5%, lookback=2, minLegBars=3",19,31.6,-2.21,-0.12,3.2,0.69,-0.18,97.79
12,20.25,cascade,both,0.9,0.4,1,"5h(0.6%,L2,B3)","5h: swing=0.6%, lookback=2, minLegBars=3",19,31.6,-2.21,-0.12,3.2,0.69,-0.18,97.79
13,20.06,cascade,both,0.9,0.4,1,"5h(0.1%,L1,B3)","5h: swing=0.1%, lookback=1, minLegBars=3",22,31.8,-2.74,-0.12,3.7,0.67,-0.20,97.26
14,20.06,cascade,both,0.9,0.4,1,"5h(0.2%,L1,B3)","5h: swing=0.2%, lookback=1, minLegBars=3",22,31.8,-2.74,-0.12,3.7,0.67,-0.20,97.26
15,19.34,cascade,both,0.9,0.4,1,"5h(0.1%,L3,B4)","5h: swing=0.1%, lookback=3, minLegBars=4",14,28.6,-1.80,-0.13,3.4,0.65,-0.21,98.20
16,19.34,cascade,both,0.9,0.4,1,"5h(0.2%,L3,B4)","5h: swing=0.2%, lookback=3, minLegBars=4",14,28.6,-1.80,-0.13,3.4,0.65,-0.21,98.20
17,19.34,cascade,both,0.9,0.4,1,"5h(0.3%,L3,B4)","5h: swing=0.3%, lookback=3, minLegBars=4",14,28.6,-1.80,-0.13,3.4,0.65,-0.21,98.20
18,19.34,cascade,both,0.9,0.4,1,"5h(0.4%,L3,B4)","5h: swing=0.4%, lookback=3, minLegBars=4",14,28.6,-1.80,-0.13,3.4,0.65,-0.21,98.20
19,19.34,cascade,both,0.9,0.4,1,"5h(0.5%,L3,B4)","5h: swing=0.5%, lookback=3, minLegBars=4",14,28.6,-1.80,-0.13,3.4,0.65,-0.21,98.20
20,19.34,cascade,both,0.9,0.4,1,"5h(0.6%,L3,B4)","5h: swing=0.6%, lookback=3, minLegBars=4",14,28.6,-1.80,-0.13,3.4,0.65,-0.21,98.20
21,19.34,cascade,both,0.9,0.4,1,"5h(0.7%,L3,B4)","5h: swing=0.7%, lookback=3, minLegBars=4",14,28.6,-1.80,-0.13,3.4,0.65,-0.21,98.20
22,19.17,cascade,both,0.9,0.4,1,"5h(0.1%,L5,B5)","5h: swing=0.1%, lookback=5, minLegBars=5",11,27.3,-1.43,-0.13,2.8,0.64,-0.21,98.57
23,19.17,cascade,both,0.9,0.4,1,"5h(0.2%,L5,B5)","5h: swing=0.2%, lookback=5, minLegBars=5",11,27.3,-1.43,-0.13,2.8,0.64,-0.21,98.57
24,19.17,cascade,both,0.9,0.4,1,"5h(0.3%,L5,B5)","5h: swing=0.3%, lookback=5, minLegBars=5",11,27.3,-1.43,-0.13,2.8,0.64,-0.21,98.57
25,19.17,cascade,both,0.9,0.4,1,"5h(0.4%,L5,B5)","5h: swing=0.4%, lookback=5, minLegBars=5",11,27.3,-1.43,-0.13,2.8,0.64,-0.21,98.57
26,19.17,cascade,both,0.9,0.4,1,"5h(0.5%,L5,B5)","5h: swing=0.5%, lookback=5, minLegBars=5",11,27.3,-1.43,-0.13,2.8,0.64,-0.21,98.57
27,19.17,cascade,both,0.9,0.4,1,"5h(0.6%,L5,B5)","5h: swing=0.6%, lookback=5, minLegBars=5",11,27.3,-1.43,-0.13,2.8,0.64,-0.21,98.57
