Rank,TotalReturn%,WinRate%,TotalTrades,FinalCapital,MaxDrawdown%,AvgTradeReturn%,PivotCount,TimeframeMinutes,Lookback,MinSwingPct,MinLegBars,TakeProfit%,StopLoss%,Leverage,TradeDirection
1,-0.38,43.8,16,99.62,2.14,0.18,26,240,0,0.2,3,0.9,0.4,1,short
2,-0.38,43.8,16,99.62,2.14,0.18,26,240,1,0.2,3,0.9,0.4,1,short
3,-0.49,42.9,14,99.51,2.14,0.17,22,240,0,0.3,3,0.9,0.4,1,short
4,-0.49,42.9,14,99.51,2.14,0.17,21,240,0,0.4,3,0.9,0.4,1,short
5,-0.49,42.9,14,99.51,2.14,0.17,22,240,1,0.3,3,0.9,0.4,1,short
6,-0.49,42.9,14,99.51,2.14,0.17,21,240,1,0.4,3,0.9,0.4,1,short
7,-0.91,40.0,15,99.09,2.62,0.14,25,240,2,0.1,3,0.9,0.4,1,short
8,-1.31,38.9,18,98.69,2.84,0.13,32,240,0,0.4,2,0.9,0.4,1,short
9,-1.31,38.9,18,98.69,2.84,0.13,32,240,1,0.4,2,0.9,0.4,1,short
10,-1.32,38.5,13,98.68,1.34,0.09,22,240,2,0.4,3,0.9,0.4,1,short
11,-1.33,33.3,9,98.67,3.20,0.05,25,240,2,0.1,3,0.9,0.4,1,long
12,-1.79,39.1,23,98.21,2.95,0.12,39,240,0,0.1,2,0.9,0.4,1,short
13,-1.79,37.5,16,98.21,4.09,0.08,27,240,0,0.1,3,0.9,0.4,1,short
14,-1.79,39.1,23,98.21,2.95,0.12,39,240,1,0.1,2,0.9,0.4,1,short
15,-1.79,37.5,16,98.21,4.09,0.08,27,240,1,0.1,3,0.9,0.4,1,short
16,-1.89,36.8,19,98.11,2.84,0.10,33,240,0,0.3,2,0.9,0.4,1,short
17,-1.89,36.8,19,98.11,2.84,0.10,33,240,1,0.3,2,0.9,0.4,1,short
18,-2.23,37.5,24,97.77,4.58,0.10,25,240,2,0.1,3,0.9,0.4,1,both
19,-2.49,28.6,14,97.51,4.50,0.01,33,240,0,0.3,2,0.9,0.4,1,long
20,-2.49,28.6,14,97.51,4.50,0.01,32,240,0,0.4,2,0.9,0.4,1,long
21,-2.49,28.6,14,97.51,4.50,0.01,33,240,1,0.3,2,0.9,0.4,1,long
22,-2.49,28.6,14,97.51,4.50,0.01,32,240,1,0.4,2,0.9,0.4,1,long
23,-2.56,36.4,22,97.44,2.84,0.08,36,240,0,0.2,2,0.9,0.4,1,short
24,-2.56,36.4,22,97.44,2.84,0.08,36,240,1,0.2,2,0.9,0.4,1,short
25,-2.60,27.3,11,97.40,3.77,-0.05,25,240,2,0.2,3,0.9,0.4,1,long
26,-2.62,30.8,13,97.38,2.62,-0.01,25,240,2,0.2,3,0.9,0.4,1,short
27,-2.67,30.8,13,97.33,2.67,-0.02,23,240,2,0.3,3,0.9,0.4,1,short
28,-2.97,20.0,10,97.03,3.19,-0.11,27,240,0,0.1,3,0.9,0.4,1,long
29,-2.97,20.0,10,97.03,3.19,-0.11,27,240,1,0.1,3,0.9,0.4,1,long
30,-3.02,37.9,29,96.98,4.86,0.09,53,240,0,0.4,1,0.9,0.4,1,short
31,-3.02,37.9,29,96.98,4.86,0.09,53,240,1,0.4,1,0.9,0.4,1,short
32,-3.23,20.0,10,96.77,4.40,-0.14,23,240,2,0.3,3,0.9,0.4,1,long
33,-3.37,39.5,43,96.63,5.92,0.12,76,240,0,0.1,1,0.9,0.4,1,short
34,-3.37,39.5,43,96.63,5.92,0.12,76,240,1,0.1,1,0.9,0.4,1,short
35,-3.44,31.6,19,96.56,5.11,0.01,35,240,2,0.1,2,0.9,0.4,1,short
