Rank,Score,Trading Mode,Direction,Take Profit,Stop Loss,Leverage,Timeframes,Detailed Timeframes,Total Trades,Win Rate %,Total PnL,Avg PnL,Max Drawdown %,Profit Factor,Sharpe Ratio,Final Capital
1,42.22,cascade,both,0.9,0.4,1,"2h(0.6%,L3,B4,OF)+1h(0.1%,L4,B4,OF)","2h: swing=0.6%, lookback=3, minLegBars=4, opposite=false | 1h: swing=0.1%, lookback=4, minLegBars=4, opposite=false",15,53.3,2.51,0.17,1.1,1.59,0.23,102.51
2,41.21,cascade,both,0.9,0.4,1,"2h(0.4%,L1,B5,OF)+1h(0.1%,L4,B4,OF)","2h: swing=0.4%, lookback=1, minLegBars=5, opposite=false | 1h: swing=0.1%, lookback=4, minLegBars=4, opposite=false",7,57.1,1.55,0.22,1.2,1.85,0.31,101.55
3,41.05,cascade,both,0.9,0.4,1,"2h(0.6%,L2,B5,OF)+1h(0.1%,L4,B4,OF)","2h: swing=0.6%, lookback=2, minLegBars=5, opposite=false | 1h: swing=0.1%, lookback=4, minLegBars=4, opposite=false",9,55.6,1.80,0.20,1.8,1.75,0.28,101.80
4,40.30,cascade,both,0.9,0.4,1,"2h(0.4%,L2,B3,OF)+1h(0.1%,L4,B4,OF)","2h: swing=0.4%, lookback=2, minLegBars=3, opposite=false | 1h: swing=0.1%, lookback=4, minLegBars=4, opposite=false",13,53.8,2.11,0.16,2.4,1.57,0.22,102.11
5,35.75,cascade,both,0.9,0.4,1,"2h(0.7%,L3,B4,OF)+1h(0.1%,L4,B4,OF)","2h: swing=0.7%, lookback=3, minLegBars=4, opposite=false | 1h: swing=0.1%, lookback=4, minLegBars=4, opposite=false",14,50.0,1.53,0.11,1.1,1.36,0.15,101.53
6,35.34,cascade,both,0.9,0.4,1,"2h(0.1%,L4,B5,OF)+1h(0.1%,L4,B4,OF)","2h: swing=0.1%, lookback=4, minLegBars=5, opposite=false | 1h: swing=0.1%, lookback=4, minLegBars=4, opposite=false",10,50.0,1.28,0.13,1.1,1.43,0.18,101.28
7,35.34,cascade,both,0.9,0.4,1,"2h(0.2%,L4,B5,OF)+1h(0.1%,L4,B4,OF)","2h: swing=0.2%, lookback=4, minLegBars=5, opposite=false | 1h: swing=0.1%, lookback=4, minLegBars=4, opposite=false",10,50.0,1.28,0.13,1.1,1.43,0.18,101.28
8,35.34,cascade,both,0.9,0.4,1,"2h(0.3%,L4,B5,OF)+1h(0.1%,L4,B4,OF)","2h: swing=0.3%, lookback=4, minLegBars=5, opposite=false | 1h: swing=0.1%, lookback=4, minLegBars=4, opposite=false",10,50.0,1.28,0.13,1.1,1.43,0.18,101.28
9,35.34,cascade,both,0.9,0.4,1,"2h(0.4%,L4,B5,OF)+1h(0.1%,L4,B4,OF)","2h: swing=0.4%, lookback=4, minLegBars=5, opposite=false | 1h: swing=0.1%, lookback=4, minLegBars=4, opposite=false",10,50.0,1.28,0.13,1.1,1.43,0.18,101.28
10,35.34,cascade,both,0.9,0.4,1,"2h(0.5%,L4,B5,OF)+1h(0.1%,L4,B4,OF)","2h: swing=0.5%, lookback=4, minLegBars=5, opposite=false | 1h: swing=0.1%, lookback=4, minLegBars=4, opposite=false",10,50.0,1.28,0.13,1.1,1.43,0.18,101.28
