Rank,Score,Trading Mode,Direction,Take Profit,Stop Loss,Leverage,Timeframes,Detailed Timeframes,Total Trades,Win Rate %,Total PnL,Avg PnL,Max Drawdown %,Profit Factor,Sharpe Ratio,Final Capital
97,13.00,cascade,both,0.9,0.4,80,"2h(0.7%,L2,B2,OF)+1h(0.4%,L4,B4,OF)","2h: swing=0.7%, lookback=2, minLegBars=2, opposite=false | 1h: swing=0.4%, lookback=4, minLegBars=4, opposite=false",22,36.4,-86.27,-3.92,96.2,0.86,-0.06,13.73
98,12.93,cascade,both,0.9,0.4,80,"2h(0.1%,L5,B1,OF)+1h(0.4%,L4,B4,OF)","2h: swing=0.1%, lookback=5, minLegBars=1, opposite=false | 1h: swing=0.4%, lookback=4, minLegBars=4, opposite=false",25,40.0,-72.35,-2.89,87.2,0.74,-0.14,27.65
99,12.93,cascade,both,0.9,0.4,80,"2h(0.2%,L5,B1,OF)+1h(0.4%,L4,B4,OF)","2h: swing=0.2%, lookback=5, minLegBars=1, opposite=false | 1h: swing=0.4%, lookback=4, minLegBars=4, opposite=false",25,40.0,-72.35,-2.89,87.2,0.74,-0.14,27.65
100,12.93,cascade,both,0.9,0.4,80,"2h(0.3%,L5,B1,OF)+1h(0.4%,L4,B4,OF)","2h: swing=0.3%, lookback=5, minLegBars=1, opposite=false | 1h: swing=0.4%, lookback=4, minLegBars=4, opposite=false",25,40.0,-72.35,-2.89,87.2,0.74,-0.14,27.65
101,12.93,cascade,both,0.9,0.4,80,"2h(0.4%,L5,B1,OF)+1h(0.4%,L4,B4,OF)","2h: swing=0.4%, lookback=5, minLegBars=1, opposite=false | 1h: swing=0.4%, lookback=4, minLegBars=4, opposite=false",25,40.0,-72.35,-2.89,87.2,0.74,-0.14,27.65
102,12.93,cascade,both,0.9,0.4,80,"2h(0.5%,L5,B1,OF)+1h(0.4%,L4,B4,OF)","2h: swing=0.5%, lookback=5, minLegBars=1, opposite=false | 1h: swing=0.4%, lookback=4, minLegBars=4, opposite=false",25,40.0,-72.35,-2.89,87.2,0.74,-0.14,27.65
103,12.93,cascade,both,0.9,0.4,80,"2h(0.6%,L5,B1,OF)+1h(0.4%,L4,B4,OF)","2h: swing=0.6%, lookback=5, minLegBars=1, opposite=false | 1h: swing=0.4%, lookback=4, minLegBars=4, opposite=false",25,40.0,-72.35,-2.89,87.2,0.74,-0.14,27.65
104,12.90,cascade,both,0.9,0.4,80,"2h(0.1%,L1,B1,OF)+1h(0.4%,L4,B4,OF)","2h: swing=0.1%, lookback=1, minLegBars=1, opposite=false | 1h: swing=0.4%, lookback=4, minLegBars=4, opposite=false",33,39.4,-82.29,-2.49,89.8,0.75,-0.13,17.71
105,12.85,cascade,both,0.9,0.4,80,"2h(0.3%,L1,B1,OF)+1h(0.4%,L4,B4,OF)","2h: swing=0.3%, lookback=1, minLegBars=1, opposite=false | 1h: swing=0.4%, lookback=4, minLegBars=4, opposite=false",26,38.5,-84.48,-3.25,91.6,0.77,-0.12,15.52
106,12.85,cascade,both,0.9,0.4,80,"2h(0.3%,L2,B1,OF)+1h(0.4%,L4,B4,OF)","2h: swing=0.3%, lookback=2, minLegBars=1, opposite=false | 1h: swing=0.4%, lookback=4, minLegBars=4, opposite=false",33,39.4,-82.36,-2.50,89.9,0.75,-0.13,17.64
107,12.74,cascade,both,0.9,0.4,80,"2h(0.7%,L2,B1,OF)+1h(0.4%,L4,B4,OF)","2h: swing=0.7%, lookback=2, minLegBars=1, opposite=false | 1h: swing=0.4%, lookback=4, minLegBars=4, opposite=false",25,36.0,-89.89,-3.60,96.2,0.83,-0.07,10.11
108,12.59,cascade,both,0.9,0.4,80,"2h(0.6%,L1,B5,OF)+1h(0.4%,L4,B4,OF)","2h: swing=0.6%, lookback=1, minLegBars=5, opposite=false | 1h: swing=0.4%, lookback=4, minLegBars=4, opposite=false",8,37.5,-60.15,-7.52,77.4,0.76,-0.13,39.85
109,12.49,cascade,both,0.9,0.4,80,"2h(0.1%,L1,B4,OF)+1h(0.4%,L4,B4,OF)","2h: swing=0.1%, lookback=1, minLegBars=4, opposite=false | 1h: swing=0.4%, lookback=4, minLegBars=4, opposite=false",11,36.4,-57.67,-5.24,83.1,0.78,-0.11,42.33
110,12.49,cascade,both,0.9,0.4,80,"2h(0.2%,L2,B5,OF)+1h(0.4%,L4,B4,OF)","2h: swing=0.2%, lookback=2, minLegBars=5, opposite=false | 1h: swing=0.4%, lookback=4, minLegBars=4, opposite=false",8,37.5,-44.98,-5.62,76.1,0.75,-0.14,55.02
111,12.46,cascade,both,0.9,0.4,80,"2h(0.7%,L2,B3,OF)+1h(0.4%,L4,B4,OF)","2h: swing=0.7%, lookback=2, minLegBars=3, opposite=false | 1h: swing=0.4%, lookback=4, minLegBars=4, opposite=false",11,36.4,-73.39,-6.67,87.2,0.78,-0.12,26.61
112,12.29,cascade,both,0.9,0.4,80,"2h(0.5%,L3,B5,OF)+1h(0.4%,L4,B4,OF)","2h: swing=0.5%, lookback=3, minLegBars=5, opposite=false | 1h: swing=0.4%, lookback=4, minLegBars=4, opposite=false",9,33.3,-61.49,-6.83,89.5,0.84,-0.07,38.51
113,12.28,cascade,both,0.9,0.4,80,"2h(0.5%,L3,B3,OF)+1h(0.4%,L4,B4,OF)","2h: swing=0.5%, lookback=3, minLegBars=3, opposite=false | 1h: swing=0.4%, lookback=4, minLegBars=4, opposite=false",14,35.7,-77.84,-5.56,93.7,0.77,-0.11,22.16
