Rank,Score,Trading Mode,Direction,Take Profit,Stop Loss,Leverage,Timeframes,Detailed Timeframes,Total Trades,Win Rate %,Total PnL,Avg PnL,Max Drawdown %,Profit Factor,Sharpe Ratio,Final Capital
1,3133.56,cascade,both,0.9,0.4,80,"30m(0.4%,L5,B3,OF)+1h(0.4%,L4,B4,OF)","30m: swing=0.4%, lookback=5, minLegBars=3, opposite=false | 1h: swing=0.4%, lookback=4, minLegBars=4, opposite=false",45,48.9,778.95,17.31,93.7,1.16,0.05,878.95
2,2600.60,cascade,both,0.9,0.4,80,"30m(0.4%,L5,B2,OF)+1h(0.4%,L4,B4,OF)","30m: swing=0.4%, lookback=5, minLegBars=2, opposite=false | 1h: swing=0.4%, lookback=4, minLegBars=4, opposite=false",52,50.0,645.81,12.42,93.2,1.08,0.03,745.81
3,2380.18,cascade,both,0.9,0.4,80,"30m(0.4%,L5,B5,OF)+1h(0.4%,L4,B4,OF)","30m: swing=0.4%, lookback=5, minLegBars=5, opposite=false | 1h: swing=0.4%, lookback=4, minLegBars=4, opposite=false",28,50.0,590.76,21.10,90.0,1.06,0.02,690.76
4,2355.67,cascade,both,0.9,0.4,80,"30m(0.1%,L5,B3,OF)+1h(0.4%,L4,B4,OF)","30m: swing=0.1%, lookback=5, minLegBars=3, opposite=false | 1h: swing=0.4%, lookback=4, minLegBars=4, opposite=false",48,47.9,584.61,12.18,90.6,1.11,0.04,684.61
5,1614.48,cascade,both,0.9,0.4,80,"30m(0.1%,L4,B2,OF)+1h(0.4%,L4,B4,OF)","30m: swing=0.1%, lookback=4, minLegBars=2, opposite=false | 1h: swing=0.4%, lookback=4, minLegBars=4, opposite=false",53,49.1,398.75,7.52,95.3,1.38,0.10,498.75
6,1540.67,cascade,both,0.9,0.4,80,"30m(0.1%,L5,B2,OF)+1h(0.4%,L4,B4,OF)","30m: swing=0.1%, lookback=5, minLegBars=2, opposite=false | 1h: swing=0.4%, lookback=4, minLegBars=4, opposite=false",53,49.1,380.59,7.18,93.1,1.22,0.07,480.59
7,1540.67,cascade,both,0.9,0.4,80,"30m(0.2%,L5,B2,OF)+1h(0.4%,L4,B4,OF)","30m: swing=0.2%, lookback=5, minLegBars=2, opposite=false | 1h: swing=0.4%, lookback=4, minLegBars=4, opposite=false",53,49.1,380.59,7.18,93.1,1.22,0.07,480.59
8,1502.31,cascade,both,0.9,0.4,80,"30m(0.4%,L2,B2,OF)+1h(0.4%,L4,B4,OF)","30m: swing=0.4%, lookback=2, minLegBars=2, opposite=false | 1h: swing=0.4%, lookback=4, minLegBars=4, opposite=false",49,49.0,371.32,7.58,87.4,1.06,0.03,471.32
9,1209.58,cascade,both,0.9,0.4,80,"30m(0.5%,L5,B3,OF)+1h(0.4%,L4,B4,OF)","30m: swing=0.5%, lookback=5, minLegBars=3, opposite=false | 1h: swing=0.4%, lookback=4, minLegBars=4, opposite=false",42,47.6,298.17,7.10,95.1,1.08,0.03,398.17
10,1119.39,cascade,both,0.9,0.4,80,"30m(0.2%,L5,B3,OF)+1h(0.4%,L4,B4,OF)","30m: swing=0.2%, lookback=5, minLegBars=3, opposite=false | 1h: swing=0.4%, lookback=4, minLegBars=4, opposite=false",47,46.8,275.67,5.87,90.6,1.08,0.03,375.67
11,1041.63,cascade,both,0.9,0.4,80,"30m(0.1%,L4,B3,OF)+1h(0.4%,L4,B4,OF)","30m: swing=0.1%, lookback=4, minLegBars=3, opposite=false | 1h: swing=0.4%, lookback=4, minLegBars=4, opposite=false",46,47.8,256.13,5.57,95.9,1.10,0.04,356.13
12,908.85,cascade,both,0.9,0.4,80,"30m(0.1%,L5,B5,OF)+1h(0.4%,L4,B4,OF)","30m: swing=0.1%, lookback=5, minLegBars=5, opposite=false | 1h: swing=0.4%, lookback=4, minLegBars=4, opposite=false",25,48.0,222.79,8.91,70.9,1.17,0.06,322.79
13,844.54,cascade,both,0.9,0.4,80,"30m(0.5%,L5,B5,OF)+1h(0.4%,L4,B4,OF)","30m: swing=0.5%, lookback=5, minLegBars=5, opposite=false | 1h: swing=0.4%, lookback=4, minLegBars=4, opposite=false",27,48.1,206.99,7.67,90.5,1.03,0.01,306.99
14,831.43,cascade,both,0.9,0.4,80,"30m(0.4%,L2,B4,OF)+1h(0.4%,L4,B4,OF)","30m: swing=0.4%, lookback=2, minLegBars=4, opposite=false | 1h: swing=0.4%, lookback=4, minLegBars=4, opposite=false",36,47.2,203.68,5.66,93.4,1.07,0.03,303.68
15,769.89,cascade,both,0.9,0.4,80,"30m(0.2%,L4,B2,OF)+1h(0.4%,L4,B4,OF)","30m: swing=0.2%, lookback=4, minLegBars=2, opposite=false | 1h: swing=0.4%, lookback=4, minLegBars=4, opposite=false",52,48.1,187.94,3.61,95.3,1.23,0.07,287.94
