Rank,Score,Trading Mode,Direction,Take Profit,Stop Loss,Leverage,Timeframes,Detailed Timeframes,Total Trades,Win Rate %,Total PnL,Avg PnL,Max Drawdown %,Profit Factor,Sharpe Ratio,Final Capital
1,2965.62,cascade,both,0.9,0.4,80,"1h(0.1%,L2,B4,OF)+4h(0.7%,L1,B4,OF)","1h: swing=0.1%, lookback=2, minLegBars=4, opposite=false | 4h: swing=0.7%, lookback=1, minLegBars=4, opposite=false",7,71.4,732.14,104.59,55.7,3.35,0.55,832.14
2,1066.54,cascade,both,0.9,0.4,80,"1h(0.1%,L5,B4,OF)+4h(0.7%,L1,B4,OF)","1h: swing=0.1%, lookback=5, minLegBars=4, opposite=false | 4h: swing=0.7%, lookback=1, minLegBars=4, opposite=false",6,66.7,257.92,42.99,44.2,2.71,0.46,357.92
3,1066.54,cascade,both,0.9,0.4,80,"1h(0.2%,L5,B4,OF)+4h(0.7%,L1,B4,OF)","1h: swing=0.2%, lookback=5, minLegBars=4, opposite=false | 4h: swing=0.7%, lookback=1, minLegBars=4, opposite=false",6,66.7,257.92,42.99,44.2,2.71,0.46,357.92
4,1066.54,cascade,both,0.9,0.4,80,"1h(0.3%,L5,B4,OF)+4h(0.7%,L1,B4,OF)","1h: swing=0.3%, lookback=5, minLegBars=4, opposite=false | 4h: swing=0.7%, lookback=1, minLegBars=4, opposite=false",6,66.7,257.92,42.99,44.2,2.71,0.46,357.92
5,1066.54,cascade,both,0.9,0.4,80,"1h(0.4%,L5,B4,OF)+4h(0.7%,L1,B4,OF)","1h: swing=0.4%, lookback=5, minLegBars=4, opposite=false | 4h: swing=0.7%, lookback=1, minLegBars=4, opposite=false",6,66.7,257.92,42.99,44.2,2.71,0.46,357.92
6,1066.54,cascade,both,0.9,0.4,80,"1h(0.5%,L5,B4,OF)+4h(0.7%,L1,B4,OF)","1h: swing=0.5%, lookback=5, minLegBars=4, opposite=false | 4h: swing=0.7%, lookback=1, minLegBars=4, opposite=false",6,66.7,257.92,42.99,44.2,2.71,0.46,357.92
7,805.56,cascade,both,0.9,0.4,80,"1h(0.1%,L3,B4,OF)+4h(0.7%,L1,B4,OF)","1h: swing=0.1%, lookback=3, minLegBars=4, opposite=false | 4h: swing=0.7%, lookback=1, minLegBars=4, opposite=false",7,57.1,195.35,27.91,57.7,1.72,0.26,295.35
8,805.56,cascade,both,0.9,0.4,80,"1h(0.2%,L3,B4,OF)+4h(0.7%,L1,B4,OF)","1h: swing=0.2%, lookback=3, minLegBars=4, opposite=false | 4h: swing=0.7%, lookback=1, minLegBars=4, opposite=false",7,57.1,195.35,27.91,57.7,1.72,0.26,295.35
9,679.41,cascade,both,0.9,0.4,80,"1h(0.4%,L4,B4,OF)+4h(0.7%,L1,B4,OF)","1h: swing=0.4%, lookback=4, minLegBars=4, opposite=false | 4h: swing=0.7%, lookback=1, minLegBars=4, opposite=false",7,57.1,162.18,23.17,62.8,2.57,0.42,262.18
10,358.03,cascade,both,0.9,0.4,80,"1h(0.2%,L2,B4,OF)+4h(0.7%,L1,B4,OF)","1h: swing=0.2%, lookback=2, minLegBars=4, opposite=false | 4h: swing=0.7%, lookback=1, minLegBars=4, opposite=false",8,50.0,84.48,10.56,70.4,1.40,0.16,184.48
11,319.47,cascade,both,0.9,0.4,80,"1h(0.7%,L4,B4,OF)+4h(0.7%,L1,B4,OF)","1h: swing=0.7%, lookback=4, minLegBars=4, opposite=false | 4h: swing=0.7%, lookback=1, minLegBars=4, opposite=false",10,50.0,75.16,7.52,83.4,1.25,0.10,175.16
12,301.89,cascade,both,0.9,0.4,80,"1h(0.5%,L4,B4,OF)+4h(0.7%,L1,B4,OF)","1h: swing=0.5%, lookback=4, minLegBars=4, opposite=false | 4h: swing=0.7%, lookback=1, minLegBars=4, opposite=false",8,50.0,70.53,8.82,62.8,1.36,0.14,170.53
