Rank,Score,Trading Mode,Direction,Take Profit,Stop Loss,Leverage,Timeframes,Detailed Timeframes,Total Trades,Win Rate %,Total PnL,Avg PnL,Max Drawdown %,Profit Factor,Sharpe Ratio,Final Capital
1,19.51,cascade,both,0.9,0.4,1,"4h(0.1%,L4,B4)","4h: swing=0.1%, lookback=4, minLegBars=4",16,31.3,-2.60,-0.16,4.0,0.61,-0.25,97.40
2,19.51,cascade,both,0.9,0.4,1,"4h(0.2%,L4,B4)","4h: swing=0.2%, lookback=4, minLegBars=4",16,31.3,-2.60,-0.16,4.0,0.61,-0.25,97.40
3,18.87,cascade,both,0.9,0.4,1,"4h(0.1%,L4,B3)","4h: swing=0.1%, lookback=4, minLegBars=3",21,28.6,-3.12,-0.15,4.8,0.62,-0.23,96.88
4,18.87,cascade,both,0.9,0.4,1,"4h(0.2%,L4,B3)","4h: swing=0.2%, lookback=4, minLegBars=3",21,28.6,-3.12,-0.15,4.8,0.62,-0.23,96.88
5,18.76,cascade,both,0.9,0.4,1,"4h(0.1%,L4,B5)","4h: swing=0.1%, lookback=4, minLegBars=5",14,28.6,-2.33,-0.17,4.6,0.59,-0.26,97.67
6,18.76,cascade,both,0.9,0.4,1,"4h(0.2%,L4,B5)","4h: swing=0.2%, lookback=4, minLegBars=5",14,28.6,-2.33,-0.17,4.6,0.59,-0.26,97.67
7,18.62,cascade,both,0.9,0.4,1,"4h(0.1%,L4,B2)","4h: swing=0.1%, lookback=4, minLegBars=2",27,29.6,-4.42,-0.16,6.3,0.59,-0.26,95.58
8,18.62,cascade,both,0.9,0.4,1,"4h(0.2%,L4,B2)","4h: swing=0.2%, lookback=4, minLegBars=2",27,29.6,-4.42,-0.16,6.3,0.59,-0.26,95.58
9,17.99,cascade,both,0.9,0.4,1,"4h(0.1%,L3,B4)","4h: swing=0.1%, lookback=3, minLegBars=4",18,27.8,-3.71,-0.21,5.5,0.53,-0.32,96.29
10,17.99,cascade,both,0.9,0.4,1,"4h(0.2%,L3,B4)","4h: swing=0.2%, lookback=3, minLegBars=4",18,27.8,-3.71,-0.21,5.5,0.53,-0.32,96.29
11,17.66,cascade,both,0.9,0.4,1,"4h(0.1%,L3,B3)","4h: swing=0.1%, lookback=3, minLegBars=3",23,26.1,-4.03,-0.18,6.0,0.55,-0.29,95.97
12,17.66,cascade,both,0.9,0.4,1,"4h(0.2%,L3,B3)","4h: swing=0.2%, lookback=3, minLegBars=3",23,26.1,-4.03,-0.18,6.0,0.55,-0.29,95.97
13,17.27,cascade,both,0.9,0.4,1,"4h(0.1%,L2,B4)","4h: swing=0.1%, lookback=2, minLegBars=4",20,25.0,-4.26,-0.21,5.3,0.50,-0.35,95.74
14,16.30,cascade,both,0.9,0.4,1,"4h(0.1%,L2,B1)","4h: swing=0.1%, lookback=2, minLegBars=1",60,26.7,-10.97,-0.18,12.8,0.53,-0.31,89.03
15,16.20,cascade,both,0.9,0.4,1,"4h(0.1%,L3,B1)","4h: swing=0.1%, lookback=3, minLegBars=1",50,26.0,-9.88,-0.20,11.7,0.50,-0.34,90.12
16,16.20,cascade,both,0.9,0.4,1,"4h(0.2%,L3,B1)","4h: swing=0.2%, lookback=3, minLegBars=1",50,26.0,-9.88,-0.20,11.7,0.50,-0.34,90.12
17,16.20,cascade,both,0.9,0.4,1,"4h(0.1%,L4,B1)","4h: swing=0.1%, lookback=4, minLegBars=1",40,25.0,-8.31,-0.21,10.1,0.48,-0.36,91.69
18,16.20,cascade,both,0.9,0.4,1,"4h(0.2%,L4,B1)","4h: swing=0.2%, lookback=4, minLegBars=1",40,25.0,-8.31,-0.21,10.1,0.48,-0.36,91.69
19,16.06,cascade,both,0.9,0.4,1,"4h(0.1%,L2,B3)","4h: swing=0.1%, lookback=2, minLegBars=3",26,23.1,-5.85,-0.23,7.8,0.45,-0.39,94.15
20,15.80,cascade,both,0.9,0.4,1,"4h(0.2%,L2,B1)","4h: swing=0.2%, lookback=2, minLegBars=1",59,25.4,-11.70,-0.20,13.0,0.50,-0.35,88.30
21,15.34,cascade,both,0.9,0.4,1,"4h(0.1%,L1,B4)","4h: swing=0.1%, lookback=1, minLegBars=4",20,20.0,-5.40,-0.27,6.3,0.39,-0.48,94.60
22,15.32,cascade,both,0.9,0.4,1,"4h(0.1%,L2,B2)","4h: swing=0.1%, lookback=2, minLegBars=2",35,22.9,-8.96,-0.26,9.9,0.41,-0.45,91.04
23,15.27,cascade,both,0.9,0.4,1,"4h(0.2%,L1,B4)","4h: swing=0.2%, lookback=1, minLegBars=4",20,20.0,-5.69,-0.28,5.9,0.37,-0.51,94.31
24,15.27,cascade,both,0.9,0.4,1,"4h(0.2%,L2,B4)","4h: swing=0.2%, lookback=2, minLegBars=4",20,20.0,-5.69,-0.28,5.9,0.37,-0.51,94.31
