Rank,Score,Trading Mode,Direction,Take Profit,Stop Loss,Leverage,Timeframes,Detailed Timeframes,Total Trades,Win Rate %,Total PnL,Avg PnL,Max Drawdown %,Profit Factor,Sharpe Ratio,Final Capital
1,4838.88,cascade,both,0.9,0.4,80,"4h(0.7%,L2,B1,OF)+1h(0.1%,L2,B4,OF)","4h: swing=0.7%, lookback=2, minLegBars=1, opposite=false | 1h: swing=0.1%, lookback=2, minLegBars=4, opposite=false",16,62.5,1202.20,75.14,70.7,2.38,0.34,1302.20
2,1555.32,cascade,both,0.9,0.4,80,"4h(0.7%,L2,B1,OF)+1h(0.1%,L3,B4,OF)","4h: swing=0.7%, lookback=2, minLegBars=1, opposite=false | 1h: swing=0.1%, lookback=3, minLegBars=4, opposite=false",16,56.3,382.73,23.92,74.8,1.78,0.26,482.73
3,657.12,cascade,both,0.9,0.4,80,"4h(0.7%,L2,B1,OF)+1h(0.5%,L4,B4,OF)","4h: swing=0.7%, lookback=2, minLegBars=1, opposite=false | 1h: swing=0.5%, lookback=4, minLegBars=4, opposite=false",21,47.6,159.52,7.60,79.6,1.35,0.11,259.52
4,300.65,cascade,both,0.9,0.4,80,"4h(0.7%,L2,B1,OF)+1h(0.2%,L3,B4,OF)","4h: swing=0.7%, lookback=2, minLegBars=1, opposite=false | 1h: swing=0.2%, lookback=3, minLegBars=4, opposite=false",18,50.0,70.58,3.92,84.4,1.19,0.08,170.58
5,126.37,cascade,both,0.9,0.4,80,"4h(0.7%,L2,B1,OF)+1h(0.4%,L4,B4,OF)","4h: swing=0.7%, lookback=2, minLegBars=1, opposite=false | 1h: swing=0.4%, lookback=4, minLegBars=4, opposite=false",20,45.0,27.35,1.37,90.5,1.15,0.06,127.35
6,86.01,cascade,both,0.9,0.4,80,"4h(0.7%,L2,B1,OF)+1h(0.6%,L4,B4,OF)","4h: swing=0.7%, lookback=2, minLegBars=1, opposite=false | 1h: swing=0.6%, lookback=4, minLegBars=4, opposite=false",25,44.0,17.54,0.70,91.8,1.04,0.02,117.54
7,14.76,cascade,both,0.9,0.4,80,"4h(0.7%,L2,B1,OF)+1h(0.7%,L4,B4,OF)","4h: swing=0.7%, lookback=2, minLegBars=1, opposite=false | 1h: swing=0.7%, lookback=4, minLegBars=4, opposite=false",26,42.3,-26.48,-1.02,91.8,0.95,-0.02,73.52
8,13.44,cascade,both,0.9,0.4,80,"4h(0.7%,L2,B1,OF)+1h(0.3%,L3,B4,OF)","4h: swing=0.7%, lookback=2, minLegBars=1, opposite=false | 1h: swing=0.3%, lookback=3, minLegBars=4, opposite=false",19,42.1,-58.14,-3.06,96.2,0.75,-0.10,41.86
9,12.71,cascade,both,0.9,0.4,80,"4h(0.7%,L2,B1,OF)+1h(0.1%,L2,B2,OF)","4h: swing=0.7%, lookback=2, minLegBars=1, opposite=false | 1h: swing=0.1%, lookback=2, minLegBars=2, opposite=false",36,36.1,-96.14,-2.67,99.5,0.82,-0.05,3.86
10,12.64,cascade,both,0.9,0.4,80,"4h(0.7%,L2,B1,OF)+1h(0.7%,L4,B3,OF)","4h: swing=0.7%, lookback=2, minLegBars=1, opposite=false | 1h: swing=0.7%, lookback=4, minLegBars=3, opposite=false",24,37.5,-88.91,-3.70,97.1,0.77,-0.10,11.09
11,12.23,cascade,both,0.9,0.4,80,"4h(0.7%,L2,B1,OF)+1h(0.3%,L4,B4,OF)","4h: swing=0.7%, lookback=2, minLegBars=1, opposite=false | 1h: swing=0.3%, lookback=4, minLegBars=4, opposite=false",22,40.9,-54.94,-2.50,96.6,0.61,-0.19,45.06
12,12.08,cascade,both,0.9,0.4,80,"4h(0.7%,L2,B1,OF)+1h(0.5%,L5,B4,OF)","4h: swing=0.7%, lookback=2, minLegBars=1, opposite=false | 1h: swing=0.5%, lookback=5, minLegBars=4, opposite=false",23,39.1,-65.27,-2.84,94.3,0.64,-0.19,34.73
13,11.43,cascade,both,0.9,0.4,80,"4h(0.7%,L2,B1,OF)+1h(0.6%,L4,B3,OF)","4h: swing=0.7%, lookback=2, minLegBars=1, opposite=false | 1h: swing=0.6%, lookback=4, minLegBars=3, opposite=false",25,36.0,-93.98,-3.76,97.2,0.64,-0.16,6.02
14,10.85,cascade,both,0.9,0.4,80,"4h(0.7%,L2,B1,OF)+1h(0.5%,L5,B5,OF)","4h: swing=0.7%, lookback=2, minLegBars=1, opposite=false | 1h: swing=0.5%, lookback=5, minLegBars=5, opposite=false",19,31.6,-91.63,-4.82,94.4,0.68,-0.16,8.37
15,10.84,cascade,both,0.9,0.4,80,"4h(0.7%,L2,B1,OF)+1h(0.6%,L5,B4,OF)","4h: swing=0.7%, lookback=2, minLegBars=1, opposite=false | 1h: swing=0.6%, lookback=5, minLegBars=4, opposite=false",28,35.7,-89.84,-3.21,95.4,0.55,-0.23,10.16
16,10.84,cascade,both,0.9,0.4,80,"4h(0.7%,L2,B1,OF)+1h(0.7%,L5,B4,OF)","4h: swing=0.7%, lookback=2, minLegBars=1, opposite=false | 1h: swing=0.7%, lookback=5, minLegBars=4, opposite=false",28,35.7,-89.84,-3.21,95.4,0.55,-0.23,10.16
17,10.81,cascade,both,0.9,0.4,80,"4h(0.7%,L2,B1,OF)+1h(0.6%,L5,B3,OF)","4h: swing=0.7%, lookback=2, minLegBars=1, opposite=false | 1h: swing=0.6%, lookback=5, minLegBars=3, opposite=false",29,34.5,-97.14,-3.35,98.4,0.59,-0.18,2.86
18,10.67,cascade,both,0.9,0.4,80,"4h(0.7%,L2,B1,OF)+1h(0.4%,L5,B4,OF)","4h: swing=0.7%, lookback=2, minLegBars=1, opposite=false | 1h: swing=0.4%, lookback=5, minLegBars=4, opposite=false",24,37.5,-80.73,-3.36,96.8,0.48,-0.27,19.27
19,10.53,cascade,both,0.9,0.4,80,"4h(0.7%,L2,B1,OF)+1h(0.7%,L5,B3,OF)","4h: swing=0.7%, lookback=2, minLegBars=1, opposite=false | 1h: swing=0.7%, lookback=5, minLegBars=3, opposite=false",30,33.3,-98.13,-3.27,98.9,0.58,-0.18,1.87
20,10.06,cascade,both,0.9,0.4,80,"4h(0.7%,L2,B1,OF)+1h(0.1%,L4,B4,OF)","4h: swing=0.7%, lookback=2, minLegBars=1, opposite=false | 1h: swing=0.1%, lookback=4, minLegBars=4, opposite=false",19,36.8,-79.66,-4.19,94.7,0.40,-0.33,20.34
21,10.06,cascade,both,0.9,0.4,80,"4h(0.7%,L2,B1,OF)+1h(0.2%,L4,B4,OF)","4h: swing=0.7%, lookback=2, minLegBars=1, opposite=false | 1h: swing=0.2%, lookback=4, minLegBars=4, opposite=false",19,36.8,-79.66,-4.19,94.7,0.40,-0.33,20.34
22,10.04,cascade,both,0.9,0.4,80,"4h(0.7%,L2,B1,OF)+1h(0.1%,L3,B3,OF)","4h: swing=0.7%, lookback=2, minLegBars=1, opposite=false | 1h: swing=0.1%, lookback=3, minLegBars=3, opposite=false",27,29.6,-97.98,-3.63,99.0,0.62,-0.17,2.02
23,9.96,cascade,both,0.9,0.4,80,"4h(0.7%,L2,B1,OF)+1h(0.1%,L5,B4,OF)","4h: swing=0.7%, lookback=2, minLegBars=1, opposite=false | 1h: swing=0.1%, lookback=5, minLegBars=4, opposite=false",25,36.0,-88.76,-3.55,97.1,0.41,-0.30,11.24
