Rank,Score,Trading Mode,Direction,Take Profit,Stop Loss,Leverage,Timeframes,Detailed Timeframes,Total Trades,Win Rate %,Total PnL,Avg PnL,Max Drawdown %,Profit Factor,Sharpe Ratio,Final Capital
1,1998.48,cascade,both,0.9,0.4,80,"4h(0.5%,L2,B4,OF)+1h(0.4%,L4,B4,OF)","4h: swing=0.5%, lookback=2, minLegBars=4, opposite=false | 1h: swing=0.4%, lookback=4, minLegBars=4, opposite=false",3,100.0,484.62,161.54,0.0,999.00,2.27,584.62
2,1966.31,cascade,both,0.9,0.4,80,"4h(0.7%,L2,B1,OF)+1h(0.4%,L4,B4,OF)","4h: swing=0.7%, lookback=2, minLegBars=1, opposite=false | 1h: swing=0.4%, lookback=4, minLegBars=4, opposite=false",10,60.0,483.40,48.34,56.4,2.81,0.39,583.40
3,1789.06,cascade,both,0.9,0.4,80,"4h(0.2%,L1,B3,OF)+1h(0.4%,L4,B4,OF)","4h: swing=0.2%, lookback=1, minLegBars=3, opposite=false | 1h: swing=0.4%, lookback=4, minLegBars=4, opposite=false",3,100.0,432.27,144.09,0.0,999.00,2.34,532.27
4,1789.06,cascade,both,0.9,0.4,80,"4h(0.3%,L1,B3,OF)+1h(0.4%,L4,B4,OF)","4h: swing=0.3%, lookback=1, minLegBars=3, opposite=false | 1h: swing=0.4%, lookback=4, minLegBars=4, opposite=false",3,100.0,432.27,144.09,0.0,999.00,2.34,532.27
5,1789.06,cascade,both,0.9,0.4,80,"4h(0.4%,L2,B3,OF)+1h(0.4%,L4,B4,OF)","4h: swing=0.4%, lookback=2, minLegBars=3, opposite=false | 1h: swing=0.4%, lookback=4, minLegBars=4, opposite=false",3,100.0,432.27,144.09,0.0,999.00,2.34,532.27
6,1191.57,cascade,both,0.9,0.4,80,"4h(0.1%,L1,B4,OF)+1h(0.4%,L4,B4,OF)","4h: swing=0.1%, lookback=1, minLegBars=4, opposite=false | 1h: swing=0.4%, lookback=4, minLegBars=4, opposite=false",4,75.0,287.11,71.78,33.8,9.50,0.98,387.11
7,1191.57,cascade,both,0.9,0.4,80,"4h(0.1%,L2,B4,OF)+1h(0.4%,L4,B4,OF)","4h: swing=0.1%, lookback=2, minLegBars=4, opposite=false | 1h: swing=0.4%, lookback=4, minLegBars=4, opposite=false",4,75.0,287.11,71.78,33.8,9.50,0.98,387.11
8,1191.57,cascade,both,0.9,0.4,80,"4h(0.2%,L1,B4,OF)+1h(0.4%,L4,B4,OF)","4h: swing=0.2%, lookback=1, minLegBars=4, opposite=false | 1h: swing=0.4%, lookback=4, minLegBars=4, opposite=false",4,75.0,287.11,71.78,33.8,9.50,0.98,387.11
9,1191.57,cascade,both,0.9,0.4,80,"4h(0.2%,L2,B4,OF)+1h(0.4%,L4,B4,OF)","4h: swing=0.2%, lookback=2, minLegBars=4, opposite=false | 1h: swing=0.4%, lookback=4, minLegBars=4, opposite=false",4,75.0,287.11,71.78,33.8,9.50,0.98,387.11
10,1191.57,cascade,both,0.9,0.4,80,"4h(0.3%,L1,B4,OF)+1h(0.4%,L4,B4,OF)","4h: swing=0.3%, lookback=1, minLegBars=4, opposite=false | 1h: swing=0.4%, lookback=4, minLegBars=4, opposite=false",4,75.0,287.11,71.78,33.8,9.50,0.98,387.11
11,1191.57,cascade,both,0.9,0.4,80,"4h(0.3%,L2,B4,OF)+1h(0.4%,L4,B4,OF)","4h: swing=0.3%, lookback=2, minLegBars=4, opposite=false | 1h: swing=0.4%, lookback=4, minLegBars=4, opposite=false",4,75.0,287.11,71.78,33.8,9.50,0.98,387.11
12,1191.57,cascade,both,0.9,0.4,80,"4h(0.4%,L2,B4,OF)+1h(0.4%,L4,B4,OF)","4h: swing=0.4%, lookback=2, minLegBars=4, opposite=false | 1h: swing=0.4%, lookback=4, minLegBars=4, opposite=false",4,75.0,287.11,71.78,33.8,9.50,0.98,387.11
13,1182.54,cascade,both,0.9,0.4,80,"4h(0.6%,L2,B4,OF)+1h(0.4%,L4,B4,OF)","4h: swing=0.6%, lookback=2, minLegBars=4, opposite=false | 1h: swing=0.4%, lookback=4, minLegBars=4, opposite=false",4,75.0,284.88,71.22,34.2,9.34,0.97,384.88
14,1182.54,cascade,both,0.9,0.4,80,"4h(0.7%,L2,B4,OF)+1h(0.4%,L4,B4,OF)","4h: swing=0.7%, lookback=2, minLegBars=4, opposite=false | 1h: swing=0.4%, lookback=4, minLegBars=4, opposite=false",4,75.0,284.88,71.22,34.2,9.34,0.97,384.88
15,1137.17,cascade,both,0.9,0.4,80,"4h(0.1%,L1,B1,OF)+1h(0.4%,L4,B4,OF)","4h: swing=0.1%, lookback=1, minLegBars=1, opposite=false | 1h: swing=0.4%, lookback=4, minLegBars=4, opposite=false",11,54.5,277.51,25.23,56.4,2.20,0.32,377.51
16,1137.17,cascade,both,0.9,0.4,80,"4h(0.1%,L2,B1,OF)+1h(0.4%,L4,B4,OF)","4h: swing=0.1%, lookback=2, minLegBars=1, opposite=false | 1h: swing=0.4%, lookback=4, minLegBars=4, opposite=false",11,54.5,277.51,25.23,56.4,2.20,0.32,377.51
17,1137.17,cascade,both,0.9,0.4,80,"4h(0.2%,L1,B1,OF)+1h(0.4%,L4,B4,OF)","4h: swing=0.2%, lookback=1, minLegBars=1, opposite=false | 1h: swing=0.4%, lookback=4, minLegBars=4, opposite=false",11,54.5,277.51,25.23,56.4,2.20,0.32,377.51
18,1137.17,cascade,both,0.9,0.4,80,"4h(0.2%,L2,B1,OF)+1h(0.4%,L4,B4,OF)","4h: swing=0.2%, lookback=2, minLegBars=1, opposite=false | 1h: swing=0.4%, lookback=4, minLegBars=4, opposite=false",11,54.5,277.51,25.23,56.4,2.20,0.32,377.51
19,1137.17,cascade,both,0.9,0.4,80,"4h(0.3%,L1,B1,OF)+1h(0.4%,L4,B4,OF)","4h: swing=0.3%, lookback=1, minLegBars=1, opposite=false | 1h: swing=0.4%, lookback=4, minLegBars=4, opposite=false",11,54.5,277.51,25.23,56.4,2.20,0.32,377.51
20,1137.17,cascade,both,0.9,0.4,80,"4h(0.3%,L2,B1,OF)+1h(0.4%,L4,B4,OF)","4h: swing=0.3%, lookback=2, minLegBars=1, opposite=false | 1h: swing=0.4%, lookback=4, minLegBars=4, opposite=false",11,54.5,277.51,25.23,56.4,2.20,0.32,377.51
21,1137.17,cascade,both,0.9,0.4,80,"4h(0.4%,L1,B1,OF)+1h(0.4%,L4,B4,OF)","4h: swing=0.4%, lookback=1, minLegBars=1, opposite=false | 1h: swing=0.4%, lookback=4, minLegBars=4, opposite=false",11,54.5,277.51,25.23,56.4,2.20,0.32,377.51
22,1137.17,cascade,both,0.9,0.4,80,"4h(0.4%,L2,B1,OF)+1h(0.4%,L4,B4,OF)","4h: swing=0.4%, lookback=2, minLegBars=1, opposite=false | 1h: swing=0.4%, lookback=4, minLegBars=4, opposite=false",11,54.5,277.51,25.23,56.4,2.20,0.32,377.51
23,1137.17,cascade,both,0.9,0.4,80,"4h(0.5%,L2,B1,OF)+1h(0.4%,L4,B4,OF)","4h: swing=0.5%, lookback=2, minLegBars=1, opposite=false | 1h: swing=0.4%, lookback=4, minLegBars=4, opposite=false",11,54.5,277.51,25.23,56.4,2.20,0.32,377.51
24,1137.17,cascade,both,0.9,0.4,80,"4h(0.6%,L2,B1,OF)+1h(0.4%,L4,B4,OF)","4h: swing=0.6%, lookback=2, minLegBars=1, opposite=false | 1h: swing=0.4%, lookback=4, minLegBars=4, opposite=false",11,54.5,277.51,25.23,56.4,2.20,0.32,377.51
