Rank,Score,Trading Mode,Direction,Take Profit,Stop Loss,Leverage,Timeframes,Detailed Timeframes,Total Trades,Win Rate %,Total PnL,Avg PnL,Max Drawdown %,Profit Factor,Sharpe Ratio,Final Capital
1,14.92,cascade,both,0.9,0.4,80,"30m(0.7%,L5,B2,OF)+1h(0.1%,L2,B4,OF)","30m: swing=0.7%, lookback=5, minLegBars=2, opposite=false | 1h: swing=0.1%, lookback=2, minLegBars=4, opposite=false",16,43.8,-22.88,-1.43,79.5,0.92,-0.03,77.12
2,14.69,cascade,both,0.9,0.4,80,"30m(0.7%,L1,B5,OF)+1h(0.1%,L2,B4,OF)","30m: swing=0.7%, lookback=1, minLegBars=5, opposite=false | 1h: swing=0.1%, lookback=2, minLegBars=4, opposite=false",7,42.9,-22.27,-3.18,62.9,0.92,-0.04,77.73
3,13.69,cascade,both,0.9,0.4,80,"30m(0.7%,L5,B3,OF)+1h(0.1%,L2,B4,OF)","30m: swing=0.7%, lookback=5, minLegBars=3, opposite=false | 1h: swing=0.1%, lookback=2, minLegBars=4, opposite=false",15,40.0,-46.42,-3.09,76.3,0.85,-0.07,53.58
4,12.98,cascade,both,0.9,0.4,80,"30m(0.1%,L4,B2,OF)+1h(0.1%,L2,B4,OF)","30m: swing=0.1%, lookback=4, minLegBars=2, opposite=false | 1h: swing=0.1%, lookback=2, minLegBars=4, opposite=false",25,40.0,-70.22,-2.81,87.6,0.75,-0.13,29.78
5,12.70,cascade,both,0.9,0.4,80,"30m(0.3%,L3,B4,OF)+1h(0.1%,L2,B4,OF)","30m: swing=0.3%, lookback=3, minLegBars=4, opposite=false | 1h: swing=0.1%, lookback=2, minLegBars=4, opposite=false",14,35.7,-61.90,-4.42,83.0,0.83,-0.08,38.10
6,12.33,cascade,both,0.9,0.4,80,"30m(0.3%,L5,B2,OF)+1h(0.1%,L2,B4,OF)","30m: swing=0.3%, lookback=5, minLegBars=2, opposite=false | 1h: swing=0.1%, lookback=2, minLegBars=4, opposite=false",24,37.5,-81.07,-3.38,90.1,0.72,-0.13,18.93
7,11.97,cascade,both,0.9,0.4,80,"30m(0.7%,L5,B5,OF)+1h(0.1%,L2,B4,OF)","30m: swing=0.7%, lookback=5, minLegBars=5, opposite=false | 1h: swing=0.1%, lookback=2, minLegBars=4, opposite=false",9,33.3,-57.36,-6.37,83.0,0.80,-0.10,42.64
8,11.84,cascade,both,0.9,0.4,80,"30m(0.7%,L1,B1,OF)+1h(0.1%,L2,B4,OF)","30m: swing=0.7%, lookback=1, minLegBars=1, opposite=false | 1h: swing=0.1%, lookback=2, minLegBars=4, opposite=false",8,37.5,-73.17,-9.15,84.9,0.65,-0.17,26.83
9,11.84,cascade,both,0.9,0.4,80,"30m(0.7%,L1,B2,OF)+1h(0.1%,L2,B4,OF)","30m: swing=0.7%, lookback=1, minLegBars=2, opposite=false | 1h: swing=0.1%, lookback=2, minLegBars=4, opposite=false",8,37.5,-73.17,-9.15,84.9,0.65,-0.17,26.83
10,11.84,cascade,both,0.9,0.4,80,"30m(0.7%,L1,B3,OF)+1h(0.1%,L2,B4,OF)","30m: swing=0.7%, lookback=1, minLegBars=3, opposite=false | 1h: swing=0.1%, lookback=2, minLegBars=4, opposite=false",8,37.5,-73.17,-9.15,84.9,0.65,-0.17,26.83
11,11.84,cascade,both,0.9,0.4,80,"30m(0.7%,L1,B4,OF)+1h(0.1%,L2,B4,OF)","30m: swing=0.7%, lookback=1, minLegBars=4, opposite=false | 1h: swing=0.1%, lookback=2, minLegBars=4, opposite=false",8,37.5,-73.17,-9.15,84.9,0.65,-0.17,26.83
12,11.81,cascade,both,0.9,0.4,80,"30m(0.7%,L5,B4,OF)+1h(0.1%,L2,B4,OF)","30m: swing=0.7%, lookback=5, minLegBars=4, opposite=false | 1h: swing=0.1%, lookback=2, minLegBars=4, opposite=false",12,33.3,-66.61,-5.55,83.0,0.77,-0.12,33.39
13,11.58,cascade,both,0.9,0.4,80,"30m(0.3%,L5,B4,OF)+1h(0.1%,L2,B4,OF)","30m: swing=0.3%, lookback=5, minLegBars=4, opposite=false | 1h: swing=0.1%, lookback=2, minLegBars=4, opposite=false",15,33.3,-73.58,-4.91,83.0,0.74,-0.14,26.42
14,11.53,cascade,both,0.9,0.4,80,"30m(0.3%,L5,B3,OF)+1h(0.1%,L2,B4,OF)","30m: swing=0.3%, lookback=5, minLegBars=3, opposite=false | 1h: swing=0.1%, lookback=2, minLegBars=4, opposite=false",25,36.0,-87.88,-3.52,90.7,0.65,-0.18,12.12
15,11.49,cascade,both,0.9,0.4,80,"30m(0.7%,L4,B4,OF)+1h(0.1%,L2,B4,OF)","30m: swing=0.7%, lookback=4, minLegBars=4, opposite=false | 1h: swing=0.1%, lookback=2, minLegBars=4, opposite=false",12,33.3,-66.75,-5.56,71.7,0.72,-0.16,33.25
16,11.46,cascade,both,0.9,0.4,80,"30m(0.7%,L2,B4,OF)+1h(0.1%,L2,B4,OF)","30m: swing=0.7%, lookback=2, minLegBars=4, opposite=false | 1h: swing=0.1%, lookback=2, minLegBars=4, opposite=false",12,33.3,-68.81,-5.73,74.9,0.72,-0.16,31.19
17,11.43,cascade,both,0.9,0.4,80,"30m(0.7%,L3,B5,OF)+1h(0.1%,L2,B4,OF)","30m: swing=0.7%, lookback=3, minLegBars=5, opposite=false | 1h: swing=0.1%, lookback=2, minLegBars=4, opposite=false",8,37.5,-70.06,-8.76,77.9,0.59,-0.23,29.94
18,11.28,cascade,both,0.9,0.4,80,"30m(0.7%,L4,B5,OF)+1h(0.1%,L2,B4,OF)","30m: swing=0.7%, lookback=4, minLegBars=5, opposite=false | 1h: swing=0.1%, lookback=2, minLegBars=4, opposite=false",12,33.3,-74.11,-6.18,80.5,0.69,-0.17,25.89
19,11.14,cascade,both,0.9,0.4,80,"30m(0.2%,L1,B3,OF)+1h(0.1%,L2,B4,OF)","30m: swing=0.2%, lookback=1, minLegBars=3, opposite=false | 1h: swing=0.1%, lookback=2, minLegBars=4, opposite=false",18,33.3,-81.56,-4.53,81.6,0.67,-0.19,18.44
20,11.05,cascade,both,0.9,0.4,80,"30m(0.7%,L4,B2,OF)+1h(0.1%,L2,B4,OF)","30m: swing=0.7%, lookback=4, minLegBars=2, opposite=false | 1h: swing=0.1%, lookback=2, minLegBars=4, opposite=false",15,33.3,-83.51,-5.57,86.0,0.66,-0.18,16.49
21,10.99,cascade,both,0.9,0.4,80,"30m(0.3%,L1,B3,OF)+1h(0.1%,L2,B4,OF)","30m: swing=0.3%, lookback=1, minLegBars=3, opposite=false | 1h: swing=0.1%, lookback=2, minLegBars=4, opposite=false",20,35.0,-87.27,-4.36,88.5,0.60,-0.23,12.73
22,10.96,cascade,both,0.9,0.4,80,"30m(0.4%,L5,B3,OF)+1h(0.1%,L2,B4,OF)","30m: swing=0.4%, lookback=5, minLegBars=3, opposite=false | 1h: swing=0.1%, lookback=2, minLegBars=4, opposite=false",26,34.6,-92.77,-3.57,93.6,0.61,-0.20,7.23
23,10.89,cascade,both,0.9,0.4,80,"30m(0.1%,L5,B2,OF)+1h(0.1%,L2,B4,OF)","30m: swing=0.1%, lookback=5, minLegBars=2, opposite=false | 1h: swing=0.1%, lookback=2, minLegBars=4, opposite=false",23,34.8,-90.08,-3.92,94.1,0.59,-0.20,9.92
24,10.89,cascade,both,0.9,0.4,80,"30m(0.2%,L5,B2,OF)+1h(0.1%,L2,B4,OF)","30m: swing=0.2%, lookback=5, minLegBars=2, opposite=false | 1h: swing=0.1%, lookback=2, minLegBars=4, opposite=false",23,34.8,-90.08,-3.92,94.1,0.59,-0.20,9.92
25,10.84,cascade,both,0.9,0.4,80,"30m(0.2%,L4,B2,OF)+1h(0.1%,L2,B4,OF)","30m: swing=0.2%, lookback=4, minLegBars=2, opposite=false | 1h: swing=0.1%, lookback=2, minLegBars=4, opposite=false",25,36.0,-88.42,-3.54,95.0,0.55,-0.25,11.58
26,10.75,cascade,both,0.9,0.4,80,"30m(0.3%,L4,B2,OF)+1h(0.1%,L2,B4,OF)","30m: swing=0.3%, lookback=4, minLegBars=2, opposite=false | 1h: swing=0.1%, lookback=2, minLegBars=4, opposite=false",24,33.3,-92.86,-3.87,92.9,0.61,-0.21,7.14
27,10.66,cascade,both,0.9,0.4,80,"30m(0.7%,L2,B5,OF)+1h(0.1%,L2,B4,OF)","30m: swing=0.7%, lookback=2, minLegBars=5, opposite=false | 1h: swing=0.1%, lookback=2, minLegBars=4, opposite=false",9,33.3,-79.13,-8.79,82.2,0.60,-0.23,20.87
28,10.58,cascade,both,0.9,0.4,80,"30m(0.1%,L3,B2,OF)+1h(0.1%,L2,B4,OF)","30m: swing=0.1%, lookback=3, minLegBars=2, opposite=false | 1h: swing=0.1%, lookback=2, minLegBars=4, opposite=false",23,34.8,-86.29,-3.75,95.2,0.54,-0.22,13.71
29,10.48,cascade,both,0.9,0.4,80,"30m(0.7%,L3,B4,OF)+1h(0.1%,L2,B4,OF)","30m: swing=0.7%, lookback=3, minLegBars=4, opposite=false | 1h: swing=0.1%, lookback=2, minLegBars=4, opposite=false",9,33.3,-68.91,-7.66,77.0,0.57,-0.25,31.09
30,10.38,cascade,both,0.9,0.4,80,"30m(0.3%,L4,B3,OF)+1h(0.1%,L2,B4,OF)","30m: swing=0.3%, lookback=4, minLegBars=3, opposite=false | 1h: swing=0.1%, lookback=2, minLegBars=4, opposite=false",27,37.0,-90.73,-3.36,96.6,0.45,-0.31,9.27
