Rank,Score,Trading Mode,Direction,Take Profit,Stop Loss,Leverage,Timeframes,Detailed Timeframes,Total Trades,Win Rate %,Total PnL,Avg PnL,Max Drawdown %,Profit Factor,Sharpe Ratio,Final Capital
1,13.55,cascade,both,0.9,0.4,80,"2h(0.1%,L1,B1,OF)+1h(0.4%,L4,B4,OF)","2h: swing=0.1%, lookback=1, minLegBars=1, opposite=false | 1h: swing=0.4%, lookback=4, minLegBars=4, opposite=false",60,43.3,-60.16,-1.00,98.8,0.73,-0.11,39.84
2,13.55,cascade,both,0.9,0.4,80,"2h(0.1%,L1,B2,OF)+1h(0.4%,L4,B4,OF)","2h: swing=0.1%, lookback=1, minLegBars=2, opposite=false | 1h: swing=0.4%, lookback=4, minLegBars=4, opposite=false",60,43.3,-60.16,-1.00,98.8,0.73,-0.11,39.84
3,13.55,cascade,both,0.9,0.4,80,"2h(0.1%,L1,B3,OF)+1h(0.4%,L4,B4,OF)","2h: swing=0.1%, lookback=1, minLegBars=3, opposite=false | 1h: swing=0.4%, lookback=4, minLegBars=4, opposite=false",60,43.3,-60.16,-1.00,98.8,0.73,-0.11,39.84
4,13.55,cascade,both,0.9,0.4,80,"2h(0.1%,L1,B4,OF)+1h(0.4%,L4,B4,OF)","2h: swing=0.1%, lookback=1, minLegBars=4, opposite=false | 1h: swing=0.4%, lookback=4, minLegBars=4, opposite=false",60,43.3,-60.16,-1.00,98.8,0.73,-0.11,39.84
5,13.55,cascade,both,0.9,0.4,80,"2h(0.1%,L1,B5,OF)+1h(0.4%,L4,B4,OF)","2h: swing=0.1%, lookback=1, minLegBars=5, opposite=false | 1h: swing=0.4%, lookback=4, minLegBars=4, opposite=false",60,43.3,-60.16,-1.00,98.8,0.73,-0.11,39.84
6,13.55,cascade,both,0.9,0.4,80,"2h(0.1%,L2,B1,OF)+1h(0.4%,L4,B4,OF)","2h: swing=0.1%, lookback=2, minLegBars=1, opposite=false | 1h: swing=0.4%, lookback=4, minLegBars=4, opposite=false",60,43.3,-60.16,-1.00,98.8,0.73,-0.11,39.84
7,13.55,cascade,both,0.9,0.4,80,"2h(0.1%,L2,B2,OF)+1h(0.4%,L4,B4,OF)","2h: swing=0.1%, lookback=2, minLegBars=2, opposite=false | 1h: swing=0.4%, lookback=4, minLegBars=4, opposite=false",60,43.3,-60.16,-1.00,98.8,0.73,-0.11,39.84
8,13.55,cascade,both,0.9,0.4,80,"2h(0.1%,L2,B3,OF)+1h(0.4%,L4,B4,OF)","2h: swing=0.1%, lookback=2, minLegBars=3, opposite=false | 1h: swing=0.4%, lookback=4, minLegBars=4, opposite=false",60,43.3,-60.16,-1.00,98.8,0.73,-0.11,39.84
9,13.55,cascade,both,0.9,0.4,80,"2h(0.1%,L2,B4,OF)+1h(0.4%,L4,B4,OF)","2h: swing=0.1%, lookback=2, minLegBars=4, opposite=false | 1h: swing=0.4%, lookback=4, minLegBars=4, opposite=false",60,43.3,-60.16,-1.00,98.8,0.73,-0.11,39.84
10,13.55,cascade,both,0.9,0.4,80,"2h(0.1%,L2,B5,OF)+1h(0.4%,L4,B4,OF)","2h: swing=0.1%, lookback=2, minLegBars=5, opposite=false | 1h: swing=0.4%, lookback=4, minLegBars=4, opposite=false",60,43.3,-60.16,-1.00,98.8,0.73,-0.11,39.84
