Rank,Score,Trading Mode,Direction,Take Profit,Stop Loss,Leverage,Timeframes,Detailed Timeframes,Total Trades,Win Rate %,Total PnL,Avg PnL,Max Drawdown %,Profit Factor,Sharpe Ratio,Final Capital
1,1227.67,cascade,both,0.9,0.4,80,"4h(0.7%,L2,B1,OF)+1h(0.1%,L2,B4,OF)","4h: swing=0.7%, lookback=2, minLegBars=1, opposite=false | 1h: swing=0.1%, lookback=2, minLegBars=4, opposite=false",8,62.5,298.62,37.33,56.4,2.78,0.43,398.62
2,1007.60,cascade,both,0.9,0.4,80,"4h(0.5%,L2,B4,OF)+1h(0.1%,L2,B4,OF)","4h: swing=0.5%, lookback=2, minLegBars=4, opposite=false | 1h: swing=0.1%, lookback=2, minLegBars=4, opposite=false",2,100.0,236.90,118.45,0.0,999.00,2.62,336.90
3,887.86,cascade,both,0.9,0.4,80,"4h(0.6%,L3,B3,OF)+1h(0.1%,L2,B4,OF)","4h: swing=0.6%, lookback=3, minLegBars=3, opposite=false | 1h: swing=0.1%, lookback=2, minLegBars=4, opposite=false",2,100.0,206.96,103.48,0.0,999.00,3.42,306.96
4,887.86,cascade,both,0.9,0.4,80,"4h(0.6%,L4,B3,OF)+1h(0.1%,L2,B4,OF)","4h: swing=0.6%, lookback=4, minLegBars=3, opposite=false | 1h: swing=0.1%, lookback=2, minLegBars=4, opposite=false",2,100.0,206.96,103.48,0.0,999.00,3.42,306.96
5,887.86,cascade,both,0.9,0.4,80,"4h(0.7%,L3,B3,OF)+1h(0.1%,L2,B4,OF)","4h: swing=0.7%, lookback=3, minLegBars=3, opposite=false | 1h: swing=0.1%, lookback=2, minLegBars=4, opposite=false",2,100.0,206.96,103.48,0.0,999.00,3.42,306.96
6,887.86,cascade,both,0.9,0.4,80,"4h(0.7%,L4,B3,OF)+1h(0.1%,L2,B4,OF)","4h: swing=0.7%, lookback=4, minLegBars=3, opposite=false | 1h: swing=0.1%, lookback=2, minLegBars=4, opposite=false",2,100.0,206.96,103.48,0.0,999.00,3.42,306.96
7,655.84,cascade,both,0.9,0.4,80,"4h(0.1%,L1,B1,OF)+1h(0.1%,L2,B4,OF)","4h: swing=0.1%, lookback=1, minLegBars=1, opposite=false | 1h: swing=0.1%, lookback=2, minLegBars=4, opposite=false",9,55.6,157.94,17.55,67.0,1.76,0.25,257.94
8,655.84,cascade,both,0.9,0.4,80,"4h(0.1%,L2,B1,OF)+1h(0.1%,L2,B4,OF)","4h: swing=0.1%, lookback=2, minLegBars=1, opposite=false | 1h: swing=0.1%, lookback=2, minLegBars=4, opposite=false",9,55.6,157.94,17.55,67.0,1.76,0.25,257.94
9,655.84,cascade,both,0.9,0.4,80,"4h(0.2%,L1,B1,OF)+1h(0.1%,L2,B4,OF)","4h: swing=0.2%, lookback=1, minLegBars=1, opposite=false | 1h: swing=0.1%, lookback=2, minLegBars=4, opposite=false",9,55.6,157.94,17.55,67.0,1.76,0.25,257.94
10,655.84,cascade,both,0.9,0.4,80,"4h(0.2%,L2,B1,OF)+1h(0.1%,L2,B4,OF)","4h: swing=0.2%, lookback=2, minLegBars=1, opposite=false | 1h: swing=0.1%, lookback=2, minLegBars=4, opposite=false",9,55.6,157.94,17.55,67.0,1.76,0.25,257.94
