Rank,Score,Trading Mode,Direction,Take Profit,Stop Loss,Leverage,Timeframes,Detailed Timeframes,Total Trades,Win Rate %,Total PnL,Avg PnL,Max Drawdown %,Profit Factor,Sharpe Ratio,Final Capital
61,15.08,cascade,both,0.9,0.4,1,"6h(0.2%,L5,B4)","6h: swing=0.2%, lookback=5, minLegBars=4",11,18.2,-3.07,-0.28,4.1,0.34,-0.52,96.93
62,15.08,cascade,both,0.9,0.4,1,"6h(0.3%,L5,B4)","6h: swing=0.3%, lookback=5, minLegBars=4",11,18.2,-3.07,-0.28,4.1,0.34,-0.52,96.93
63,15.08,cascade,both,0.9,0.4,1,"6h(0.4%,L5,B4)","6h: swing=0.4%, lookback=5, minLegBars=4",11,18.2,-3.07,-0.28,4.1,0.34,-0.52,96.93
64,15.08,cascade,both,0.9,0.4,1,"6h(0.5%,L5,B4)","6h: swing=0.5%, lookback=5, minLegBars=4",11,18.2,-3.07,-0.28,4.1,0.34,-0.52,96.93
65,15.08,cascade,both,0.9,0.4,1,"6h(0.6%,L5,B4)","6h: swing=0.6%, lookback=5, minLegBars=4",11,18.2,-3.07,-0.28,4.1,0.34,-0.52,96.93
66,15.08,cascade,both,0.9,0.4,1,"6h(0.7%,L5,B4)","6h: swing=0.7%, lookback=5, minLegBars=4",11,18.2,-3.07,-0.28,4.1,0.34,-0.52,96.93
67,14.69,cascade,both,0.9,0.4,1,"6h(0.2%,L1,B1)","6h: swing=0.2%, lookback=1, minLegBars=1",50,22.0,-11.78,-0.24,12.6,0.42,-0.43,88.22
68,14.58,cascade,both,0.9,0.4,1,"6h(0.5%,L2,B4)","6h: swing=0.5%, lookback=2, minLegBars=4",12,16.7,-3.68,-0.31,4.6,0.33,-0.57,96.32
69,14.58,cascade,both,0.9,0.4,1,"6h(0.6%,L2,B4)","6h: swing=0.6%, lookback=2, minLegBars=4",12,16.7,-3.68,-0.31,4.6,0.33,-0.57,96.32
70,14.58,cascade,both,0.9,0.4,1,"6h(0.7%,L2,B4)","6h: swing=0.7%, lookback=2, minLegBars=4",12,16.7,-3.68,-0.31,4.6,0.33,-0.57,96.32
71,14.42,cascade,both,0.9,0.4,1,"6h(0.1%,L1,B1)","6h: swing=0.1%, lookback=1, minLegBars=1",51,21.6,-12.32,-0.24,13.1,0.41,-0.45,87.68
72,14.14,cascade,both,0.9,0.4,1,"6h(0.1%,L3,B1)","6h: swing=0.1%, lookback=3, minLegBars=1",27,18.5,-7.87,-0.29,8.6,0.32,-0.57,92.13
73,14.14,cascade,both,0.9,0.4,1,"6h(0.2%,L3,B1)","6h: swing=0.2%, lookback=3, minLegBars=1",27,18.5,-7.87,-0.29,8.6,0.32,-0.57,92.13
74,14.14,cascade,both,0.9,0.4,1,"6h(0.3%,L3,B1)","6h: swing=0.3%, lookback=3, minLegBars=1",27,18.5,-7.87,-0.29,8.6,0.32,-0.57,92.13
75,14.14,cascade,both,0.9,0.4,1,"6h(0.4%,L3,B1)","6h: swing=0.4%, lookback=3, minLegBars=1",27,18.5,-7.87,-0.29,8.6,0.32,-0.57,92.13
76,14.14,cascade,both,0.9,0.4,1,"6h(0.5%,L3,B1)","6h: swing=0.5%, lookback=3, minLegBars=1",27,18.5,-7.87,-0.29,8.6,0.32,-0.57,92.13
77,14.14,cascade,both,0.9,0.4,1,"6h(0.6%,L3,B1)","6h: swing=0.6%, lookback=3, minLegBars=1",27,18.5,-7.87,-0.29,8.6,0.32,-0.57,92.13
78,14.14,cascade,both,0.9,0.4,1,"6h(0.7%,L3,B1)","6h: swing=0.7%, lookback=3, minLegBars=1",27,18.5,-7.87,-0.29,8.6,0.32,-0.57,92.13
79,13.92,cascade,both,0.9,0.4,1,"6h(0.1%,L4,B3)","6h: swing=0.1%, lookback=4, minLegBars=3",13,15.4,-4.12,-0.32,4.9,0.27,-0.65,95.88
80,13.92,cascade,both,0.9,0.4,1,"6h(0.2%,L4,B3)","6h: swing=0.2%, lookback=4, minLegBars=3",13,15.4,-4.12,-0.32,4.9,0.27,-0.65,95.88
81,13.92,cascade,both,0.9,0.4,1,"6h(0.3%,L4,B3)","6h: swing=0.3%, lookback=4, minLegBars=3",13,15.4,-4.12,-0.32,4.9,0.27,-0.65,95.88
82,13.92,cascade,both,0.9,0.4,1,"6h(0.4%,L4,B3)","6h: swing=0.4%, lookback=4, minLegBars=3",13,15.4,-4.12,-0.32,4.9,0.27,-0.65,95.88
83,13.92,cascade,both,0.9,0.4,1,"6h(0.5%,L4,B3)","6h: swing=0.5%, lookback=4, minLegBars=3",13,15.4,-4.12,-0.32,4.9,0.27,-0.65,95.88
84,13.92,cascade,both,0.9,0.4,1,"6h(0.6%,L4,B3)","6h: swing=0.6%, lookback=4, minLegBars=3",13,15.4,-4.12,-0.32,4.9,0.27,-0.65,95.88
85,13.92,cascade,both,0.9,0.4,1,"6h(0.7%,L4,B3)","6h: swing=0.7%, lookback=4, minLegBars=3",13,15.4,-4.12,-0.32,4.9,0.27,-0.65,95.88
86,13.65,cascade,both,0.9,0.4,1,"6h(0.7%,L1,B2)","6h: swing=0.7%, lookback=1, minLegBars=2",19,15.8,-5.97,-0.31,6.7,0.28,-0.65,94.03
87,13.47,cascade,both,0.9,0.4,1,"6h(0.1%,L1,B4)","6h: swing=0.1%, lookback=1, minLegBars=4",14,14.3,-5.05,-0.36,5.1,0.24,-0.74,94.95
88,13.47,cascade,both,0.9,0.4,1,"6h(0.2%,L1,B4)","6h: swing=0.2%, lookback=1, minLegBars=4",14,14.3,-5.05,-0.36,5.1,0.24,-0.74,94.95
89,13.33,cascade,both,0.9,0.4,1,"6h(0.7%,L1,B1)","6h: swing=0.7%, lookback=1, minLegBars=1",30,16.7,-9.39,-0.31,9.6,0.29,-0.63,90.61
90,13.27,cascade,both,0.9,0.4,1,"6h(0.3%,L1,B1)","6h: swing=0.3%, lookback=1, minLegBars=1",47,19.1,-12.98,-0.28,14.2,0.34,-0.54,87.02
91,13.23,cascade,both,0.9,0.4,1,"6h(0.4%,L1,B2)","6h: swing=0.4%, lookback=1, minLegBars=2",25,16.0,-7.91,-0.32,9.4,0.29,-0.63,92.09
92,13.17,cascade,both,0.9,0.4,1,"6h(0.5%,L1,B3)","6h: swing=0.5%, lookback=1, minLegBars=3",15,13.3,-4.95,-0.33,5.7,0.25,-0.70,95.05
93,13.17,cascade,both,0.9,0.4,1,"6h(0.6%,L1,B3)","6h: swing=0.6%, lookback=1, minLegBars=3",15,13.3,-4.95,-0.33,5.7,0.25,-0.70,95.05
94,12.93,cascade,both,0.9,0.4,1,"6h(0.4%,L1,B1)","6h: swing=0.4%, lookback=1, minLegBars=1",40,17.5,-12.04,-0.30,13.0,0.30,-0.61,87.96
95,12.93,cascade,both,0.9,0.4,1,"6h(0.3%,L1,B2)","6h: swing=0.3%, lookback=1, minLegBars=2",26,15.4,-8.75,-0.34,9.5,0.26,-0.71,91.25
