Rank,Score,Trading Mode,Direction,Take Profit,Stop Loss,Leverage,Timeframes,Detailed Timeframes,Total Trades,Win Rate %,Total PnL,Avg PnL,Max Drawdown %,Profit Factor,Sharpe Ratio,Final Capital
1,14.80,cascade,both,0.9,0.4,80,"30m(0.2%,L1,B4,OF)","30m: swing=0.2%, lookback=1, minLegBars=4, opposite=false",100,41.0,-98.72,-0.99,100.0,0.99,-0.00,1.28
2,14.01,cascade,both,0.9,0.4,80,"30m(0.1%,L1,B2,OF)","30m: swing=0.1%, lookback=1, minLegBars=2, opposite=false",141,39.0,-99.96,-0.71,100.0,0.93,-0.02,0.04
3,13.79,cascade,both,0.9,0.4,80,"30m(0.1%,L1,B4,OF)","30m: swing=0.1%, lookback=1, minLegBars=4, opposite=false",102,39.2,-99.74,-0.98,100.0,0.89,-0.04,0.26
4,13.65,cascade,both,0.9,0.4,80,"30m(0.7%,L2,B4,OF)","30m: swing=0.7%, lookback=2, minLegBars=4, opposite=false",66,39.4,-97.67,-1.48,99.8,0.87,-0.04,2.33
5,13.50,cascade,both,0.9,0.4,80,"30m(0.7%,L1,B5,OF)","30m: swing=0.7%, lookback=1, minLegBars=5, opposite=false",36,38.9,-88.34,-2.45,98.5,0.86,-0.06,11.66
6,13.49,cascade,both,0.9,0.4,80,"30m(0.6%,L1,B2,OF)","30m: swing=0.6%, lookback=1, minLegBars=2, opposite=false",64,39.1,-99.49,-1.55,99.9,0.85,-0.04,0.51
7,13.28,cascade,both,0.9,0.4,80,"30m(0.6%,L1,B5,OF)","30m: swing=0.6%, lookback=1, minLegBars=5, opposite=false",47,40.4,-93.19,-1.98,99.4,0.78,-0.07,6.81
8,13.19,cascade,both,0.9,0.4,80,"30m(0.4%,L2,B5,OF)","30m: swing=0.4%, lookback=2, minLegBars=5, opposite=false",82,36.6,-99.92,-1.22,100.0,0.88,-0.03,0.08
9,13.17,cascade,both,0.9,0.4,80,"30m(0.7%,L1,B4,OF)","30m: swing=0.7%, lookback=1, minLegBars=4, opposite=false",36,38.9,-94.05,-2.61,99.2,0.81,-0.07,5.95
10,13.15,cascade,both,0.9,0.4,80,"30m(0.6%,L1,B1,OF)","30m: swing=0.6%, lookback=1, minLegBars=1, opposite=false",73,37.0,-99.95,-1.37,100.0,0.86,-0.03,0.05
11,12.86,cascade,both,0.9,0.4,80,"30m(0.7%,L1,B2,OF)","30m: swing=0.7%, lookback=1, minLegBars=2, opposite=false",47,36.2,-99.42,-2.12,99.9,0.84,-0.04,0.58
12,12.82,cascade,both,0.9,0.4,80,"30m(0.2%,L2,B4,OF)","30m: swing=0.2%, lookback=2, minLegBars=4, opposite=false",104,35.6,-100.00,-0.96,100.0,0.86,-0.05,0.00
13,12.76,cascade,both,0.9,0.4,80,"30m(0.1%,L3,B4,OF)","30m: swing=0.1%, lookback=3, minLegBars=4, opposite=false",95,32.6,-100.00,-1.05,100.0,0.94,-0.02,0.00
14,12.76,cascade,both,0.9,0.4,80,"30m(0.5%,L2,B4,OF)","30m: swing=0.5%, lookback=2, minLegBars=4, opposite=false",85,37.6,-99.97,-1.18,100.0,0.78,-0.04,0.03
15,12.76,cascade,both,0.9,0.4,80,"30m(0.7%,L1,B1,OF)","30m: swing=0.7%, lookback=1, minLegBars=1, opposite=false",53,34.0,-99.90,-1.88,100.0,0.89,-0.02,0.10
16,12.70,cascade,both,0.9,0.4,80,"30m(0.6%,L1,B4,OF)","30m: swing=0.6%, lookback=1, minLegBars=4, opposite=false",49,38.8,-98.66,-2.01,99.8,0.74,-0.07,1.34
