Rank,Score,Trading Mode,Direction,Take Profit,Stop Loss,Leverage,Timeframes,Detailed Timeframes,Total Trades,Win Rate %,Total PnL,Avg PnL,Max Drawdown %,Profit Factor,Sharpe Ratio,Final Capital
1,934.13,cascade,both,0.9,0.4,80,"4h(0.1%,L2,B2,OF)+1h(0.4%,L4,B4,OF)","4h: swing=0.1%, lookback=2, minLegBars=2, opposite=false | 1h: swing=0.4%, lookback=4, minLegBars=4, opposite=false",9,55.6,226.20,25.13,57.8,2.43,0.40,326.20
2,934.13,cascade,both,0.9,0.4,80,"4h(0.2%,L2,B2,OF)+1h(0.4%,L4,B4,OF)","4h: swing=0.2%, lookback=2, minLegBars=2, opposite=false | 1h: swing=0.4%, lookback=4, minLegBars=4, opposite=false",9,55.6,226.20,25.13,57.8,2.43,0.40,326.20
3,934.13,cascade,both,0.9,0.4,80,"4h(0.3%,L2,B2,OF)+1h(0.4%,L4,B4,OF)","4h: swing=0.3%, lookback=2, minLegBars=2, opposite=false | 1h: swing=0.4%, lookback=4, minLegBars=4, opposite=false",9,55.6,226.20,25.13,57.8,2.43,0.40,326.20
4,679.41,cascade,both,0.9,0.4,80,"4h(0.6%,L1,B4,OF)+1h(0.4%,L4,B4,OF)","4h: swing=0.6%, lookback=1, minLegBars=4, opposite=false | 1h: swing=0.4%, lookback=4, minLegBars=4, opposite=false",7,57.1,162.18,23.17,62.8,2.57,0.42,262.18
5,679.41,cascade,both,0.9,0.4,80,"4h(0.7%,L1,B4,OF)+1h(0.4%,L4,B4,OF)","4h: swing=0.7%, lookback=1, minLegBars=4, opposite=false | 1h: swing=0.4%, lookback=4, minLegBars=4, opposite=false",7,57.1,162.18,23.17,62.8,2.57,0.42,262.18
6,592.59,cascade,both,0.9,0.4,80,"4h(0.3%,L1,B4,OF)+1h(0.4%,L4,B4,OF)","4h: swing=0.3%, lookback=1, minLegBars=4, opposite=false | 1h: swing=0.4%, lookback=4, minLegBars=4, opposite=false",9,55.6,141.65,15.74,65.7,2.00,0.31,241.65
7,504.42,cascade,both,0.9,0.4,80,"4h(0.5%,L2,B4,OF)+1h(0.4%,L4,B4,OF)","4h: swing=0.5%, lookback=2, minLegBars=4, opposite=false | 1h: swing=0.4%, lookback=4, minLegBars=4, opposite=false",5,60.0,117.72,23.54,62.8,2.88,0.48,217.72
8,368.05,cascade,both,0.9,0.4,80,"4h(0.1%,L4,B2,OF)+1h(0.4%,L4,B4,OF)","4h: swing=0.1%, lookback=4, minLegBars=2, opposite=false | 1h: swing=0.4%, lookback=4, minLegBars=4, opposite=false",8,50.0,86.86,10.86,72.0,1.46,0.18,186.86
9,368.05,cascade,both,0.9,0.4,80,"4h(0.2%,L4,B2,OF)+1h(0.4%,L4,B4,OF)","4h: swing=0.2%, lookback=4, minLegBars=2, opposite=false | 1h: swing=0.4%, lookback=4, minLegBars=4, opposite=false",8,50.0,86.86,10.86,72.0,1.46,0.18,186.86
10,368.05,cascade,both,0.9,0.4,80,"4h(0.3%,L4,B2,OF)+1h(0.4%,L4,B4,OF)","4h: swing=0.3%, lookback=4, minLegBars=2, opposite=false | 1h: swing=0.4%, lookback=4, minLegBars=4, opposite=false",8,50.0,86.86,10.86,72.0,1.46,0.18,186.86
11,368.05,cascade,both,0.9,0.4,80,"4h(0.4%,L4,B2,OF)+1h(0.4%,L4,B4,OF)","4h: swing=0.4%, lookback=4, minLegBars=2, opposite=false | 1h: swing=0.4%, lookback=4, minLegBars=4, opposite=false",8,50.0,86.86,10.86,72.0,1.46,0.18,186.86
12,368.05,cascade,both,0.9,0.4,80,"4h(0.5%,L4,B2,OF)+1h(0.4%,L4,B4,OF)","4h: swing=0.5%, lookback=4, minLegBars=2, opposite=false | 1h: swing=0.4%, lookback=4, minLegBars=4, opposite=false",8,50.0,86.86,10.86,72.0,1.46,0.18,186.86
13,363.68,cascade,both,0.9,0.4,80,"4h(0.6%,L4,B2,OF)+1h(0.4%,L4,B4,OF)","4h: swing=0.6%, lookback=4, minLegBars=2, opposite=false | 1h: swing=0.4%, lookback=4, minLegBars=4, opposite=false",8,50.0,85.78,10.72,72.1,1.45,0.18,185.78
14,363.68,cascade,both,0.9,0.4,80,"4h(0.7%,L4,B2,OF)+1h(0.4%,L4,B4,OF)","4h: swing=0.7%, lookback=4, minLegBars=2, opposite=false | 1h: swing=0.4%, lookback=4, minLegBars=4, opposite=false",8,50.0,85.78,10.72,72.1,1.45,0.18,185.78
15,313.03,cascade,both,0.9,0.4,80,"4h(0.1%,L3,B3,OF)+1h(0.4%,L4,B4,OF)","4h: swing=0.1%, lookback=3, minLegBars=3, opposite=false | 1h: swing=0.4%, lookback=4, minLegBars=4, opposite=false",8,50.0,72.58,9.07,67.4,1.72,0.25,172.58
16,313.03,cascade,both,0.9,0.4,80,"4h(0.2%,L3,B3,OF)+1h(0.4%,L4,B4,OF)","4h: swing=0.2%, lookback=3, minLegBars=3, opposite=false | 1h: swing=0.4%, lookback=4, minLegBars=4, opposite=false",8,50.0,72.58,9.07,67.4,1.72,0.25,172.58
17,313.03,cascade,both,0.9,0.4,80,"4h(0.3%,L3,B3,OF)+1h(0.4%,L4,B4,OF)","4h: swing=0.3%, lookback=3, minLegBars=3, opposite=false | 1h: swing=0.4%, lookback=4, minLegBars=4, opposite=false",8,50.0,72.58,9.07,67.4,1.72,0.25,172.58
