Rank,Score,Trading Mode,Direction,Take Profit,Stop Loss,Leverage,Timeframes,Detailed Timeframes,Total Trades,Win Rate %,Total PnL,Avg PnL,Max Drawdown %,Profit Factor,Sharpe Ratio,Final Capital
1,15.77,cascade,both,0.9,0.4,80,"1h(0.4%,L2,B4,OF)","1h: swing=0.4%, lookback=2, minLegBars=4, opposite=false",70,45.7,-57.42,-0.82,98.7,0.99,-0.00,42.58
2,15.58,cascade,both,0.9,0.4,80,"1h(0.5%,L2,B4,OF)","1h: swing=0.5%, lookback=2, minLegBars=4, opposite=false",69,44.9,-83.12,-1.20,99.6,0.99,-0.00,16.88
3,14.80,cascade,both,0.9,0.4,80,"1h(0.6%,L1,B3,OF)","1h: swing=0.6%, lookback=1, minLegBars=3, opposite=false",68,41.2,-99.36,-1.46,100.0,0.99,-0.00,0.64
4,14.63,cascade,both,0.9,0.4,80,"1h(0.5%,L1,B3,OF)","1h: swing=0.5%, lookback=1, minLegBars=3, opposite=false",74,41.9,-99.00,-1.34,99.9,0.94,-0.02,1.00
5,14.28,cascade,both,0.9,0.4,80,"1h(0.5%,L1,B4,OF)","1h: swing=0.5%, lookback=1, minLegBars=4, opposite=false",65,41.5,-99.70,-1.53,99.9,0.90,-0.03,0.30
6,13.96,cascade,both,0.9,0.4,80,"1h(0.6%,L2,B4,OF)","1h: swing=0.6%, lookback=2, minLegBars=4, opposite=false",67,41.8,-97.95,-1.46,99.6,0.84,-0.06,2.05
7,13.83,cascade,both,0.9,0.4,80,"1h(0.7%,L1,B3,OF)","1h: swing=0.7%, lookback=1, minLegBars=3, opposite=false",64,37.5,-99.85,-1.56,100.0,0.95,-0.01,0.15
8,13.82,cascade,both,0.9,0.4,80,"1h(0.4%,L1,B4,OF)","1h: swing=0.4%, lookback=1, minLegBars=4, opposite=false",67,38.8,-99.95,-1.49,100.0,0.91,-0.03,0.05
9,13.78,cascade,both,0.9,0.4,80,"1h(0.6%,L1,B4,OF)","1h: swing=0.6%, lookback=1, minLegBars=4, opposite=false",61,41.0,-99.64,-1.63,100.0,0.84,-0.05,0.36
10,13.65,cascade,both,0.9,0.4,80,"1h(0.4%,L3,B4,OF)","1h: swing=0.4%, lookback=3, minLegBars=4, opposite=false",72,40.3,-99.50,-1.38,99.6,0.84,-0.06,0.50
11,13.55,cascade,both,0.9,0.4,80,"1h(0.7%,L2,B4,OF)","1h: swing=0.7%, lookback=2, minLegBars=4, opposite=false",62,38.7,-99.78,-1.61,99.9,0.87,-0.04,0.22
12,13.28,cascade,both,0.9,0.4,80,"1h(0.6%,L1,B2,OF)","1h: swing=0.6%, lookback=1, minLegBars=2, opposite=false",92,35.9,-100.00,-1.09,100.0,0.92,-0.02,0.00
13,13.25,cascade,both,0.9,0.4,80,"1h(0.7%,L1,B4,OF)","1h: swing=0.7%, lookback=1, minLegBars=4, opposite=false",60,38.3,-99.85,-1.66,99.9,0.84,-0.05,0.15
14,12.28,cascade,both,0.9,0.4,80,"1h(0.6%,L3,B4,OF)","1h: swing=0.6%, lookback=3, minLegBars=4, opposite=false",71,39.4,-99.79,-1.41,99.8,0.66,-0.14,0.21
15,11.99,cascade,both,0.9,0.4,80,"1h(0.5%,L1,B2,OF)","1h: swing=0.5%, lookback=1, minLegBars=2, opposite=false",103,35.0,-100.00,-0.97,100.0,0.75,-0.07,0.00
16,11.93,cascade,both,0.9,0.4,80,"1h(0.5%,L3,B4,OF)","1h: swing=0.5%, lookback=3, minLegBars=4, opposite=false",71,38.0,-99.93,-1.41,99.9,0.65,-0.14,0.07
17,11.91,cascade,both,0.9,0.4,80,"1h(0.7%,L1,B2,OF)","1h: swing=0.7%, lookback=1, minLegBars=2, opposite=false",84,33.3,-100.00,-1.19,100.0,0.79,-0.07,0.00
18,11.52,cascade,both,0.9,0.4,80,"1h(0.4%,L4,B4,OF)","1h: swing=0.4%, lookback=4, minLegBars=4, opposite=false",72,37.5,-99.94,-1.39,99.9,0.60,-0.12,0.06
19,11.50,cascade,both,0.9,0.4,80,"1h(0.1%,L2,B2,OF)","1h: swing=0.1%, lookback=2, minLegBars=2, opposite=false",132,31.8,-100.00,-0.76,100.0,0.77,-0.03,0.00
20,11.50,cascade,both,0.9,0.4,80,"1h(0.3%,L2,B4,OF)","1h: swing=0.3%, lookback=2, minLegBars=4, opposite=false",72,31.9,-100.00,-1.39,100.0,0.77,-0.05,0.00
21,11.29,cascade,both,0.9,0.4,80,"1h(0.3%,L2,B2,OF)","1h: swing=0.3%, lookback=2, minLegBars=2, opposite=false",124,30.6,-100.00,-0.81,100.0,0.77,-0.03,0.00
22,11.12,cascade,both,0.9,0.4,80,"1h(0.2%,L2,B2,OF)","1h: swing=0.2%, lookback=2, minLegBars=2, opposite=false",130,30.0,-100.00,-0.77,100.0,0.77,-0.03,0.00
23,10.99,cascade,both,0.9,0.4,80,"1h(0.7%,L2,B3,OF)","1h: swing=0.7%, lookback=2, minLegBars=3, opposite=false",76,34.2,-100.00,-1.32,100.0,0.62,-0.09,0.00
24,10.93,cascade,both,0.9,0.4,80,"1h(0.1%,L1,B3,OF)","1h: swing=0.1%, lookback=1, minLegBars=3, opposite=false",104,32.7,-100.00,-0.96,100.0,0.66,-0.11,0.00
25,10.74,cascade,both,0.9,0.4,80,"1h(0.4%,L2,B3,OF)","1h: swing=0.4%, lookback=2, minLegBars=3, opposite=false",91,33.0,-100.00,-1.10,100.0,0.62,-0.07,0.00
26,10.71,cascade,both,0.9,0.4,80,"1h(0.2%,L1,B3,OF)","1h: swing=0.2%, lookback=1, minLegBars=3, opposite=false",99,35.4,-100.00,-1.01,100.0,0.55,-0.14,0.00
27,10.43,cascade,both,0.9,0.4,80,"1h(0.4%,L2,B2,OF)","1h: swing=0.4%, lookback=2, minLegBars=2, opposite=false",119,31.1,-100.00,-0.84,100.0,0.63,-0.06,0.00
28,10.39,cascade,both,0.9,0.4,80,"1h(0.6%,L1,B1,OF)","1h: swing=0.6%, lookback=1, minLegBars=1, opposite=false",124,32.3,-100.00,-0.81,100.0,0.59,-0.10,0.00
29,10.38,cascade,both,0.9,0.4,80,"1h(0.3%,L3,B4,OF)","1h: swing=0.3%, lookback=3, minLegBars=4, opposite=false",70,32.9,-99.99,-1.43,100.0,0.57,-0.13,0.01
30,10.31,cascade,both,0.9,0.4,80,"1h(0.1%,L1,B4,OF)","1h: swing=0.1%, lookback=1, minLegBars=4, opposite=false",77,36.4,-99.95,-1.30,100.0,0.46,-0.18,0.05
31,10.19,cascade,both,0.9,0.4,80,"1h(0.1%,L4,B4,OF)","1h: swing=0.1%, lookback=4, minLegBars=4, opposite=false",72,33.3,-100.00,-1.39,100.0,0.53,-0.13,0.00
32,10.19,cascade,both,0.9,0.4,80,"1h(0.2%,L4,B4,OF)","1h: swing=0.2%, lookback=4, minLegBars=4, opposite=false",72,33.3,-100.00,-1.39,100.0,0.53,-0.13,0.00
33,10.19,cascade,both,0.9,0.4,80,"1h(0.3%,L4,B4,OF)","1h: swing=0.3%, lookback=4, minLegBars=4, opposite=false",72,33.3,-100.00,-1.39,100.0,0.53,-0.13,0.00
34,10.04,cascade,both,0.9,0.4,80,"1h(0.1%,L3,B4,OF)","1h: swing=0.1%, lookback=3, minLegBars=4, opposite=false",72,33.3,-99.99,-1.39,100.0,0.51,-0.14,0.01
35,10.04,cascade,both,0.9,0.4,80,"1h(0.2%,L3,B4,OF)","1h: swing=0.2%, lookback=3, minLegBars=4, opposite=false",72,33.3,-99.99,-1.39,100.0,0.51,-0.14,0.01
36,10.04,cascade,both,0.9,0.4,80,"1h(0.4%,L2,B1,OF)","1h: swing=0.4%, lookback=2, minLegBars=1, opposite=false",182,31.9,-100.00,-0.55,100.0,0.55,-0.06,0.00
37,10.00,cascade,both,0.9,0.4,80,"1h(0.3%,L2,B3,OF)","1h: swing=0.3%, lookback=2, minLegBars=3, opposite=false",92,29.3,-100.00,-1.09,100.0,0.62,-0.07,0.00
38,9.88,cascade,both,0.9,0.4,80,"1h(0.2%,L2,B3,OF)","1h: swing=0.2%, lookback=2, minLegBars=3, opposite=false",93,29.0,-100.00,-1.08,100.0,0.61,-0.07,0.00
39,9.87,cascade,both,0.9,0.4,80,"1h(0.5%,L4,B4,OF)","1h: swing=0.5%, lookback=4, minLegBars=4, opposite=false",72,36.1,-99.99,-1.39,100.0,0.40,-0.21,0.01
40,9.84,cascade,both,0.9,0.4,80,"1h(0.3%,L2,B1,OF)","1h: swing=0.3%, lookback=2, minLegBars=1, opposite=false",191,30.9,-100.00,-0.52,100.0,0.55,-0.05,0.00
41,9.80,cascade,both,0.9,0.4,80,"1h(0.4%,L3,B3,OF)","1h: swing=0.4%, lookback=3, minLegBars=3, opposite=false",87,32.2,-100.00,-1.15,100.0,0.51,-0.13,0.00
42,9.75,cascade,both,0.9,0.4,80,"1h(0.1%,L2,B1,OF)","1h: swing=0.1%, lookback=2, minLegBars=1, opposite=false",199,30.7,-100.00,-0.50,100.0,0.54,-0.05,0.00
43,9.75,cascade,both,0.9,0.4,80,"1h(0.2%,L2,B1,OF)","1h: swing=0.2%, lookback=2, minLegBars=1, opposite=false",196,30.6,-100.00,-0.51,100.0,0.54,-0.05,0.00
