Rank,Score,Trading Mode,Direction,Take Profit,Stop Loss,Leverage,Timeframes,Detailed Timeframes,Total Trades,Win Rate %,Total PnL,Avg PnL,Max Drawdown %,Profit Factor,Sharpe Ratio,Final Capital
1,40143.81,cascade,both,0.9,0.4,80,"30m(0.1%,L4,B2,OF)+1h(0.4%,L2,B4,OF)","30m: swing=0.1%, lookback=4, minLegBars=2, opposite=false | 1h: swing=0.4%, lookback=2, minLegBars=4, opposite=false",32,59.4,10031.14,313.47,82.3,1.09,0.03,10131.14
2,40143.81,cascade,both,0.9,0.4,80,"30m(0.2%,L4,B2,OF)+1h(0.4%,L2,B4,OF)","30m: swing=0.2%, lookback=4, minLegBars=2, opposite=false | 1h: swing=0.4%, lookback=2, minLegBars=4, opposite=false",32,59.4,10031.14,313.47,82.3,1.09,0.03,10131.14
3,37175.35,cascade,both,0.9,0.4,80,"30m(0.7%,L1,B4,OF)+1h(0.4%,L2,B4,OF)","30m: swing=0.7%, lookback=1, minLegBars=4, opposite=false | 1h: swing=0.4%, lookback=2, minLegBars=4, opposite=false",13,76.9,9284.72,714.21,57.1,2.94,0.30,9384.72
4,28273.17,cascade,both,0.9,0.4,80,"30m(0.5%,L1,B4,OF)+1h(0.4%,L2,B4,OF)","30m: swing=0.5%, lookback=1, minLegBars=4, opposite=false | 1h: swing=0.4%, lookback=2, minLegBars=4, opposite=false",11,81.8,7057.97,641.63,41.5,15.43,0.64,7157.97
5,28149.12,cascade,both,0.9,0.4,80,"30m(0.7%,L1,B2,OF)+1h(0.4%,L2,B4,OF)","30m: swing=0.7%, lookback=1, minLegBars=2, opposite=false | 1h: swing=0.4%, lookback=2, minLegBars=4, opposite=false",15,73.3,7029.68,468.65,57.1,2.17,0.25,7129.68
6,28149.12,cascade,both,0.9,0.4,80,"30m(0.7%,L1,B3,OF)+1h(0.4%,L2,B4,OF)","30m: swing=0.7%, lookback=1, minLegBars=3, opposite=false | 1h: swing=0.4%, lookback=2, minLegBars=4, opposite=false",15,73.3,7029.68,468.65,57.1,2.17,0.25,7129.68
7,23474.72,cascade,both,0.9,0.4,80,"30m(0.3%,L1,B2,OF)+1h(0.4%,L2,B4,OF)","30m: swing=0.3%, lookback=1, minLegBars=2, opposite=false | 1h: swing=0.4%, lookback=2, minLegBars=4, opposite=false",20,65.0,5863.48,293.17,79.4,1.13,0.05,5963.48
8,23314.33,cascade,both,0.9,0.4,80,"30m(0.1%,L2,B4,OF)+1h(0.4%,L2,B4,OF)","30m: swing=0.1%, lookback=2, minLegBars=4, opposite=false | 1h: swing=0.4%, lookback=2, minLegBars=4, opposite=false",19,68.4,5822.81,306.46,80.8,1.33,0.11,5922.81
9,22947.18,cascade,both,0.9,0.4,80,"30m(0.1%,L2,B2,OF)+1h(0.4%,L2,B4,OF)","30m: swing=0.1%, lookback=2, minLegBars=2, opposite=false | 1h: swing=0.4%, lookback=2, minLegBars=4, opposite=false",24,62.5,5731.68,238.82,75.6,1.16,0.05,5831.68
10,22252.37,cascade,both,0.9,0.4,80,"30m(0.2%,L2,B4,OF)+1h(0.4%,L2,B4,OF)","30m: swing=0.2%, lookback=2, minLegBars=4, opposite=false | 1h: swing=0.4%, lookback=2, minLegBars=4, opposite=false",19,68.4,5557.58,292.50,80.8,1.21,0.07,5657.58
11,22137.78,cascade,both,0.9,0.4,80,"30m(0.4%,L4,B2,OF)+1h(0.4%,L2,B4,OF)","30m: swing=0.4%, lookback=4, minLegBars=2, opposite=false | 1h: swing=0.4%, lookback=2, minLegBars=4, opposite=false",31,58.1,5529.70,178.38,82.3,1.09,0.03,5629.70
12,20024.26,cascade,both,0.9,0.4,80,"30m(0.6%,L1,B4,OF)+1h(0.4%,L2,B4,OF)","30m: swing=0.6%, lookback=1, minLegBars=4, opposite=false | 1h: swing=0.4%, lookback=2, minLegBars=4, opposite=false",12,75.0,4996.56,416.38,57.1,10.40,0.61,5096.56
13,18178.28,cascade,both,0.9,0.4,80,"30m(0.6%,L1,B2,OF)+1h(0.4%,L2,B4,OF)","30m: swing=0.6%, lookback=1, minLegBars=2, opposite=false | 1h: swing=0.4%, lookback=2, minLegBars=4, opposite=false",16,68.8,4537.80,283.61,71.3,1.84,0.21,4637.80
14,18049.45,cascade,both,0.9,0.4,80,"30m(0.3%,L1,B4,OF)+1h(0.4%,L2,B4,OF)","30m: swing=0.3%, lookback=1, minLegBars=4, opposite=false | 1h: swing=0.4%, lookback=2, minLegBars=4, opposite=false",14,71.4,4506.41,321.89,72.6,1.35,0.10,4606.41
15,16780.78,cascade,both,0.9,0.4,80,"30m(0.5%,L1,B2,OF)+1h(0.4%,L2,B4,OF)","30m: swing=0.5%, lookback=1, minLegBars=2, opposite=false | 1h: swing=0.4%, lookback=2, minLegBars=4, opposite=false",16,68.8,4189.09,261.82,55.8,1.49,0.15,4289.09
16,16080.26,cascade,both,0.9,0.4,80,"30m(0.3%,L4,B2,OF)+1h(0.4%,L2,B4,OF)","30m: swing=0.3%, lookback=4, minLegBars=2, opposite=false | 1h: swing=0.4%, lookback=2, minLegBars=4, opposite=false",33,57.6,4015.34,121.68,82.6,1.09,0.03,4115.34
17,11371.38,cascade,both,0.9,0.4,80,"30m(0.2%,L1,B4,OF)+1h(0.4%,L2,B4,OF)","30m: swing=0.2%, lookback=1, minLegBars=4, opposite=false | 1h: swing=0.4%, lookback=2, minLegBars=4, opposite=false",17,64.7,2837.12,166.89,62.7,1.41,0.12,2937.12
18,10689.72,cascade,both,0.9,0.4,80,"30m(0.3%,L2,B2,OF)+1h(0.4%,L2,B4,OF)","30m: swing=0.3%, lookback=2, minLegBars=2, opposite=false | 1h: swing=0.4%, lookback=2, minLegBars=4, opposite=false",26,57.7,2667.38,102.59,62.4,1.24,0.08,2767.38
19,9962.28,cascade,both,0.9,0.4,80,"30m(0.5%,L4,B2,OF)+1h(0.4%,L2,B4,OF)","30m: swing=0.5%, lookback=4, minLegBars=2, opposite=false | 1h: swing=0.4%, lookback=2, minLegBars=4, opposite=false",29,58.6,2485.87,85.72,90.9,1.05,0.02,2585.87
20,9781.18,cascade,both,0.9,0.4,80,"30m(0.7%,L1,B1,OF)+1h(0.4%,L2,B4,OF)","30m: swing=0.7%, lookback=1, minLegBars=1, opposite=false | 1h: swing=0.4%, lookback=2, minLegBars=4, opposite=false",17,64.7,2439.62,143.51,57.1,1.37,0.12,2539.62
21,8878.04,cascade,both,0.9,0.4,80,"30m(0.6%,L4,B2,OF)+1h(0.4%,L2,B4,OF)","30m: swing=0.6%, lookback=4, minLegBars=2, opposite=false | 1h: swing=0.4%, lookback=2, minLegBars=4, opposite=false",29,58.6,2214.67,76.37,76.4,1.11,0.04,2314.67
22,8736.22,cascade,both,0.9,0.4,80,"30m(0.5%,L2,B3,OF)+1h(0.4%,L2,B4,OF)","30m: swing=0.5%, lookback=2, minLegBars=3, opposite=false | 1h: swing=0.4%, lookback=2, minLegBars=4, opposite=false",18,66.7,2178.51,121.03,90.2,1.27,0.08,2278.51
23,7340.67,cascade,both,0.9,0.4,80,"30m(0.5%,L2,B4,OF)+1h(0.4%,L2,B4,OF)","30m: swing=0.5%, lookback=2, minLegBars=4, opposite=false | 1h: swing=0.4%, lookback=2, minLegBars=4, opposite=false",16,68.8,1829.45,114.34,91.6,1.29,0.10,1929.45
24,7247.96,cascade,both,0.9,0.4,80,"30m(0.7%,L3,B2,OF)+1h(0.4%,L2,B4,OF)","30m: swing=0.7%, lookback=3, minLegBars=2, opposite=false | 1h: swing=0.4%, lookback=2, minLegBars=4, opposite=false",22,59.1,1806.57,82.12,72.3,1.38,0.13,1906.57
25,6949.33,cascade,both,0.9,0.4,80,"30m(0.4%,L3,B3,OF)+1h(0.4%,L2,B4,OF)","30m: swing=0.4%, lookback=3, minLegBars=3, opposite=false | 1h: swing=0.4%, lookback=2, minLegBars=4, opposite=false",25,56.0,1732.50,69.30,72.6,1.17,0.06,1832.50
26,6680.17,cascade,both,0.9,0.4,80,"30m(0.2%,L2,B2,OF)+1h(0.4%,L2,B4,OF)","30m: swing=0.2%, lookback=2, minLegBars=2, opposite=false | 1h: swing=0.4%, lookback=2, minLegBars=4, opposite=false",28,57.1,1665.25,59.47,75.6,1.13,0.04,1765.25
27,6464.98,cascade,both,0.9,0.4,80,"30m(0.5%,L3,B3,OF)+1h(0.4%,L2,B4,OF)","30m: swing=0.5%, lookback=3, minLegBars=3, opposite=false | 1h: swing=0.4%, lookback=2, minLegBars=4, opposite=false",22,59.1,1610.77,73.22,76.6,1.41,0.13,1710.77
28,6229.15,cascade,both,0.9,0.4,80,"30m(0.6%,L1,B1,OF)+1h(0.4%,L2,B4,OF)","30m: swing=0.6%, lookback=1, minLegBars=1, opposite=false | 1h: swing=0.4%, lookback=2, minLegBars=4, opposite=false",18,61.1,1552.00,86.22,71.3,1.27,0.09,1652.00
29,6050.23,cascade,both,0.9,0.4,80,"30m(0.1%,L3,B4,OF)+1h(0.4%,L2,B4,OF)","30m: swing=0.1%, lookback=3, minLegBars=4, opposite=false | 1h: swing=0.4%, lookback=2, minLegBars=4, opposite=false",18,61.1,1507.68,83.76,91.2,1.07,0.02,1607.68
30,6050.23,cascade,both,0.9,0.4,80,"30m(0.2%,L3,B4,OF)+1h(0.4%,L2,B4,OF)","30m: swing=0.2%, lookback=3, minLegBars=4, opposite=false | 1h: swing=0.4%, lookback=2, minLegBars=4, opposite=false",18,61.1,1507.68,83.76,91.2,1.07,0.02,1607.68
31,5742.11,cascade,both,0.9,0.4,80,"30m(0.7%,L2,B4,OF)+1h(0.4%,L2,B4,OF)","30m: swing=0.7%, lookback=2, minLegBars=4, opposite=false | 1h: swing=0.4%, lookback=2, minLegBars=4, opposite=false",14,64.3,1429.82,102.13,87.6,1.39,0.14,1529.82
32,5718.16,cascade,both,0.9,0.4,80,"30m(0.6%,L1,B3,OF)+1h(0.4%,L2,B4,OF)","30m: swing=0.6%, lookback=1, minLegBars=3, opposite=false | 1h: swing=0.4%, lookback=2, minLegBars=4, opposite=false",14,64.3,1423.08,101.65,71.3,1.79,0.22,1523.08
33,5597.81,cascade,both,0.9,0.4,80,"30m(0.7%,L2,B3,OF)+1h(0.4%,L2,B4,OF)","30m: swing=0.7%, lookback=2, minLegBars=3, opposite=false | 1h: swing=0.4%, lookback=2, minLegBars=4, opposite=false",19,57.9,1394.16,73.38,78.7,1.35,0.12,1494.16
34,5268.16,cascade,both,0.9,0.4,80,"30m(0.7%,L3,B4,OF)+1h(0.4%,L2,B4,OF)","30m: swing=0.7%, lookback=3, minLegBars=4, opposite=false | 1h: swing=0.4%, lookback=2, minLegBars=4, opposite=false",15,60.0,1311.53,87.44,72.3,1.40,0.14,1411.53
35,5224.61,cascade,both,0.9,0.4,80,"30m(0.3%,L1,B1,OF)+1h(0.4%,L2,B4,OF)","30m: swing=0.3%, lookback=1, minLegBars=1, opposite=false | 1h: swing=0.4%, lookback=2, minLegBars=4, opposite=false",34,55.9,1301.53,38.28,82.6,1.08,0.03,1401.53
36,5102.59,cascade,both,0.9,0.4,80,"30m(0.5%,L1,B3,OF)+1h(0.4%,L2,B4,OF)","30m: swing=0.5%, lookback=1, minLegBars=3, opposite=false | 1h: swing=0.4%, lookback=2, minLegBars=4, opposite=false",14,64.3,1269.27,90.66,57.1,1.75,0.20,1369.27
37,4818.49,cascade,both,0.9,0.4,80,"30m(0.5%,L2,B2,OF)+1h(0.4%,L2,B4,OF)","30m: swing=0.5%, lookback=2, minLegBars=2, opposite=false | 1h: swing=0.4%, lookback=2, minLegBars=4, opposite=false",17,64.7,1199.19,70.54,85.1,1.25,0.09,1299.19
38,4764.59,cascade,both,0.9,0.4,80,"30m(0.7%,L4,B2,OF)+1h(0.4%,L2,B4,OF)","30m: swing=0.7%, lookback=4, minLegBars=2, opposite=false | 1h: swing=0.4%, lookback=2, minLegBars=4, opposite=false",26,57.7,1186.19,45.62,84.0,1.19,0.07,1286.19
39,4607.49,cascade,both,0.9,0.4,80,"30m(0.4%,L1,B4,OF)+1h(0.4%,L2,B4,OF)","30m: swing=0.4%, lookback=1, minLegBars=4, opposite=false | 1h: swing=0.4%, lookback=2, minLegBars=4, opposite=false",14,64.3,1146.28,81.88,57.4,1.34,0.12,1246.28
40,3967.01,cascade,both,0.9,0.4,80,"30m(0.6%,L2,B3,OF)+1h(0.4%,L2,B4,OF)","30m: swing=0.6%, lookback=2, minLegBars=3, opposite=false | 1h: swing=0.4%, lookback=2, minLegBars=4, opposite=false",18,61.1,986.04,54.78,81.9,1.47,0.17,1086.04
41,3795.82,cascade,both,0.9,0.4,80,"30m(0.3%,L3,B4,OF)+1h(0.4%,L2,B4,OF)","30m: swing=0.3%, lookback=3, minLegBars=4, opposite=false | 1h: swing=0.4%, lookback=2, minLegBars=4, opposite=false",19,57.9,944.30,49.70,94.4,1.05,0.02,1044.30
42,3544.22,cascade,both,0.9,0.4,80,"30m(0.6%,L3,B3,OF)+1h(0.4%,L2,B4,OF)","30m: swing=0.6%, lookback=3, minLegBars=3, opposite=false | 1h: swing=0.4%, lookback=2, minLegBars=4, opposite=false",21,57.1,880.85,41.95,76.4,1.32,0.11,980.85
43,3134.22,cascade,both,0.9,0.4,80,"30m(0.4%,L1,B2,OF)+1h(0.4%,L2,B4,OF)","30m: swing=0.4%, lookback=1, minLegBars=2, opposite=false | 1h: swing=0.4%, lookback=2, minLegBars=4, opposite=false",15,60.0,778.40,51.89,58.9,1.23,0.08,878.40
44,3028.36,cascade,both,0.9,0.4,80,"30m(0.4%,L1,B1,OF)+1h(0.4%,L2,B4,OF)","30m: swing=0.4%, lookback=1, minLegBars=1, opposite=false | 1h: swing=0.4%, lookback=2, minLegBars=4, opposite=false",27,55.6,752.41,27.87,82.6,1.11,0.04,852.41
45,3025.76,cascade,both,0.9,0.4,80,"30m(0.6%,L3,B2,OF)+1h(0.4%,L2,B4,OF)","30m: swing=0.6%, lookback=3, minLegBars=2, opposite=false | 1h: swing=0.4%, lookback=2, minLegBars=4, opposite=false",23,56.5,751.81,32.69,88.3,1.07,0.02,851.81
46,2863.26,cascade,both,0.9,0.4,80,"30m(0.4%,L3,B4,OF)+1h(0.4%,L2,B4,OF)","30m: swing=0.4%, lookback=3, minLegBars=4, opposite=false | 1h: swing=0.4%, lookback=2, minLegBars=4, opposite=false",15,60.0,710.81,47.39,82.1,1.16,0.06,810.81
47,2850.31,cascade,both,0.9,0.4,80,"30m(0.6%,L3,B4,OF)+1h(0.4%,L2,B4,OF)","30m: swing=0.6%, lookback=3, minLegBars=4, opposite=false | 1h: swing=0.4%, lookback=2, minLegBars=4, opposite=false",16,62.5,707.38,44.21,79.6,1.19,0.07,807.38
48,2739.86,cascade,both,0.9,0.4,80,"30m(0.5%,L3,B2,OF)+1h(0.4%,L2,B4,OF)","30m: swing=0.5%, lookback=3, minLegBars=2, opposite=false | 1h: swing=0.4%, lookback=2, minLegBars=4, opposite=false",19,57.9,680.25,35.80,89.1,1.07,0.02,780.25
49,2617.02,cascade,both,0.9,0.4,80,"30m(0.4%,L2,B4,OF)+1h(0.4%,L2,B4,OF)","30m: swing=0.4%, lookback=2, minLegBars=4, opposite=false | 1h: swing=0.4%, lookback=2, minLegBars=4, opposite=false",17,58.8,649.50,38.21,87.7,1.07,0.02,749.50
50,2497.70,cascade,both,0.9,0.4,80,"30m(0.5%,L3,B4,OF)+1h(0.4%,L2,B4,OF)","30m: swing=0.5%, lookback=3, minLegBars=4, opposite=false | 1h: swing=0.4%, lookback=2, minLegBars=4, opposite=false",16,62.5,619.26,38.70,81.0,1.18,0.06,719.26
51,2323.85,cascade,both,0.9,0.4,80,"30m(0.7%,L3,B3,OF)+1h(0.4%,L2,B4,OF)","30m: swing=0.7%, lookback=3, minLegBars=3, opposite=false | 1h: swing=0.4%, lookback=2, minLegBars=4, opposite=false",19,52.6,575.92,30.31,72.4,1.35,0.12,675.92
52,2185.75,cascade,both,0.9,0.4,80,"30m(0.3%,L4,B4,OF)+1h(0.4%,L2,B4,OF)","30m: swing=0.3%, lookback=4, minLegBars=4, opposite=false | 1h: swing=0.4%, lookback=2, minLegBars=4, opposite=false",23,52.2,542.05,23.57,92.6,1.05,0.02,642.05
53,2146.14,cascade,both,0.9,0.4,80,"30m(0.6%,L2,B4,OF)+1h(0.4%,L2,B4,OF)","30m: swing=0.6%, lookback=2, minLegBars=4, opposite=false | 1h: swing=0.4%, lookback=2, minLegBars=4, opposite=false",14,64.3,531.16,37.94,89.4,1.23,0.09,631.16
54,2111.21,cascade,both,0.9,0.4,80,"30m(0.1%,L4,B4,OF)+1h(0.4%,L2,B4,OF)","30m: swing=0.1%, lookback=4, minLegBars=4, opposite=false | 1h: swing=0.4%, lookback=2, minLegBars=4, opposite=false",23,52.2,523.42,22.76,92.6,1.05,0.02,623.42
