Rank,Score,Trading Mode,Direction,Take Profit,Stop Loss,Leverage,Timeframes,Total Trades,Win Rate %,Total PnL,Avg PnL,Max Drawdown %,Profit Factor,Sharpe Ratio,Final Capital
1,14.86,cascade,both,0.9,0.4,1,"4h(0.169%)",62,24.2,-13.80,-0.22,14.9,0.45,-0.40,86.20
2,14.86,cascade,both,0.9,0.4,1,"4h(0.169%)",62,24.2,-13.80,-0.22,14.9,0.45,-0.40,86.20
3,14.86,cascade,both,0.9,0.4,1,"4h(0.169%)",62,24.2,-13.80,-0.22,14.9,0.45,-0.40,86.20
4,14.86,cascade,both,0.9,0.4,1,"4h(0.169%)",62,24.2,-13.80,-0.22,14.9,0.45,-0.40,86.20
5,14.86,cascade,both,0.9,0.4,1,"4h(0.169%)",62,24.2,-13.80,-0.22,14.9,0.45,-0.40,86.20
6,14.86,cascade,both,0.9,0.4,1,"4h(0.169%)",62,24.2,-13.80,-0.22,14.9,0.45,-0.40,86.20
7,14.86,cascade,both,0.9,0.4,1,"4h(0.169%)",62,24.2,-13.80,-0.22,14.9,0.45,-0.40,86.20
8,14.86,cascade,both,0.9,0.4,1,"4h(0.169%)",62,24.2,-13.80,-0.22,14.9,0.45,-0.40,86.20
9,14.86,cascade,both,0.9,0.4,1,"4h(0.169%)",62,24.2,-13.80,-0.22,14.9,0.45,-0.40,86.20
10,14.86,cascade,both,0.9,0.4,1,"4h(0.169%)",62,24.2,-13.80,-0.22,14.9,0.45,-0.40,86.20
11,14.86,cascade,both,0.9,0.4,1,"4h(0.17%)",62,24.2,-13.80,-0.22,14.9,0.45,-0.40,86.20
12,14.86,cascade,both,0.9,0.4,1,"4h(0.17%)",62,24.2,-13.80,-0.22,14.9,0.45,-0.40,86.20
13,14.86,cascade,both,0.9,0.4,1,"4h(0.17%)",62,24.2,-13.80,-0.22,14.9,0.45,-0.40,86.20
14,14.86,cascade,both,0.9,0.4,1,"4h(0.17%)",62,24.2,-13.80,-0.22,14.9,0.45,-0.40,86.20
15,14.86,cascade,both,0.9,0.4,1,"4h(0.17%)",62,24.2,-13.80,-0.22,14.9,0.45,-0.40,86.20
16,14.86,cascade,both,0.9,0.4,1,"4h(0.17%)",62,24.2,-13.80,-0.22,14.9,0.45,-0.40,86.20
17,14.86,cascade,both,0.9,0.4,1,"4h(0.17%)",62,24.2,-13.80,-0.22,14.9,0.45,-0.40,86.20
18,14.86,cascade,both,0.9,0.4,1,"4h(0.17%)",62,24.2,-13.80,-0.22,14.9,0.45,-0.40,86.20
