Rank,Score,Trading Mode,Direction,Take Profit,Stop Loss,Leverage,Timeframes,Detailed Timeframes,Total Trades,Win Rate %,Total PnL,Avg PnL,Max Drawdown %,Profit Factor,Sharpe Ratio,Final Capital
1,361.33,cascade,both,0.9,0.4,80,"3h(0.1%,L4,B4,OF)+1h(0.4%,L4,B4,OF)","3h: swing=0.1%, lookback=4, minLegBars=4, opposite=false | 1h: swing=0.4%, lookback=4, minLegBars=4, opposite=false",1,100.0,77.83,77.83,0.0,999.00,0.00,177.83
2,361.33,cascade,both,0.9,0.4,80,"3h(0.2%,L4,B4,OF)+1h(0.4%,L4,B4,OF)","3h: swing=0.2%, lookback=4, minLegBars=4, opposite=false | 1h: swing=0.4%, lookback=4, minLegBars=4, opposite=false",1,100.0,77.83,77.83,0.0,999.00,0.00,177.83
3,361.33,cascade,both,0.9,0.4,80,"3h(0.3%,L4,B4,OF)+1h(0.4%,L4,B4,OF)","3h: swing=0.3%, lookback=4, minLegBars=4, opposite=false | 1h: swing=0.4%, lookback=4, minLegBars=4, opposite=false",1,100.0,77.83,77.83,0.0,999.00,0.00,177.83
4,361.33,cascade,both,0.9,0.4,80,"3h(0.4%,L4,B4,OF)+1h(0.4%,L4,B4,OF)","3h: swing=0.4%, lookback=4, minLegBars=4, opposite=false | 1h: swing=0.4%, lookback=4, minLegBars=4, opposite=false",1,100.0,77.83,77.83,0.0,999.00,0.00,177.83
5,361.33,cascade,both,0.9,0.4,80,"3h(0.5%,L4,B4,OF)+1h(0.4%,L4,B4,OF)","3h: swing=0.5%, lookback=4, minLegBars=4, opposite=false | 1h: swing=0.4%, lookback=4, minLegBars=4, opposite=false",1,100.0,77.83,77.83,0.0,999.00,0.00,177.83
6,361.33,cascade,both,0.9,0.4,80,"3h(0.6%,L4,B4,OF)+1h(0.4%,L4,B4,OF)","3h: swing=0.6%, lookback=4, minLegBars=4, opposite=false | 1h: swing=0.4%, lookback=4, minLegBars=4, opposite=false",1,100.0,77.83,77.83,0.0,999.00,0.00,177.83
7,262.20,cascade,both,0.9,0.4,80,"3h(0.4%,L2,B4,OF)+1h(0.4%,L4,B4,OF)","3h: swing=0.4%, lookback=2, minLegBars=4, opposite=false | 1h: swing=0.4%, lookback=4, minLegBars=4, opposite=false",6,50.0,59.84,9.97,57.8,1.73,0.25,159.84
8,222.11,cascade,both,0.9,0.4,80,"3h(0.7%,L2,B3,OF)+1h(0.4%,L4,B4,OF)","3h: swing=0.7%, lookback=2, minLegBars=3, opposite=false | 1h: swing=0.4%, lookback=4, minLegBars=4, opposite=false",6,50.0,50.31,8.38,58.0,1.49,0.19,150.31
9,211.10,cascade,both,0.9,0.4,80,"3h(0.4%,L2,B5,OF)+1h(0.4%,L4,B4,OF)","3h: swing=0.4%, lookback=2, minLegBars=5, opposite=false | 1h: swing=0.4%, lookback=4, minLegBars=4, opposite=false",4,50.0,47.00,11.75,33.5,1.36,0.15,147.00
10,211.10,cascade,both,0.9,0.4,80,"3h(0.5%,L2,B5,OF)+1h(0.4%,L4,B4,OF)","3h: swing=0.5%, lookback=2, minLegBars=5, opposite=false | 1h: swing=0.4%, lookback=4, minLegBars=4, opposite=false",4,50.0,47.00,11.75,33.5,1.36,0.15,147.00
11,211.10,cascade,both,0.9,0.4,80,"3h(0.6%,L2,B5,OF)+1h(0.4%,L4,B4,OF)","3h: swing=0.6%, lookback=2, minLegBars=5, opposite=false | 1h: swing=0.4%, lookback=4, minLegBars=4, opposite=false",4,50.0,47.00,11.75,33.5,1.36,0.15,147.00
