Rank,Score,Trading Mode,Direction,Take Profit,Stop Loss,Leverage,Timeframes,Detailed Timeframes,Total Trades,Win Rate %,Total PnL,Avg PnL,Max Drawdown %,Profit Factor,Sharpe Ratio,Final Capital
1,15.42,cascade,both,0.9,0.4,80,"1h(0.1%,L1,B3,OF)+2h(0.2%,L2,B4,OF)","1h: swing=0.1%, lookback=1, minLegBars=3, opposite=false | 2h: swing=0.2%, lookback=2, minLegBars=4, opposite=false",22,45.5,-52.23,-2.37,95.2,0.95,-0.02,47.77
2,13.79,cascade,both,0.9,0.4,80,"1h(0.3%,L1,B3,OF)+2h(0.2%,L2,B4,OF)","1h: swing=0.3%, lookback=1, minLegBars=3, opposite=false | 2h: swing=0.2%, lookback=2, minLegBars=4, opposite=false",20,40.0,-70.44,-3.52,91.5,0.87,-0.05,29.56
3,12.67,cascade,both,0.9,0.4,80,"1h(0.1%,L3,B4,OF)+2h(0.2%,L2,B4,OF)","1h: swing=0.1%, lookback=3, minLegBars=4, opposite=false | 2h: swing=0.2%, lookback=2, minLegBars=4, opposite=false",23,34.8,-91.58,-3.98,96.3,0.86,-0.07,8.42
4,11.51,cascade,both,0.9,0.4,80,"1h(0.1%,L2,B4,OF)+2h(0.2%,L2,B4,OF)","1h: swing=0.1%, lookback=2, minLegBars=4, opposite=false | 2h: swing=0.2%, lookback=2, minLegBars=4, opposite=false",22,36.4,-92.66,-4.21,95.7,0.64,-0.16,7.34
5,11.51,cascade,both,0.9,0.4,80,"1h(0.2%,L2,B4,OF)+2h(0.2%,L2,B4,OF)","1h: swing=0.2%, lookback=2, minLegBars=4, opposite=false | 2h: swing=0.2%, lookback=2, minLegBars=4, opposite=false",22,36.4,-92.95,-4.22,95.9,0.64,-0.16,7.05
6,11.49,cascade,both,0.9,0.4,80,"1h(0.2%,L3,B4,OF)+2h(0.2%,L2,B4,OF)","1h: swing=0.2%, lookback=3, minLegBars=4, opposite=false | 2h: swing=0.2%, lookback=2, minLegBars=4, opposite=false",22,31.8,-95.22,-4.33,97.2,0.77,-0.11,4.78
7,11.42,cascade,both,0.9,0.4,80,"1h(0.3%,L3,B4,OF)+2h(0.2%,L2,B4,OF)","1h: swing=0.3%, lookback=3, minLegBars=4, opposite=false | 2h: swing=0.2%, lookback=2, minLegBars=4, opposite=false",21,33.3,-92.83,-4.42,95.8,0.71,-0.14,7.17
8,10.64,cascade,both,0.9,0.4,80,"1h(0.2%,L3,B3,OF)+2h(0.2%,L2,B4,OF)","1h: swing=0.2%, lookback=3, minLegBars=3, opposite=false | 2h: swing=0.2%, lookback=2, minLegBars=4, opposite=false",25,28.0,-99.16,-3.97,99.6,0.76,-0.10,0.84
9,10.55,cascade,both,0.9,0.4,80,"1h(0.5%,L2,B3,OF)+2h(0.2%,L2,B4,OF)","1h: swing=0.5%, lookback=2, minLegBars=3, opposite=false | 2h: swing=0.2%, lookback=2, minLegBars=4, opposite=false",26,34.6,-96.80,-3.72,96.8,0.54,-0.24,3.20
10,10.27,cascade,both,0.9,0.4,80,"1h(0.3%,L2,B4,OF)+2h(0.2%,L2,B4,OF)","1h: swing=0.3%, lookback=2, minLegBars=4, opposite=false | 2h: swing=0.2%, lookback=2, minLegBars=4, opposite=false",24,33.3,-96.84,-4.04,98.3,0.54,-0.17,3.16
11,10.16,cascade,both,0.9,0.4,80,"1h(0.2%,L2,B3,OF)+2h(0.2%,L2,B4,OF)","1h: swing=0.2%, lookback=2, minLegBars=3, opposite=false | 2h: swing=0.2%, lookback=2, minLegBars=4, opposite=false",26,30.8,-98.76,-3.80,99.0,0.60,-0.18,1.24
12,10.05,cascade,both,0.9,0.4,80,"1h(0.1%,L1,B2,OF)+2h(0.2%,L2,B4,OF)","1h: swing=0.1%, lookback=1, minLegBars=2, opposite=false | 2h: swing=0.2%, lookback=2, minLegBars=4, opposite=false",34,29.4,-99.86,-2.94,99.9,0.62,-0.14,0.14
13,10.01,cascade,both,0.9,0.4,80,"1h(0.5%,L2,B4,OF)+2h(0.2%,L2,B4,OF)","1h: swing=0.5%, lookback=2, minLegBars=4, opposite=false | 2h: swing=0.2%, lookback=2, minLegBars=4, opposite=false",23,26.1,-99.47,-4.32,99.7,0.72,-0.12,0.53
14,9.98,cascade,both,0.9,0.4,80,"1h(0.1%,L1,B4,OF)+2h(0.2%,L2,B4,OF)","1h: swing=0.1%, lookback=1, minLegBars=4, opposite=false | 2h: swing=0.2%, lookback=2, minLegBars=4, opposite=false",12,33.3,-80.43,-6.70,80.4,0.50,-0.33,19.57
15,9.91,cascade,both,0.9,0.4,80,"1h(0.1%,L2,B2,OF)+2h(0.2%,L2,B4,OF)","1h: swing=0.1%, lookback=2, minLegBars=2, opposite=false | 2h: swing=0.2%, lookback=2, minLegBars=4, opposite=false",31,29.0,-99.71,-3.22,99.8,0.62,-0.15,0.29
