Rank,Score,Trading Mode,Direction,Take Profit,Stop Loss,Leverage,Timeframes,Detailed Timeframes,Total Trades,Win Rate %,Total PnL,Avg PnL,Max Drawdown %,Profit Factor,Sharpe Ratio,Final Capital
1,10.49,cascade,both,0.9,0.4,80,"2h(0.1%,L1,B4,OF)","2h: swing=0.1%, lookback=1, minLegBars=4, opposite=false",41,34.1,-98.32,-2.40,98.4,0.55,-0.22,1.68
2,8.76,cascade,both,0.9,0.4,80,"2h(0.1%,L1,B5,OF)","2h: swing=0.1%, lookback=1, minLegBars=5, opposite=false",33,30.3,-99.29,-3.01,99.6,0.40,-0.28,0.71
3,7.84,cascade,both,0.9,0.4,80,"2h(0.2%,L1,B3,OF)","2h: swing=0.2%, lookback=1, minLegBars=3, opposite=false",47,29.8,-99.93,-2.13,100.0,0.28,-0.27,0.07
4,7.59,cascade,both,0.9,0.4,80,"2h(0.1%,L3,B2,OF)","2h: swing=0.1%, lookback=3, minLegBars=2, opposite=false",61,32.8,-99.95,-1.64,100.0,0.15,-0.28,0.05
5,7.59,cascade,both,0.9,0.4,80,"2h(0.2%,L3,B2,OF)","2h: swing=0.2%, lookback=3, minLegBars=2, opposite=false",61,32.8,-99.95,-1.64,100.0,0.15,-0.28,0.05
6,7.28,cascade,both,0.9,0.4,80,"2h(0.6%,L2,B5,OF)","2h: swing=0.6%, lookback=2, minLegBars=5, opposite=false",28,28.6,-99.32,-3.55,99.3,0.24,-0.37,0.68
7,7.16,cascade,both,0.9,0.4,80,"2h(0.2%,L1,B4,OF)","2h: swing=0.2%, lookback=1, minLegBars=4, opposite=false",38,26.3,-99.88,-2.63,99.9,0.28,-0.31,0.12
8,7.09,cascade,both,0.9,0.4,80,"2h(0.1%,L5,B4,OF)","2h: swing=0.1%, lookback=5, minLegBars=4, opposite=false",32,28.1,-99.74,-3.12,99.9,0.22,-0.35,0.26
9,7.09,cascade,both,0.9,0.4,80,"2h(0.2%,L5,B4,OF)","2h: swing=0.2%, lookback=5, minLegBars=4, opposite=false",32,28.1,-99.74,-3.12,99.9,0.22,-0.35,0.26
10,7.09,cascade,both,0.9,0.4,80,"2h(0.3%,L5,B4,OF)","2h: swing=0.3%, lookback=5, minLegBars=4, opposite=false",32,28.1,-99.74,-3.12,99.9,0.22,-0.35,0.26
11,7.09,cascade,both,0.9,0.4,80,"2h(0.4%,L5,B4,OF)","2h: swing=0.4%, lookback=5, minLegBars=4, opposite=false",32,28.1,-99.74,-3.12,99.9,0.22,-0.35,0.26
12,7.06,cascade,both,0.9,0.4,80,"2h(0.2%,L1,B2,OF)","2h: swing=0.2%, lookback=1, minLegBars=2, opposite=false",67,28.4,-100.00,-1.49,100.0,0.21,-0.27,0.00
13,6.91,cascade,both,0.9,0.4,80,"2h(0.4%,L2,B5,OF)","2h: swing=0.4%, lookback=2, minLegBars=5, opposite=false",29,27.6,-99.59,-3.43,99.6,0.21,-0.37,0.41
14,6.88,cascade,both,0.9,0.4,80,"2h(0.1%,L2,B3,OF)","2h: swing=0.1%, lookback=2, minLegBars=3, opposite=false",48,27.1,-99.98,-2.08,100.0,0.22,-0.29,0.02
15,6.80,cascade,both,0.9,0.4,80,"2h(0.7%,L1,B4,OF)","2h: swing=0.7%, lookback=1, minLegBars=4, opposite=false",25,24.0,-99.78,-3.99,99.8,0.30,-0.37,0.22
16,6.78,cascade,both,0.9,0.4,80,"2h(0.1%,L1,B3,OF)","2h: swing=0.1%, lookback=1, minLegBars=3, opposite=false",50,24.0,-100.00,-2.00,100.0,0.30,-0.27,0.00
17,6.55,cascade,both,0.9,0.4,80,"2h(0.4%,L2,B2,OF)","2h: swing=0.4%, lookback=2, minLegBars=2, opposite=false",60,31.7,-99.98,-1.67,100.0,0.03,-0.28,0.02
18,6.50,cascade,both,0.9,0.4,80,"2h(0.4%,L1,B5,OF)","2h: swing=0.4%, lookback=1, minLegBars=5, opposite=false",28,25.0,-99.82,-3.56,99.8,0.23,-0.38,0.18
19,6.47,cascade,both,0.9,0.4,80,"2h(0.1%,L2,B2,OF)","2h: swing=0.1%, lookback=2, minLegBars=2, opposite=false",63,30.2,-99.99,-1.59,100.0,0.07,-0.28,0.01
20,6.43,cascade,both,0.9,0.4,80,"2h(0.3%,L1,B3,OF)","2h: swing=0.3%, lookback=1, minLegBars=3, opposite=false",45,26.7,-99.98,-2.22,100.0,0.16,-0.31,0.02
21,6.38,cascade,both,0.9,0.4,80,"2h(0.3%,L2,B2,OF)","2h: swing=0.3%, lookback=2, minLegBars=2, opposite=false",62,30.6,-99.99,-1.61,100.0,0.04,-0.28,0.01
22,6.37,cascade,both,0.9,0.4,80,"2h(0.2%,L2,B2,OF)","2h: swing=0.2%, lookback=2, minLegBars=2, opposite=false",64,29.7,-100.00,-1.56,100.0,0.06,-0.28,0.00
23,6.25,cascade,both,0.9,0.4,80,"2h(0.6%,L3,B4,OF)","2h: swing=0.6%, lookback=3, minLegBars=4, opposite=false",33,27.3,-99.87,-3.03,99.9,0.12,-0.38,0.13
24,6.19,cascade,both,0.9,0.4,80,"2h(0.1%,L3,B4,OF)","2h: swing=0.1%, lookback=3, minLegBars=4, opposite=false",36,25.0,-99.93,-2.78,100.0,0.18,-0.33,0.07
25,6.19,cascade,both,0.9,0.4,80,"2h(0.2%,L3,B4,OF)","2h: swing=0.2%, lookback=3, minLegBars=4, opposite=false",36,25.0,-99.93,-2.78,100.0,0.18,-0.33,0.07
26,6.15,cascade,both,0.9,0.4,80,"2h(0.5%,L2,B5,OF)","2h: swing=0.5%, lookback=2, minLegBars=5, opposite=false",29,24.1,-99.87,-3.44,99.9,0.20,-0.37,0.13
27,6.15,cascade,both,0.9,0.4,80,"2h(0.6%,L1,B4,OF)","2h: swing=0.6%, lookback=1, minLegBars=4, opposite=false",29,24.1,-99.91,-3.45,99.9,0.20,-0.39,0.09
28,6.07,cascade,both,0.9,0.4,80,"2h(0.7%,L4,B2,OF)","2h: swing=0.7%, lookback=4, minLegBars=2, opposite=false",58,29.3,-99.99,-1.72,100.0,0.03,-0.29,0.01
29,6.07,cascade,both,0.9,0.4,80,"2h(0.4%,L1,B2,OF)","2h: swing=0.4%, lookback=1, minLegBars=2, opposite=false",53,28.3,-99.99,-1.89,100.0,0.06,-0.30,0.01
30,6.01,cascade,both,0.9,0.4,80,"2h(0.1%,L1,B2,OF)","2h: swing=0.1%, lookback=1, minLegBars=2, opposite=false",70,25.7,-100.00,-1.43,100.0,0.13,-0.25,0.00
31,6.00,cascade,both,0.9,0.4,80,"2h(0.4%,L1,B3,OF)","2h: swing=0.4%, lookback=1, minLegBars=3, opposite=false",42,26.2,-99.96,-2.38,100.0,0.11,-0.33,0.04
32,5.97,cascade,both,0.9,0.4,80,"2h(0.5%,L5,B4,OF)","2h: swing=0.5%, lookback=5, minLegBars=4, opposite=false",31,22.6,-99.94,-3.22,99.9,0.22,-0.35,0.06
33,5.97,cascade,both,0.9,0.4,80,"2h(0.6%,L5,B4,OF)","2h: swing=0.6%, lookback=5, minLegBars=4, opposite=false",31,22.6,-99.94,-3.22,99.9,0.22,-0.35,0.06
34,5.97,cascade,both,0.9,0.4,80,"2h(0.7%,L5,B4,OF)","2h: swing=0.7%, lookback=5, minLegBars=4, opposite=false",31,22.6,-99.95,-3.22,100.0,0.22,-0.35,0.05
35,5.95,cascade,both,0.9,0.4,80,"2h(0.6%,L3,B2,OF)","2h: swing=0.6%, lookback=3, minLegBars=2, opposite=false",59,28.8,-99.99,-1.69,100.0,0.03,-0.28,0.01
36,5.94,cascade,both,0.9,0.4,80,"2h(0.4%,L3,B2,OF)","2h: swing=0.4%, lookback=3, minLegBars=2, opposite=false",59,28.8,-99.99,-1.69,100.0,0.03,-0.28,0.01
37,5.93,cascade,both,0.9,0.4,80,"2h(0.5%,L3,B2,OF)","2h: swing=0.5%, lookback=3, minLegBars=2, opposite=false",59,28.8,-99.99,-1.69,100.0,0.02,-0.28,0.01
38,5.84,cascade,both,0.9,0.4,80,"2h(0.5%,L4,B2,OF)","2h: swing=0.5%, lookback=4, minLegBars=2, opposite=false",60,28.3,-100.00,-1.67,100.0,0.03,-0.28,0.00
39,5.84,cascade,both,0.9,0.4,80,"2h(0.6%,L4,B2,OF)","2h: swing=0.6%, lookback=4, minLegBars=2, opposite=false",60,28.3,-100.00,-1.67,100.0,0.03,-0.28,0.00
40,5.83,cascade,both,0.9,0.4,80,"2h(0.4%,L4,B5,OF)","2h: swing=0.4%, lookback=4, minLegBars=5, opposite=false",29,24.1,-99.88,-3.44,99.9,0.15,-0.37,0.12
41,5.83,cascade,both,0.9,0.4,80,"2h(0.5%,L4,B5,OF)","2h: swing=0.5%, lookback=4, minLegBars=5, opposite=false",29,24.1,-99.88,-3.44,99.9,0.15,-0.37,0.12
42,5.83,cascade,both,0.9,0.4,80,"2h(0.6%,L4,B5,OF)","2h: swing=0.6%, lookback=4, minLegBars=5, opposite=false",29,24.1,-99.88,-3.44,99.9,0.15,-0.37,0.12
43,5.83,cascade,both,0.9,0.4,80,"2h(0.1%,L4,B5,OF)","2h: swing=0.1%, lookback=4, minLegBars=5, opposite=false",29,24.1,-99.88,-3.44,99.9,0.15,-0.37,0.12
44,5.83,cascade,both,0.9,0.4,80,"2h(0.2%,L4,B5,OF)","2h: swing=0.2%, lookback=4, minLegBars=5, opposite=false",29,24.1,-99.88,-3.44,99.9,0.15,-0.37,0.12
45,5.83,cascade,both,0.9,0.4,80,"2h(0.3%,L4,B5,OF)","2h: swing=0.3%, lookback=4, minLegBars=5, opposite=false",29,24.1,-99.88,-3.44,99.9,0.15,-0.37,0.12
46,5.77,cascade,both,0.9,0.4,80,"2h(0.6%,L1,B5,OF)","2h: swing=0.6%, lookback=1, minLegBars=5, opposite=false",26,23.1,-99.87,-3.84,99.9,0.17,-0.40,0.13
47,5.76,cascade,both,0.9,0.4,80,"2h(0.3%,L3,B2,OF)","2h: swing=0.3%, lookback=3, minLegBars=2, opposite=false",61,27.9,-100.00,-1.64,100.0,0.03,-0.28,0.00
48,5.75,cascade,both,0.9,0.4,80,"2h(0.3%,L3,B5,OF)","2h: swing=0.3%, lookback=3, minLegBars=5, opposite=false",30,23.3,-99.91,-3.33,99.9,0.16,-0.37,0.09
49,5.75,cascade,both,0.9,0.4,80,"2h(0.4%,L4,B2,OF)","2h: swing=0.4%, lookback=4, minLegBars=2, opposite=false",61,27.9,-100.00,-1.64,100.0,0.03,-0.28,0.00
50,5.75,cascade,both,0.9,0.4,80,"2h(0.1%,L4,B2,OF)","2h: swing=0.1%, lookback=4, minLegBars=2, opposite=false",61,27.9,-100.00,-1.64,100.0,0.03,-0.28,0.00
51,5.75,cascade,both,0.9,0.4,80,"2h(0.2%,L4,B2,OF)","2h: swing=0.2%, lookback=4, minLegBars=2, opposite=false",61,27.9,-100.00,-1.64,100.0,0.03,-0.28,0.00
52,5.75,cascade,both,0.9,0.4,80,"2h(0.3%,L4,B2,OF)","2h: swing=0.3%, lookback=4, minLegBars=2, opposite=false",61,27.9,-100.00,-1.64,100.0,0.03,-0.28,0.00
53,5.73,cascade,both,0.9,0.4,80,"2h(0.4%,L3,B5,OF)","2h: swing=0.4%, lookback=3, minLegBars=5, opposite=false",30,23.3,-99.92,-3.33,99.9,0.16,-0.37,0.08
54,5.73,cascade,both,0.9,0.4,80,"2h(0.7%,L5,B2,OF)","2h: swing=0.7%, lookback=5, minLegBars=2, opposite=false",53,28.3,-99.99,-1.89,100.0,0.01,-0.30,0.01
55,5.70,cascade,both,0.9,0.4,80,"2h(0.7%,L3,B4,OF)","2h: swing=0.7%, lookback=3, minLegBars=4, opposite=false",32,25.0,-99.93,-3.12,99.9,0.11,-0.39,0.07
56,5.70,cascade,both,0.9,0.4,80,"2h(0.6%,L1,B2,OF)","2h: swing=0.6%, lookback=1, minLegBars=2, opposite=false",45,26.7,-99.99,-2.22,100.0,0.05,-0.33,0.01
57,5.65,cascade,both,0.9,0.4,80,"2h(0.5%,L1,B3,OF)","2h: swing=0.5%, lookback=1, minLegBars=3, opposite=false",38,23.7,-99.98,-2.63,100.0,0.14,-0.35,0.02
58,5.63,cascade,both,0.9,0.4,80,"2h(0.4%,L1,B4,OF)","2h: swing=0.4%, lookback=1, minLegBars=4, opposite=false",33,24.2,-99.95,-3.03,100.0,0.12,-0.37,0.05
59,5.60,cascade,both,0.9,0.4,80,"2h(0.5%,L1,B5,OF)","2h: swing=0.5%, lookback=1, minLegBars=5, opposite=false",27,22.2,-99.90,-3.70,99.9,0.17,-0.39,0.10
60,5.59,cascade,both,0.9,0.4,80,"2h(0.2%,L1,B1,OF)","2h: swing=0.2%, lookback=1, minLegBars=1, opposite=false",95,27.4,-100.00,-1.05,100.0,0.02,-0.23,0.00
61,5.54,cascade,both,0.9,0.4,80,"2h(0.5%,L2,B2,OF)","2h: swing=0.5%, lookback=2, minLegBars=2, opposite=false",56,26.8,-100.00,-1.79,100.0,0.03,-0.29,0.00
62,5.53,cascade,both,0.9,0.4,80,"2h(0.4%,L2,B3,OF)","2h: swing=0.4%, lookback=2, minLegBars=3, opposite=false",44,25.0,-99.98,-2.27,100.0,0.08,-0.33,0.02
63,5.52,cascade,both,0.9,0.4,80,"2h(0.1%,L5,B2,OF)","2h: swing=0.1%, lookback=5, minLegBars=2, opposite=false",55,27.3,-100.00,-1.82,100.0,0.01,-0.29,0.00
64,5.52,cascade,both,0.9,0.4,80,"2h(0.2%,L5,B2,OF)","2h: swing=0.2%, lookback=5, minLegBars=2, opposite=false",55,27.3,-100.00,-1.82,100.0,0.01,-0.29,0.00
65,5.52,cascade,both,0.9,0.4,80,"2h(0.3%,L5,B2,OF)","2h: swing=0.3%, lookback=5, minLegBars=2, opposite=false",55,27.3,-100.00,-1.82,100.0,0.01,-0.29,0.00
66,5.52,cascade,both,0.9,0.4,80,"2h(0.4%,L5,B2,OF)","2h: swing=0.4%, lookback=5, minLegBars=2, opposite=false",55,27.3,-100.00,-1.82,100.0,0.01,-0.29,0.00
67,5.47,cascade,both,0.9,0.4,80,"2h(0.1%,L1,B1,OF)","2h: swing=0.1%, lookback=1, minLegBars=1, opposite=false",103,27.2,-100.00,-0.97,100.0,0.00,-0.21,0.00
68,5.38,cascade,both,0.9,0.4,80,"2h(0.5%,L1,B1,OF)","2h: swing=0.5%, lookback=1, minLegBars=1, opposite=false",65,26.2,-100.00,-1.54,100.0,0.02,-0.27,0.00
69,5.37,cascade,both,0.9,0.4,80,"2h(0.7%,L4,B4,OF)","2h: swing=0.7%, lookback=4, minLegBars=4, opposite=false",34,23.5,-99.96,-2.94,100.0,0.10,-0.37,0.04
70,5.31,cascade,both,0.9,0.4,80,"2h(0.2%,L2,B5,OF)","2h: swing=0.2%, lookback=2, minLegBars=5, opposite=false",31,22.6,-99.92,-3.22,99.9,0.12,-0.40,0.08
71,5.30,cascade,both,0.9,0.4,80,"2h(0.5%,L1,B2,OF)","2h: swing=0.5%, lookback=1, minLegBars=2, opposite=false",48,25.0,-100.00,-2.08,100.0,0.05,-0.31,0.00
72,5.28,cascade,both,0.9,0.4,80,"2h(0.3%,L1,B1,OF)","2h: swing=0.3%, lookback=1, minLegBars=1, opposite=false",84,26.2,-100.00,-1.19,100.0,0.01,-0.24,0.00
73,5.28,cascade,both,0.9,0.4,80,"2h(0.3%,L2,B5,OF)","2h: swing=0.3%, lookback=2, minLegBars=5, opposite=false",30,23.3,-99.88,-3.33,99.9,0.09,-0.39,0.12
74,5.25,cascade,both,0.9,0.4,80,"2h(0.5%,L5,B2,OF)","2h: swing=0.5%, lookback=5, minLegBars=2, opposite=false",54,25.9,-100.00,-1.85,100.0,0.01,-0.30,0.00
75,5.25,cascade,both,0.9,0.4,80,"2h(0.6%,L5,B2,OF)","2h: swing=0.6%, lookback=5, minLegBars=2, opposite=false",54,25.9,-100.00,-1.85,100.0,0.01,-0.30,0.00
76,5.23,cascade,both,0.9,0.4,80,"2h(0.3%,L2,B3,OF)","2h: swing=0.3%, lookback=2, minLegBars=3, opposite=false",46,23.9,-99.99,-2.17,100.0,0.07,-0.32,0.01
77,5.22,cascade,both,0.9,0.4,80,"2h(0.7%,L4,B5,OF)","2h: swing=0.7%, lookback=4, minLegBars=5, opposite=false",28,21.4,-99.94,-3.57,99.9,0.14,-0.38,0.06
78,5.20,cascade,both,0.9,0.4,80,"2h(0.6%,L2,B2,OF)","2h: swing=0.6%, lookback=2, minLegBars=2, opposite=false",56,25.0,-100.00,-1.79,100.0,0.03,-0.29,0.00
79,5.18,cascade,both,0.9,0.4,80,"2h(0.7%,L4,B1,OF)","2h: swing=0.7%, lookback=4, minLegBars=1, opposite=false",74,25.7,-100.00,-1.35,100.0,0.01,-0.25,0.00
80,5.18,cascade,both,0.9,0.4,80,"2h(0.7%,L3,B2,OF)","2h: swing=0.7%, lookback=3, minLegBars=2, opposite=false",56,25.0,-100.00,-1.79,100.0,0.03,-0.29,0.00
81,5.17,cascade,both,0.9,0.4,80,"2h(0.7%,L5,B1,OF)","2h: swing=0.7%, lookback=5, minLegBars=1, opposite=false",66,25.8,-100.00,-1.52,100.0,0.00,-0.27,0.00
82,5.16,cascade,both,0.9,0.4,80,"2h(0.1%,L3,B3,OF)","2h: swing=0.1%, lookback=3, minLegBars=3, opposite=false",47,23.4,-100.00,-2.13,100.0,0.07,-0.33,0.00
83,5.16,cascade,both,0.9,0.4,80,"2h(0.2%,L3,B3,OF)","2h: swing=0.2%, lookback=3, minLegBars=3, opposite=false",47,23.4,-100.00,-2.13,100.0,0.07,-0.33,0.00
84,5.16,cascade,both,0.9,0.4,80,"2h(0.4%,L1,B1,OF)","2h: swing=0.4%, lookback=1, minLegBars=1, opposite=false",75,25.3,-100.00,-1.33,100.0,0.01,-0.25,0.00
85,5.14,cascade,both,0.9,0.4,80,"2h(0.4%,L2,B1,OF)","2h: swing=0.4%, lookback=2, minLegBars=1, opposite=false",86,25.6,-100.00,-1.16,100.0,0.00,-0.23,0.00
86,5.10,cascade,both,0.9,0.4,80,"2h(0.4%,L3,B1,OF)","2h: swing=0.4%, lookback=3, minLegBars=1, opposite=false",83,25.3,-100.00,-1.20,100.0,0.01,-0.24,0.00
87,5.07,cascade,both,0.9,0.4,80,"2h(0.2%,L2,B3,OF)","2h: swing=0.2%, lookback=2, minLegBars=3, opposite=false",49,20.4,-100.00,-2.04,100.0,0.15,-0.30,0.00
88,5.04,cascade,both,0.9,0.4,80,"2h(0.6%,L3,B1,OF)","2h: swing=0.6%, lookback=3, minLegBars=1, opposite=false",80,25.0,-100.00,-1.25,100.0,0.01,-0.24,0.00
89,5.04,cascade,both,0.9,0.4,80,"2h(0.5%,L4,B1,OF)","2h: swing=0.5%, lookback=4, minLegBars=1, opposite=false",76,25.0,-100.00,-1.32,100.0,0.01,-0.25,0.00
90,5.04,cascade,both,0.9,0.4,80,"2h(0.6%,L4,B1,OF)","2h: swing=0.6%, lookback=4, minLegBars=1, opposite=false",76,25.0,-100.00,-1.32,100.0,0.01,-0.25,0.00
91,5.03,cascade,both,0.9,0.4,80,"2h(0.5%,L1,B4,OF)","2h: swing=0.5%, lookback=1, minLegBars=4, opposite=false",32,21.9,-99.97,-3.12,100.0,0.10,-0.38,0.03
92,5.03,cascade,both,0.9,0.4,80,"2h(0.1%,L3,B1,OF)","2h: swing=0.1%, lookback=3, minLegBars=1, opposite=false",87,24.1,-100.00,-1.15,100.0,0.03,-0.24,0.00
