Rank,Score,Trading Mode,Direction,Take Profit,Stop Loss,Leverage,Timeframes,Detailed Timeframes,Total Trades,Win Rate %,Total PnL,Avg PnL,Max Drawdown %,Profit Factor,Sharpe Ratio,Final Capital
1,23.12,cascade,both,0.9,0.4,1,"1h(0.1%,L3,B4,OF)","1h: swing=0.1%, lookback=3, minLegBars=4, opposite=false",132,40.9,-0.11,-0.00,8.6,1.00,-0.00,99.89
2,22.66,cascade,both,0.9,0.4,1,"1h(0.4%,L4,B4,OF)","1h: swing=0.4%, lookback=4, minLegBars=4, opposite=false",126,40.5,-0.52,-0.00,10.1,0.99,-0.01,99.48
3,22.44,cascade,both,0.9,0.4,1,"1h(0.3%,L4,B4,OF)","1h: swing=0.3%, lookback=4, minLegBars=4, opposite=false",125,39.2,-3.01,-0.02,7.9,0.93,-0.04,96.99
4,21.99,cascade,both,0.9,0.4,1,"1h(0.2%,L3,B4,OF)","1h: swing=0.2%, lookback=3, minLegBars=4, opposite=false",132,39.4,-3.03,-0.02,10.6,0.93,-0.03,96.97
5,21.67,cascade,both,0.9,0.4,1,"1h(0.5%,L4,B4,OF)","1h: swing=0.5%, lookback=4, minLegBars=4, opposite=false",126,38.1,-4.58,-0.04,9.5,0.89,-0.05,95.42
6,21.59,cascade,both,0.9,0.4,1,"1h(0.1%,L4,B4,OF)","1h: swing=0.1%, lookback=4, minLegBars=4, opposite=false",125,37.6,-5.87,-0.05,8.4,0.86,-0.07,94.13
7,21.59,cascade,both,0.9,0.4,1,"1h(0.2%,L4,B4,OF)","1h: swing=0.2%, lookback=4, minLegBars=4, opposite=false",125,37.6,-5.87,-0.05,8.4,0.86,-0.07,94.13
8,21.27,cascade,both,0.9,0.4,1,"1h(0.1%,L2,B4,OF)","1h: swing=0.1%, lookback=2, minLegBars=4, opposite=false",143,37.8,-6.67,-0.05,10.3,0.87,-0.07,93.33
9,20.78,cascade,both,0.9,0.4,1,"1h(0.4%,L3,B4,OF)","1h: swing=0.4%, lookback=3, minLegBars=4, opposite=false",130,36.9,-7.02,-0.05,11.2,0.85,-0.08,92.98
10,20.69,cascade,both,0.9,0.4,1,"1h(0.3%,L3,B4,OF)","1h: swing=0.3%, lookback=3, minLegBars=4, opposite=false",129,37.2,-6.37,-0.05,12.4,0.86,-0.07,93.63
11,20.60,cascade,both,0.9,0.4,1,"1h(0.4%,L1,B4,OF)","1h: swing=0.4%, lookback=1, minLegBars=4, opposite=false",121,36.4,-7.50,-0.06,10.8,0.82,-0.10,92.50
12,20.15,cascade,both,0.9,0.4,1,"1h(0.6%,L1,B4,OF)","1h: swing=0.6%, lookback=1, minLegBars=4, opposite=false",96,35.4,-7.31,-0.08,11.1,0.79,-0.11,92.69
13,20.11,cascade,both,0.9,0.4,1,"1h(0.5%,L5,B4,OF)","1h: swing=0.5%, lookback=5, minLegBars=4, opposite=false",124,35.5,-9.05,-0.07,11.4,0.79,-0.11,90.95
14,19.91,cascade,both,0.9,0.4,1,"1h(0.7%,L2,B5,OF)","1h: swing=0.7%, lookback=2, minLegBars=5, opposite=false",88,34.1,-7.57,-0.09,10.1,0.77,-0.13,92.43
15,19.83,cascade,both,0.9,0.4,1,"1h(0.7%,L1,B2,OF)","1h: swing=0.7%, lookback=1, minLegBars=2, opposite=false",101,34.7,-8.51,-0.08,11.0,0.76,-0.13,91.49
16,19.68,cascade,both,0.9,0.4,1,"1h(0.6%,L5,B4,OF)","1h: swing=0.6%, lookback=5, minLegBars=4, opposite=false",124,34.7,-10.12,-0.08,12.0,0.77,-0.13,89.88
17,19.67,cascade,both,0.9,0.4,1,"1h(0.7%,L1,B1,OF)","1h: swing=0.7%, lookback=1, minLegBars=1, opposite=false",124,34.7,-10.54,-0.09,11.8,0.76,-0.13,89.46
18,19.51,cascade,both,0.9,0.4,1,"1h(0.4%,L2,B4,OF)","1h: swing=0.4%, lookback=2, minLegBars=4, opposite=false",132,34.8,-10.03,-0.08,13.4,0.78,-0.12,89.97
19,19.49,cascade,both,0.9,0.4,1,"1h(0.5%,L1,B4,OF)","1h: swing=0.5%, lookback=1, minLegBars=4, opposite=false",106,34.9,-8.92,-0.08,13.1,0.77,-0.13,91.08
20,19.49,cascade,both,0.9,0.4,1,"1h(0.4%,L5,B4,OF)","1h: swing=0.4%, lookback=5, minLegBars=4, opposite=false",127,34.6,-10.66,-0.08,12.8,0.77,-0.13,89.34
21,19.45,cascade,both,0.9,0.4,1,"1h(0.1%,L5,B4,OF)","1h: swing=0.1%, lookback=5, minLegBars=4, opposite=false",125,34.4,-11.20,-0.09,12.2,0.75,-0.14,88.80
22,19.45,cascade,both,0.9,0.4,1,"1h(0.2%,L5,B4,OF)","1h: swing=0.2%, lookback=5, minLegBars=4, opposite=false",125,34.4,-11.20,-0.09,12.2,0.75,-0.14,88.80
23,19.45,cascade,both,0.9,0.4,1,"1h(0.3%,L5,B4,OF)","1h: swing=0.3%, lookback=5, minLegBars=4, opposite=false",125,34.4,-11.20,-0.09,12.2,0.75,-0.14,88.80
24,19.23,cascade,both,0.9,0.4,1,"1h(0.7%,L1,B3,OF)","1h: swing=0.7%, lookback=1, minLegBars=3, opposite=false",89,33.7,-9.14,-0.10,11.6,0.72,-0.16,90.86
25,19.20,cascade,both,0.9,0.4,1,"1h(0.6%,L1,B1,OF)","1h: swing=0.6%, lookback=1, minLegBars=1, opposite=false",153,34.6,-12.66,-0.08,14.3,0.77,-0.13,87.34
26,19.17,cascade,both,0.9,0.4,1,"1h(0.7%,L5,B4,OF)","1h: swing=0.7%, lookback=5, minLegBars=4, opposite=false",120,34.2,-10.53,-0.09,13.6,0.76,-0.13,89.47
27,19.04,cascade,both,0.9,0.4,1,"1h(0.6%,L1,B3,OF)","1h: swing=0.6%, lookback=1, minLegBars=3, opposite=false",105,33.3,-10.86,-0.10,12.2,0.72,-0.16,89.14
28,18.98,cascade,both,0.9,0.4,1,"1h(0.7%,L4,B4,OF)","1h: swing=0.7%, lookback=4, minLegBars=4, opposite=false",120,34.2,-10.49,-0.09,14.5,0.76,-0.13,89.51
