Rank,TotalReturn%,WinRate%,TotalTrades,FinalCapital,MaxDrawdown%,AvgTradeReturn%,PivotCount,TimeframeMinutes,Lookback,MinSwingPct,MinLegBars,TakeProfit%,StopLoss%,Leverage,TradeDirection
1,-3.02,37.9,29,96.98,4.86,0.09,53,240,1,0.4,1,0.9,0.4,1,short
2,-3.37,39.5,43,96.63,5.92,0.12,76,240,1,0.1,1,0.9,0.4,1,short
3,-4.60,36.1,36,95.40,4.75,0.06,65,240,1,0.2,1,0.9,0.4,1,short
4,-4.79,34.4,32,95.21,5.46,0.04,58,240,1,0.30000000000000004,1,0.9,0.4,1,short
5,-6.98,23.1,26,93.02,7.72,-0.09,58,240,1,0.30000000000000004,1,0.9,0.4,1,long
6,-7.04,20.8,24,92.96,8.43,-0.12,53,240,1,0.4,1,0.9,0.4,1,long
7,-8.63,20.7,29,91.37,8.63,-0.12,65,240,1,0.2,1,0.9,0.4,1,long
8,-9.13,21.9,32,90.87,9.75,-0.11,76,240,1,0.1,1,0.9,0.4,1,long
9,-9.85,30.2,53,90.15,10.20,-0.00,53,240,1,0.4,1,0.9,0.4,1,both
10,-11.43,29.3,58,88.57,11.56,-0.02,58,240,1,0.30000000000000004,1,0.9,0.4,1,both
11,-12.19,32.0,75,87.81,12.19,0.02,76,240,1,0.1,1,0.9,0.4,1,both
12,-12.83,29.2,65,87.17,12.83,-0.02,65,240,1,0.2,1,0.9,0.4,1,both
