Rank,Score,Trading Mode,Direction,Take Profit,Stop Loss,Leverage,Timeframes,Detailed Timeframes,Total Trades,Win Rate %,Total PnL,Avg PnL,Max Drawdown %,Profit Factor,Sharpe Ratio,Final Capital
1,70.73,cascade,both,0.9,0.4,1,"4h(0.5%,L2,B4,OF)+1h(0.4%,L4,B4,OF)","4h: swing=0.5%, lookback=2, minLegBars=4, opposite=false | 1h: swing=0.4%, lookback=4, minLegBars=4, opposite=false",3,100.0,2.68,0.89,0.0,999.00,7.14,102.68
2,69.85,cascade,both,0.9,0.4,1,"4h(0.2%,L1,B3,OF)+1h(0.4%,L4,B4,OF)","4h: swing=0.2%, lookback=1, minLegBars=3, opposite=false | 1h: swing=0.4%, lookback=4, minLegBars=4, opposite=false",3,100.0,2.46,0.82,0.0,999.00,35.32,102.46
3,69.85,cascade,both,0.9,0.4,1,"4h(0.3%,L1,B3,OF)+1h(0.4%,L4,B4,OF)","4h: swing=0.3%, lookback=1, minLegBars=3, opposite=false | 1h: swing=0.4%, lookback=4, minLegBars=4, opposite=false",3,100.0,2.46,0.82,0.0,999.00,35.32,102.46
4,69.85,cascade,both,0.9,0.4,1,"4h(0.4%,L2,B3,OF)+1h(0.4%,L4,B4,OF)","4h: swing=0.4%, lookback=2, minLegBars=3, opposite=false | 1h: swing=0.4%, lookback=4, minLegBars=4, opposite=false",3,100.0,2.46,0.82,0.0,999.00,35.32,102.46
5,66.64,cascade,both,0.9,0.4,1,"4h(0.4%,L1,B3,OF)+1h(0.4%,L4,B4,OF)","4h: swing=0.4%, lookback=1, minLegBars=3, opposite=false | 1h: swing=0.4%, lookback=4, minLegBars=4, opposite=false",2,100.0,1.66,0.83,0.0,999.00,35.36,101.66
6,57.64,cascade,both,0.9,0.4,1,"4h(0.1%,L1,B4,OF)+1h(0.4%,L4,B4,OF)","4h: swing=0.1%, lookback=1, minLegBars=4, opposite=false | 1h: swing=0.4%, lookback=4, minLegBars=4, opposite=false",4,75.0,2.13,0.53,0.5,4.94,0.85,102.13
7,57.64,cascade,both,0.9,0.4,1,"4h(0.1%,L2,B4,OF)+1h(0.4%,L4,B4,OF)","4h: swing=0.1%, lookback=2, minLegBars=4, opposite=false | 1h: swing=0.4%, lookback=4, minLegBars=4, opposite=false",4,75.0,2.13,0.53,0.5,4.94,0.85,102.13
8,57.64,cascade,both,0.9,0.4,1,"4h(0.2%,L1,B4,OF)+1h(0.4%,L4,B4,OF)","4h: swing=0.2%, lookback=1, minLegBars=4, opposite=false | 1h: swing=0.4%, lookback=4, minLegBars=4, opposite=false",4,75.0,2.13,0.53,0.5,4.94,0.85,102.13
9,57.64,cascade,both,0.9,0.4,1,"4h(0.2%,L2,B4,OF)+1h(0.4%,L4,B4,OF)","4h: swing=0.2%, lookback=2, minLegBars=4, opposite=false | 1h: swing=0.4%, lookback=4, minLegBars=4, opposite=false",4,75.0,2.13,0.53,0.5,4.94,0.85,102.13
10,57.64,cascade,both,0.9,0.4,1,"4h(0.3%,L1,B4,OF)+1h(0.4%,L4,B4,OF)","4h: swing=0.3%, lookback=1, minLegBars=4, opposite=false | 1h: swing=0.4%, lookback=4, minLegBars=4, opposite=false",4,75.0,2.13,0.53,0.5,4.94,0.85,102.13
