Rank,TotalReturn%,WinRate%,TotalTrades,FinalCapital,MaxDrawdown%,AvgTradeReturn%,PivotCount,TimeframeMinutes,Lookback,MinSwingPct,MinLegBars,TakeProfit%,StopLoss%,Leverage,TradeDirection
1,0.77,41.9,62,100.77,3.82,0.13,62,240,1,0.30000000000000004,1,0.9,0.4,1,both
2,0.77,41.9,62,100.77,3.82,0.13,62,120,1,0.30000000000000004,1,0.9,0.4,1,both
3,-1.71,39.1,69,98.29,4.65,0.10,69,240,1,0.2,1,0.9,0.4,1,both
4,-1.71,39.1,69,98.29,4.65,0.10,69,120,1,0.2,1,0.9,0.4,1,both
5,-1.94,38.5,52,98.06,3.32,0.08,52,240,1,0.4,1,0.9,0.4,1,both
6,-1.94,38.5,52,98.06,3.32,0.08,52,120,1,0.4,1,0.9,0.4,1,both
7,-4.26,36.8,76,95.74,6.37,0.06,76,240,1,0.1,1,0.9,0.4,1,both
8,-4.26,36.8,76,95.74,6.37,0.06,76,120,1,0.1,1,0.9,0.4,1,both
