Rank,Score,Trading Mode,Direction,Take Profit,Stop Loss,Leverage,Timeframes,Detailed Timeframes,Total Trades,Win Rate %,Total PnL,Avg PnL,Max Drawdown %,Profit Factor,Sharpe Ratio,Final Capital
1,17.33,cascade,both,0.9,0.4,80,"4h(0.4%,L2,B2,OF)","4h: swing=0.4%, lookback=2, minLegBars=2, opposite=false",77,55.8,-100.00,-1.30,100.1,0.92,-0.02,-0.00
2,17.04,cascade,both,0.9,0.4,80,"4h(0.2%,L2,B2,OF)","4h: swing=0.2%, lookback=2, minLegBars=2, opposite=false",79,55.7,-100.00,-1.27,100.3,0.89,-0.04,-0.00
3,17.04,cascade,both,0.9,0.4,80,"4h(0.1%,L2,B2,OF)","4h: swing=0.1%, lookback=2, minLegBars=2, opposite=false",79,55.7,-100.00,-1.27,100.3,0.89,-0.04,-0.00
4,17.03,cascade,both,0.9,0.4,80,"4h(0.5%,L2,B2,OF)","4h: swing=0.5%, lookback=2, minLegBars=2, opposite=false",74,55.4,-100.00,-1.35,100.0,0.89,-0.03,-0.00
5,17.00,cascade,both,0.9,0.4,80,"4h(0.3%,L2,B1,OF)","4h: swing=0.3%, lookback=2, minLegBars=1, opposite=false",129,53.5,-100.00,-0.78,100.0,0.94,-0.01,-0.00
6,16.98,cascade,both,0.9,0.4,80,"4h(0.1%,L2,B4,OF)","4h: swing=0.1%, lookback=2, minLegBars=4, opposite=false",41,56.1,-100.11,-2.44,105.9,0.86,-0.05,-0.11
7,16.98,cascade,both,0.9,0.4,80,"4h(0.2%,L2,B4,OF)","4h: swing=0.2%, lookback=2, minLegBars=4, opposite=false",41,56.1,-100.11,-2.44,105.9,0.86,-0.05,-0.11
8,16.98,cascade,both,0.9,0.4,80,"4h(0.3%,L2,B4,OF)","4h: swing=0.3%, lookback=2, minLegBars=4, opposite=false",41,56.1,-100.11,-2.44,105.9,0.86,-0.05,-0.11
9,16.97,cascade,both,0.9,0.4,80,"4h(0.4%,L2,B4,OF)","4h: swing=0.4%, lookback=2, minLegBars=4, opposite=false",41,56.1,-100.11,-2.44,105.9,0.86,-0.05,-0.11
10,16.97,cascade,both,0.9,0.4,80,"4h(0.1%,L2,B1,OF)","4h: swing=0.1%, lookback=2, minLegBars=1, opposite=false",131,53.4,-100.00,-0.76,100.0,0.94,-0.01,-0.00
11,16.90,cascade,both,0.9,0.4,80,"4h(0.2%,L2,B1,OF)","4h: swing=0.2%, lookback=2, minLegBars=1, opposite=false",130,53.1,-100.00,-0.77,100.0,0.94,-0.01,-0.00
12,16.88,cascade,both,0.9,0.4,80,"4h(0.3%,L2,B2,OF)","4h: swing=0.3%, lookback=2, minLegBars=2, opposite=false",78,55.1,-100.00,-1.28,100.2,0.88,-0.04,-0.00
13,16.71,cascade,both,0.9,0.4,80,"4h(0.5%,L2,B1,OF)","4h: swing=0.5%, lookback=2, minLegBars=1, opposite=false",123,52.8,-100.00,-0.81,100.0,0.92,-0.02,-0.00
14,16.64,cascade,both,0.9,0.4,80,"4h(0.4%,L2,B1,OF)","4h: swing=0.4%, lookback=2, minLegBars=1, opposite=false",126,53.2,-100.00,-0.79,100.0,0.90,-0.03,-0.00
15,16.41,cascade,both,0.9,0.4,80,"4h(0.6%,L2,B1,OF)","4h: swing=0.6%, lookback=2, minLegBars=1, opposite=false",121,52.9,-100.00,-0.83,100.0,0.87,-0.03,-0.00
16,15.46,cascade,both,0.9,0.4,80,"4h(0.1%,L1,B1,OF)","4h: swing=0.1%, lookback=1, minLegBars=1, opposite=false",162,48.1,-100.00,-0.62,100.0,0.87,-0.02,-0.00
17,15.40,cascade,both,0.9,0.4,80,"4h(0.6%,L1,B2,OF)","4h: swing=0.6%, lookback=1, minLegBars=2, opposite=false",73,52.1,-100.00,-1.37,100.0,0.75,-0.07,-0.00
18,15.37,cascade,both,0.9,0.4,80,"4h(0.4%,L1,B2,OF)","4h: swing=0.4%, lookback=1, minLegBars=2, opposite=false",78,51.3,-100.00,-1.28,100.0,0.77,-0.06,-0.00
