Rank,Score,Trading Mode,Direction,Take Profit,Stop Loss,Leverage,Timeframes,Total Trades,Win Rate %,Total PnL,Avg PnL,Max Drawdown %,Profit Factor,Sharpe Ratio,Final Capital
1,19.51,cascade,both,0.9,0.4,1,"4h(0.1%)",16,31.3,-2.60,-0.16,4.0,0.61,-0.25,97.40
2,19.15,cascade,both,0.9,0.4,1,"4h(0.1%)",20,30.0,-3.12,-0.16,4.8,0.62,-0.24,96.88
3,18.62,cascade,both,0.9,0.4,1,"4h(0.1%)",27,29.6,-4.42,-0.16,6.3,0.59,-0.26,95.58
4,17.99,cascade,both,0.9,0.4,1,"4h(0.1%)",18,27.8,-3.71,-0.21,5.5,0.53,-0.32,96.29
5,17.89,cascade,both,0.9,0.4,1,"4h(0.1%)",22,27.3,-4.03,-0.18,6.0,0.55,-0.30,95.97
6,17.27,cascade,both,0.9,0.4,1,"4h(0.1%)",20,25.0,-4.26,-0.21,5.3,0.50,-0.35,95.74
7,16.39,cascade,both,0.9,0.4,1,"4h(0.1%)",59,27.1,-10.97,-0.19,12.8,0.53,-0.32,89.03
8,16.33,cascade,both,0.9,0.4,1,"4h(0.1%)",39,25.6,-8.31,-0.21,10.1,0.48,-0.36,91.69
9,16.31,cascade,both,0.9,0.4,1,"4h(0.1%)",49,26.5,-9.88,-0.20,11.7,0.50,-0.35,90.12
10,16.24,cascade,both,0.9,0.4,1,"4h(0.1%)",25,24.0,-5.85,-0.23,7.8,0.45,-0.40,94.15
11,15.34,cascade,both,0.9,0.4,1,"4h(0.1%)",20,20.0,-5.40,-0.27,6.3,0.39,-0.48,94.60
12,15.32,cascade,both,0.9,0.4,1,"4h(0.1%)",35,22.9,-8.96,-0.26,9.9,0.41,-0.45,91.04
13,14.29,cascade,both,0.9,0.4,1,"4h(0.1%)",65,23.1,-15.14,-0.23,15.9,0.43,-0.43,84.86
14,14.11,cascade,both,0.9,0.4,1,"4h(0.1%)",39,20.5,-10.74,-0.28,12.0,0.36,-0.52,89.26
15,13.97,cascade,both,0.9,0.4,1,"4h(0.1%)",31,19.4,-9.26,-0.30,10.7,0.34,-0.56,90.74
16,12.73,cascade,both,0.9,0.4,1,"4h(0.1%)",27,14.8,-9.37,-0.35,9.4,0.25,-0.74,90.63
