Rank,Score,Trading Mode,Direction,Take Profit,Stop Loss,Leverage,Timeframes,Total Trades,Win Rate %,Total PnL,Avg PnL,Max Drawdown %,Profit Factor,Sharpe Ratio,Final Capital
1,16.12,cascade,both,0.9,0.4,1,"4h(0.397%)+2h(0.2%)",50,26.0,-10.46,-0.21,11.7,0.49,-0.36,89.54
2,16.12,cascade,both,0.9,0.4,1,"4h(0.397%)+2h(0.21%)",50,26.0,-10.46,-0.21,11.7,0.49,-0.36,89.54
3,16.12,cascade,both,0.9,0.4,1,"4h(0.397%)+2h(0.22%)",50,26.0,-10.46,-0.21,11.7,0.49,-0.36,89.54
4,16.12,cascade,both,0.9,0.4,1,"4h(0.397%)+2h(0.23%)",50,26.0,-10.46,-0.21,11.7,0.49,-0.36,89.54
5,16.12,cascade,both,0.9,0.4,1,"4h(0.397%)+2h(0.24%)",50,26.0,-10.46,-0.21,11.7,0.49,-0.36,89.54
6,16.12,cascade,both,0.9,0.4,1,"4h(0.397%)+2h(0.25%)",50,26.0,-10.46,-0.21,11.7,0.49,-0.36,89.54
7,16.12,cascade,both,0.9,0.4,1,"4h(0.397%)+2h(0.26%)",50,26.0,-10.46,-0.21,11.7,0.49,-0.36,89.54
8,16.12,cascade,both,0.9,0.4,1,"4h(0.397%)+2h(0.27%)",50,26.0,-10.46,-0.21,11.7,0.49,-0.36,89.54
9,16.12,cascade,both,0.9,0.4,1,"4h(0.397%)+2h(0.28%)",50,26.0,-10.46,-0.21,11.7,0.49,-0.36,89.54
10,16.12,cascade,both,0.9,0.4,1,"4h(0.397%)+2h(0.29%)",50,26.0,-10.46,-0.21,11.7,0.49,-0.36,89.54
11,16.12,cascade,both,0.9,0.4,1,"4h(0.397%)+2h(0.3%)",50,26.0,-10.46,-0.21,11.7,0.49,-0.36,89.54
12,16.12,cascade,both,0.9,0.4,1,"4h(0.397%)+2h(0.31%)",50,26.0,-10.46,-0.21,11.7,0.49,-0.36,89.54
13,16.12,cascade,both,0.9,0.4,1,"4h(0.397%)+2h(0.32%)",50,26.0,-10.46,-0.21,11.7,0.49,-0.36,89.54
14,16.12,cascade,both,0.9,0.4,1,"4h(0.397%)+2h(0.33%)",50,26.0,-10.46,-0.21,11.7,0.49,-0.36,89.54
15,16.12,cascade,both,0.9,0.4,1,"4h(0.397%)+2h(0.34%)",50,26.0,-10.46,-0.21,11.7,0.49,-0.36,89.54
16,16.12,cascade,both,0.9,0.4,1,"4h(0.397%)+2h(0.35%)",50,26.0,-10.46,-0.21,11.7,0.49,-0.36,89.54
17,16.12,cascade,both,0.9,0.4,1,"4h(0.397%)+2h(0.36%)",50,26.0,-10.46,-0.21,11.7,0.49,-0.36,89.54
18,16.12,cascade,both,0.9,0.4,1,"4h(0.397%)+2h(0.37%)",50,26.0,-10.46,-0.21,11.7,0.49,-0.36,89.54
19,16.12,cascade,both,0.9,0.4,1,"4h(0.397%)+2h(0.38%)",50,26.0,-10.46,-0.21,11.7,0.49,-0.36,89.54
20,16.12,cascade,both,0.9,0.4,1,"4h(0.397%)+2h(0.39%)",50,26.0,-10.46,-0.21,11.7,0.49,-0.36,89.54
21,16.12,cascade,both,0.9,0.4,1,"4h(0.398%)+2h(0.2%)",50,26.0,-10.46,-0.21,11.7,0.49,-0.36,89.54
22,16.12,cascade,both,0.9,0.4,1,"4h(0.398%)+2h(0.21%)",50,26.0,-10.46,-0.21,11.7,0.49,-0.36,89.54
23,16.12,cascade,both,0.9,0.4,1,"4h(0.398%)+2h(0.22%)",50,26.0,-10.46,-0.21,11.7,0.49,-0.36,89.54
24,16.12,cascade,both,0.9,0.4,1,"4h(0.398%)+2h(0.23%)",50,26.0,-10.46,-0.21,11.7,0.49,-0.36,89.54
25,16.12,cascade,both,0.9,0.4,1,"4h(0.398%)+2h(0.24%)",50,26.0,-10.46,-0.21,11.7,0.49,-0.36,89.54
26,16.12,cascade,both,0.9,0.4,1,"4h(0.398%)+2h(0.25%)",50,26.0,-10.46,-0.21,11.7,0.49,-0.36,89.54
27,16.12,cascade,both,0.9,0.4,1,"4h(0.398%)+2h(0.26%)",50,26.0,-10.46,-0.21,11.7,0.49,-0.36,89.54
28,16.12,cascade,both,0.9,0.4,1,"4h(0.398%)+2h(0.27%)",50,26.0,-10.46,-0.21,11.7,0.49,-0.36,89.54
29,16.12,cascade,both,0.9,0.4,1,"4h(0.398%)+2h(0.28%)",50,26.0,-10.46,-0.21,11.7,0.49,-0.36,89.54
30,16.12,cascade,both,0.9,0.4,1,"4h(0.398%)+2h(0.29%)",50,26.0,-10.46,-0.21,11.7,0.49,-0.36,89.54
31,16.12,cascade,both,0.9,0.4,1,"4h(0.398%)+2h(0.3%)",50,26.0,-10.46,-0.21,11.7,0.49,-0.36,89.54
32,16.12,cascade,both,0.9,0.4,1,"4h(0.398%)+2h(0.31%)",50,26.0,-10.46,-0.21,11.7,0.49,-0.36,89.54
33,16.12,cascade,both,0.9,0.4,1,"4h(0.398%)+2h(0.32%)",50,26.0,-10.46,-0.21,11.7,0.49,-0.36,89.54
34,16.12,cascade,both,0.9,0.4,1,"4h(0.398%)+2h(0.33%)",50,26.0,-10.46,-0.21,11.7,0.49,-0.36,89.54
