Rank,Score,Trading Mode,Direction,Take Profit,Stop Loss,Leverage,Timeframes,Total Trades,Win Rate %,Total PnL,Avg PnL,Max Drawdown %,Profit Factor,Sharpe Ratio,Final Capital
1,17.13,cascade,both,0.9,0.4,1,"4h(0.37%)+2h(0.201%)",34,26.5,-7.16,-0.21,7.2,0.49,-0.36,92.84
2,17.13,cascade,both,0.9,0.4,1,"4h(0.37%)+2h(0.202%)",34,26.5,-7.16,-0.21,7.2,0.49,-0.36,92.84
3,17.13,cascade,both,0.9,0.4,1,"4h(0.37%)+2h(0.203%)",34,26.5,-7.16,-0.21,7.2,0.49,-0.36,92.84
4,17.13,cascade,both,0.9,0.4,1,"4h(0.37%)+2h(0.204%)",34,26.5,-7.16,-0.21,7.2,0.49,-0.36,92.84
5,17.13,cascade,both,0.9,0.4,1,"4h(0.37%)+2h(0.205%)",34,26.5,-7.16,-0.21,7.2,0.49,-0.36,92.84
6,17.13,cascade,both,0.9,0.4,1,"4h(0.37%)+2h(0.206%)",34,26.5,-7.16,-0.21,7.2,0.49,-0.36,92.84
7,17.13,cascade,both,0.9,0.4,1,"4h(0.37%)+2h(0.207%)",34,26.5,-7.16,-0.21,7.2,0.49,-0.36,92.84
8,17.13,cascade,both,0.9,0.4,1,"4h(0.37%)+2h(0.208%)",34,26.5,-7.16,-0.21,7.2,0.49,-0.36,92.84
9,17.13,cascade,both,0.9,0.4,1,"4h(0.37%)+2h(0.209%)",34,26.5,-7.16,-0.21,7.2,0.49,-0.36,92.84
10,17.13,cascade,both,0.9,0.4,1,"4h(0.37%)+2h(0.21%)",34,26.5,-7.16,-0.21,7.2,0.49,-0.36,92.84
11,17.13,cascade,both,0.9,0.4,1,"4h(0.37%)+2h(0.211%)",34,26.5,-7.16,-0.21,7.2,0.49,-0.36,92.84
12,17.13,cascade,both,0.9,0.4,1,"4h(0.37%)+2h(0.212%)",34,26.5,-7.16,-0.21,7.2,0.49,-0.36,92.84
13,17.13,cascade,both,0.9,0.4,1,"4h(0.37%)+2h(0.213%)",34,26.5,-7.16,-0.21,7.2,0.49,-0.36,92.84
14,17.13,cascade,both,0.9,0.4,1,"4h(0.37%)+2h(0.214%)",34,26.5,-7.16,-0.21,7.2,0.49,-0.36,92.84
15,17.13,cascade,both,0.9,0.4,1,"4h(0.37%)+2h(0.215%)",34,26.5,-7.16,-0.21,7.2,0.49,-0.36,92.84
16,17.13,cascade,both,0.9,0.4,1,"4h(0.37%)+2h(0.216%)",34,26.5,-7.16,-0.21,7.2,0.49,-0.36,92.84
17,17.13,cascade,both,0.9,0.4,1,"4h(0.37%)+2h(0.217%)",34,26.5,-7.16,-0.21,7.2,0.49,-0.36,92.84
18,17.13,cascade,both,0.9,0.4,1,"4h(0.37%)+2h(0.218%)",34,26.5,-7.16,-0.21,7.2,0.49,-0.36,92.84
19,17.13,cascade,both,0.9,0.4,1,"4h(0.37%)+2h(0.219%)",34,26.5,-7.16,-0.21,7.2,0.49,-0.36,92.84
20,17.13,cascade,both,0.9,0.4,1,"4h(0.37%)+2h(0.22%)",34,26.5,-7.16,-0.21,7.2,0.49,-0.36,92.84
21,17.13,cascade,both,0.9,0.4,1,"4h(0.37%)+2h(0.221%)",34,26.5,-7.16,-0.21,7.2,0.49,-0.36,92.84
22,17.13,cascade,both,0.9,0.4,1,"4h(0.37%)+2h(0.222%)",34,26.5,-7.16,-0.21,7.2,0.49,-0.36,92.84
23,17.13,cascade,both,0.9,0.4,1,"4h(0.37%)+2h(0.223%)",34,26.5,-7.16,-0.21,7.2,0.49,-0.36,92.84
24,17.13,cascade,both,0.9,0.4,1,"4h(0.37%)+2h(0.224%)",34,26.5,-7.16,-0.21,7.2,0.49,-0.36,92.84
25,17.13,cascade,both,0.9,0.4,1,"4h(0.37%)+2h(0.225%)",34,26.5,-7.16,-0.21,7.2,0.49,-0.36,92.84
26,17.13,cascade,both,0.9,0.4,1,"4h(0.37%)+2h(0.226%)",34,26.5,-7.16,-0.21,7.2,0.49,-0.36,92.84
27,17.13,cascade,both,0.9,0.4,1,"4h(0.37%)+2h(0.227%)",34,26.5,-7.16,-0.21,7.2,0.49,-0.36,92.84
28,17.13,cascade,both,0.9,0.4,1,"4h(0.37%)+2h(0.228%)",34,26.5,-7.16,-0.21,7.2,0.49,-0.36,92.84
29,17.13,cascade,both,0.9,0.4,1,"4h(0.37%)+2h(0.229%)",34,26.5,-7.16,-0.21,7.2,0.49,-0.36,92.84
30,17.13,cascade,both,0.9,0.4,1,"4h(0.37%)+2h(0.23%)",34,26.5,-7.16,-0.21,7.2,0.49,-0.36,92.84
31,17.13,cascade,both,0.9,0.4,1,"4h(0.37%)+2h(0.231%)",34,26.5,-7.16,-0.21,7.2,0.49,-0.36,92.84
32,17.13,cascade,both,0.9,0.4,1,"4h(0.37%)+2h(0.232%)",34,26.5,-7.16,-0.21,7.2,0.49,-0.36,92.84
33,17.13,cascade,both,0.9,0.4,1,"4h(0.37%)+2h(0.233%)",34,26.5,-7.16,-0.21,7.2,0.49,-0.36,92.84
34,17.13,cascade,both,0.9,0.4,1,"4h(0.37%)+2h(0.234%)",34,26.5,-7.16,-0.21,7.2,0.49,-0.36,92.84
35,17.13,cascade,both,0.9,0.4,1,"4h(0.37%)+2h(0.235%)",34,26.5,-7.16,-0.21,7.2,0.49,-0.36,92.84
36,17.13,cascade,both,0.9,0.4,1,"4h(0.37%)+2h(0.236%)",34,26.5,-7.16,-0.21,7.2,0.49,-0.36,92.84
37,17.13,cascade,both,0.9,0.4,1,"4h(0.37%)+2h(0.237%)",34,26.5,-7.16,-0.21,7.2,0.49,-0.36,92.84
38,17.13,cascade,both,0.9,0.4,1,"4h(0.37%)+2h(0.238%)",34,26.5,-7.16,-0.21,7.2,0.49,-0.36,92.84
39,17.13,cascade,both,0.9,0.4,1,"4h(0.37%)+2h(0.239%)",34,26.5,-7.16,-0.21,7.2,0.49,-0.36,92.84
40,17.13,cascade,both,0.9,0.4,1,"4h(0.37%)+2h(0.24%)",34,26.5,-7.16,-0.21,7.2,0.49,-0.36,92.84
41,17.13,cascade,both,0.9,0.4,1,"4h(0.37%)+2h(0.241%)",34,26.5,-7.16,-0.21,7.2,0.49,-0.36,92.84
42,16.78,cascade,both,0.9,0.4,1,"4h(0.37%)+2h(0.2%)",35,25.7,-7.65,-0.22,7.7,0.47,-0.37,92.35
43,16.77,cascade,both,0.9,0.4,1,"4h(0.33%)+2h(0.201%)",35,25.7,-7.65,-0.22,7.7,0.47,-0.37,92.35
44,16.77,cascade,both,0.9,0.4,1,"4h(0.33%)+2h(0.202%)",35,25.7,-7.65,-0.22,7.7,0.47,-0.37,92.35
45,16.77,cascade,both,0.9,0.4,1,"4h(0.33%)+2h(0.203%)",35,25.7,-7.65,-0.22,7.7,0.47,-0.37,92.35
46,16.77,cascade,both,0.9,0.4,1,"4h(0.33%)+2h(0.204%)",35,25.7,-7.65,-0.22,7.7,0.47,-0.37,92.35
47,16.77,cascade,both,0.9,0.4,1,"4h(0.33%)+2h(0.205%)",35,25.7,-7.65,-0.22,7.7,0.47,-0.37,92.35
48,16.77,cascade,both,0.9,0.4,1,"4h(0.33%)+2h(0.206%)",35,25.7,-7.65,-0.22,7.7,0.47,-0.37,92.35
49,16.77,cascade,both,0.9,0.4,1,"4h(0.33%)+2h(0.207%)",35,25.7,-7.65,-0.22,7.7,0.47,-0.37,92.35
50,16.77,cascade,both,0.9,0.4,1,"4h(0.33%)+2h(0.208%)",35,25.7,-7.65,-0.22,7.7,0.47,-0.37,92.35
51,16.77,cascade,both,0.9,0.4,1,"4h(0.33%)+2h(0.209%)",35,25.7,-7.65,-0.22,7.7,0.47,-0.37,92.35
52,16.77,cascade,both,0.9,0.4,1,"4h(0.33%)+2h(0.21%)",35,25.7,-7.65,-0.22,7.7,0.47,-0.37,92.35
53,16.77,cascade,both,0.9,0.4,1,"4h(0.33%)+2h(0.211%)",35,25.7,-7.65,-0.22,7.7,0.47,-0.37,92.35
54,16.77,cascade,both,0.9,0.4,1,"4h(0.33%)+2h(0.212%)",35,25.7,-7.65,-0.22,7.7,0.47,-0.37,92.35
55,16.77,cascade,both,0.9,0.4,1,"4h(0.33%)+2h(0.213%)",35,25.7,-7.65,-0.22,7.7,0.47,-0.37,92.35
56,16.77,cascade,both,0.9,0.4,1,"4h(0.33%)+2h(0.214%)",35,25.7,-7.65,-0.22,7.7,0.47,-0.37,92.35
57,16.77,cascade,both,0.9,0.4,1,"4h(0.33%)+2h(0.215%)",35,25.7,-7.65,-0.22,7.7,0.47,-0.37,92.35
58,16.77,cascade,both,0.9,0.4,1,"4h(0.33%)+2h(0.216%)",35,25.7,-7.65,-0.22,7.7,0.47,-0.37,92.35
59,16.77,cascade,both,0.9,0.4,1,"4h(0.33%)+2h(0.217%)",35,25.7,-7.65,-0.22,7.7,0.47,-0.37,92.35
60,16.77,cascade,both,0.9,0.4,1,"4h(0.33%)+2h(0.218%)",35,25.7,-7.65,-0.22,7.7,0.47,-0.37,92.35
61,16.77,cascade,both,0.9,0.4,1,"4h(0.33%)+2h(0.219%)",35,25.7,-7.65,-0.22,7.7,0.47,-0.37,92.35
62,16.77,cascade,both,0.9,0.4,1,"4h(0.33%)+2h(0.22%)",35,25.7,-7.65,-0.22,7.7,0.47,-0.37,92.35
63,16.77,cascade,both,0.9,0.4,1,"4h(0.33%)+2h(0.221%)",35,25.7,-7.65,-0.22,7.7,0.47,-0.37,92.35
