Rank,TotalReturn%,WinRate%,TotalTrades,FinalCapital,MaxDrawdown%,AvgTradeReturn%,PivotCount,TimeframeMinutes,Lookback,MinSwingPct,MinLegBars,TakeProfit%,StopLoss%,Leverage,TradeDirection
55,-1.79,39.1,23,98.21,2.95,0.12,39,15,1,0.1,2,0.9,0.4,1,short
56,-1.79,37.5,16,98.21,4.09,0.08,27,15,1,0.1,3,0.9,0.4,1,short
57,-1.79,39.1,23,98.21,2.95,0.12,39,5,0,0.1,2,0.9,0.4,1,short
58,-1.79,37.5,16,98.21,4.09,0.08,27,5,0,0.1,3,0.9,0.4,1,short
59,-1.79,39.1,23,98.21,2.95,0.12,39,5,1,0.1,2,0.9,0.4,1,short
60,-1.79,37.5,16,98.21,4.09,0.08,27,5,1,0.1,3,0.9,0.4,1,short
61,-1.89,36.8,19,98.11,2.84,0.10,33,240,0,0.3,2,0.9,0.4,1,short
62,-1.89,36.8,19,98.11,2.84,0.10,33,240,1,0.3,2,0.9,0.4,1,short
63,-1.89,36.8,19,98.11,2.84,0.10,33,60,0,0.3,2,0.9,0.4,1,short
64,-1.89,36.8,19,98.11,2.84,0.10,33,60,1,0.3,2,0.9,0.4,1,short
65,-1.89,36.8,19,98.11,2.84,0.10,33,15,0,0.3,2,0.9,0.4,1,short
66,-1.89,36.8,19,98.11,2.84,0.10,33,15,1,0.3,2,0.9,0.4,1,short
67,-1.89,36.8,19,98.11,2.84,0.10,33,5,0,0.3,2,0.9,0.4,1,short
68,-1.89,36.8,19,98.11,2.84,0.10,33,5,1,0.3,2,0.9,0.4,1,short
69,-2.23,37.5,24,97.77,4.58,0.10,25,240,2,0.1,3,0.9,0.4,1,both
70,-2.23,37.5,24,97.77,4.58,0.10,25,60,2,0.1,3,0.9,0.4,1,both
71,-2.23,37.5,24,97.77,4.58,0.10,25,15,2,0.1,3,0.9,0.4,1,both
72,-2.23,37.5,24,97.77,4.58,0.10,25,5,2,0.1,3,0.9,0.4,1,both
73,-2.49,28.6,14,97.51,4.50,0.01,33,240,0,0.3,2,0.9,0.4,1,long
74,-2.49,28.6,14,97.51,4.50,0.01,32,240,0,0.4,2,0.9,0.4,1,long
75,-2.49,28.6,14,97.51,4.50,0.01,33,240,1,0.3,2,0.9,0.4,1,long
76,-2.49,28.6,14,97.51,4.50,0.01,32,240,1,0.4,2,0.9,0.4,1,long
77,-2.49,28.6,14,97.51,4.50,0.01,33,60,0,0.3,2,0.9,0.4,1,long
78,-2.49,28.6,14,97.51,4.50,0.01,32,60,0,0.4,2,0.9,0.4,1,long
79,-2.49,28.6,14,97.51,4.50,0.01,33,60,1,0.3,2,0.9,0.4,1,long
80,-2.49,28.6,14,97.51,4.50,0.01,32,60,1,0.4,2,0.9,0.4,1,long
81,-2.49,28.6,14,97.51,4.50,0.01,33,15,0,0.3,2,0.9,0.4,1,long
82,-2.49,28.6,14,97.51,4.50,0.01,32,15,0,0.4,2,0.9,0.4,1,long
83,-2.49,28.6,14,97.51,4.50,0.01,33,15,1,0.3,2,0.9,0.4,1,long
84,-2.49,28.6,14,97.51,4.50,0.01,32,15,1,0.4,2,0.9,0.4,1,long
85,-2.49,28.6,14,97.51,4.50,0.01,33,5,0,0.3,2,0.9,0.4,1,long
86,-2.49,28.6,14,97.51,4.50,0.01,32,5,0,0.4,2,0.9,0.4,1,long
87,-2.49,28.6,14,97.51,4.50,0.01,33,5,1,0.3,2,0.9,0.4,1,long
88,-2.49,28.6,14,97.51,4.50,0.01,32,5,1,0.4,2,0.9,0.4,1,long
89,-2.56,36.4,22,97.44,2.84,0.08,36,240,0,0.2,2,0.9,0.4,1,short
90,-2.56,36.4,22,97.44,2.84,0.08,36,240,1,0.2,2,0.9,0.4,1,short
91,-2.56,36.4,22,97.44,2.84,0.08,36,60,0,0.2,2,0.9,0.4,1,short
92,-2.56,36.4,22,97.44,2.84,0.08,36,60,1,0.2,2,0.9,0.4,1,short
93,-2.56,36.4,22,97.44,2.84,0.08,36,15,0,0.2,2,0.9,0.4,1,short
94,-2.56,36.4,22,97.44,2.84,0.08,36,15,1,0.2,2,0.9,0.4,1,short
95,-2.56,36.4,22,97.44,2.84,0.08,36,5,0,0.2,2,0.9,0.4,1,short
96,-2.56,36.4,22,97.44,2.84,0.08,36,5,1,0.2,2,0.9,0.4,1,short
97,-2.60,27.3,11,97.40,3.77,-0.05,25,240,2,0.2,3,0.9,0.4,1,long
98,-2.60,27.3,11,97.40,3.77,-0.05,25,60,2,0.2,3,0.9,0.4,1,long
99,-2.60,27.3,11,97.40,3.77,-0.05,25,15,2,0.2,3,0.9,0.4,1,long
100,-2.60,27.3,11,97.40,3.77,-0.05,25,5,2,0.2,3,0.9,0.4,1,long
101,-2.62,30.8,13,97.38,2.62,-0.01,25,240,2,0.2,3,0.9,0.4,1,short
102,-2.62,30.8,13,97.38,2.62,-0.01,25,60,2,0.2,3,0.9,0.4,1,short
103,-2.62,30.8,13,97.38,2.62,-0.01,25,15,2,0.2,3,0.9,0.4,1,short
104,-2.62,30.8,13,97.38,2.62,-0.01,25,5,2,0.2,3,0.9,0.4,1,short
105,-2.67,30.8,13,97.33,2.67,-0.02,23,240,2,0.3,3,0.9,0.4,1,short
106,-2.67,30.8,13,97.33,2.67,-0.02,23,60,2,0.3,3,0.9,0.4,1,short
107,-2.67,30.8,13,97.33,2.67,-0.02,23,15,2,0.3,3,0.9,0.4,1,short
108,-2.67,30.8,13,97.33,2.67,-0.02,23,5,2,0.3,3,0.9,0.4,1,short
109,-2.97,20.0,10,97.03,3.19,-0.11,27,240,0,0.1,3,0.9,0.4,1,long
110,-2.97,20.0,10,97.03,3.19,-0.11,27,240,1,0.1,3,0.9,0.4,1,long
111,-2.97,20.0,10,97.03,3.19,-0.11,27,60,0,0.1,3,0.9,0.4,1,long
112,-2.97,20.0,10,97.03,3.19,-0.11,27,60,1,0.1,3,0.9,0.4,1,long
113,-2.97,20.0,10,97.03,3.19,-0.11,27,15,0,0.1,3,0.9,0.4,1,long
114,-2.97,20.0,10,97.03,3.19,-0.11,27,15,1,0.1,3,0.9,0.4,1,long
115,-2.97,20.0,10,97.03,3.19,-0.11,27,5,0,0.1,3,0.9,0.4,1,long
116,-2.97,20.0,10,97.03,3.19,-0.11,27,5,1,0.1,3,0.9,0.4,1,long
117,-3.02,37.9,29,96.98,4.86,0.09,53,240,0,0.4,1,0.9,0.4,1,short
118,-3.02,37.9,29,96.98,4.86,0.09,53,240,1,0.4,1,0.9,0.4,1,short
119,-3.02,37.9,29,96.98,4.86,0.09,53,60,0,0.4,1,0.9,0.4,1,short
120,-3.02,37.9,29,96.98,4.86,0.09,53,60,1,0.4,1,0.9,0.4,1,short
121,-3.02,37.9,29,96.98,4.86,0.09,53,15,0,0.4,1,0.9,0.4,1,short
122,-3.02,37.9,29,96.98,4.86,0.09,53,15,1,0.4,1,0.9,0.4,1,short
123,-3.02,37.9,29,96.98,4.86,0.09,53,5,0,0.4,1,0.9,0.4,1,short
124,-3.02,37.9,29,96.98,4.86,0.09,53,5,1,0.4,1,0.9,0.4,1,short
125,-3.23,20.0,10,96.77,4.40,-0.14,23,240,2,0.3,3,0.9,0.4,1,long
126,-3.23,20.0,10,96.77,4.40,-0.14,23,60,2,0.3,3,0.9,0.4,1,long
127,-3.23,20.0,10,96.77,4.40,-0.14,23,15,2,0.3,3,0.9,0.4,1,long
128,-3.23,20.0,10,96.77,4.40,-0.14,23,5,2,0.3,3,0.9,0.4,1,long
129,-3.37,39.5,43,96.63,5.92,0.12,76,240,0,0.1,1,0.9,0.4,1,short
130,-3.37,39.5,43,96.63,5.92,0.12,76,240,1,0.1,1,0.9,0.4,1,short
131,-3.37,39.5,43,96.63,5.92,0.12,76,60,0,0.1,1,0.9,0.4,1,short
132,-3.37,39.5,43,96.63,5.92,0.12,76,60,1,0.1,1,0.9,0.4,1,short
133,-3.37,39.5,43,96.63,5.92,0.12,76,15,0,0.1,1,0.9,0.4,1,short
134,-3.37,39.5,43,96.63,5.92,0.12,76,15,1,0.1,1,0.9,0.4,1,short
135,-3.37,39.5,43,96.63,5.92,0.12,76,5,0,0.1,1,0.9,0.4,1,short
136,-3.37,39.5,43,96.63,5.92,0.12,76,5,1,0.1,1,0.9,0.4,1,short
137,-3.44,31.6,19,96.56,5.11,0.01,35,240,2,0.1,2,0.9,0.4,1,short
138,-3.44,31.6,19,96.56,5.11,0.01,35,60,2,0.1,2,0.9,0.4,1,short
139,-3.44,31.6,19,96.56,5.11,0.01,35,15,2,0.1,2,0.9,0.4,1,short
140,-3.44,31.6,19,96.56,5.11,0.01,35,5,2,0.1,2,0.9,0.4,1,short
141,-3.77,34.4,32,96.23,4.03,0.08,32,240,0,0.4,2,0.9,0.4,1,both
142,-3.77,34.4,32,96.23,4.03,0.08,32,240,1,0.4,2,0.9,0.4,1,both
143,-3.77,34.4,32,96.23,4.03,0.08,32,60,0,0.4,2,0.9,0.4,1,both
144,-3.77,34.4,32,96.23,4.03,0.08,32,60,1,0.4,2,0.9,0.4,1,both
145,-3.77,34.4,32,96.23,4.03,0.08,32,15,0,0.4,2,0.9,0.4,1,both
146,-3.77,34.4,32,96.23,4.03,0.08,32,15,1,0.4,2,0.9,0.4,1,both
147,-3.77,34.4,32,96.23,4.03,0.08,32,5,0,0.4,2,0.9,0.4,1,both
148,-3.77,34.4,32,96.23,4.03,0.08,32,5,1,0.4,2,0.9,0.4,1,both
149,-3.81,29.4,17,96.19,3.81,-0.04,32,240,2,0.4,2,0.9,0.4,1,short
150,-3.81,29.4,17,96.19,3.81,-0.04,32,60,2,0.4,2,0.9,0.4,1,short
151,-3.81,29.4,17,96.19,3.81,-0.04,32,15,2,0.4,2,0.9,0.4,1,short
152,-3.81,29.4,17,96.19,3.81,-0.04,32,5,2,0.4,2,0.9,0.4,1,short
153,-4.06,26.7,15,95.94,5.25,-0.09,32,240,2,0.3,2,0.9,0.4,1,long
154,-4.06,26.7,15,95.94,5.25,-0.09,32,240,2,0.4,2,0.9,0.4,1,long
155,-4.06,11.1,9,95.94,4.06,-0.28,22,240,2,0.4,3,0.9,0.4,1,long
156,-4.06,26.7,15,95.94,5.25,-0.09,32,60,2,0.3,2,0.9,0.4,1,long
157,-4.06,26.7,15,95.94,5.25,-0.09,32,60,2,0.4,2,0.9,0.4,1,long
158,-4.06,11.1,9,95.94,4.06,-0.28,22,60,2,0.4,3,0.9,0.4,1,long
159,-4.06,26.7,15,95.94,5.25,-0.09,32,15,2,0.3,2,0.9,0.4,1,long
160,-4.06,26.7,15,95.94,5.25,-0.09,32,15,2,0.4,2,0.9,0.4,1,long
161,-4.06,11.1,9,95.94,4.06,-0.28,22,15,2,0.4,3,0.9,0.4,1,long
162,-4.06,26.7,15,95.94,5.25,-0.09,32,5,2,0.3,2,0.9,0.4,1,long
163,-4.06,26.7,15,95.94,5.25,-0.09,32,5,2,0.4,2,0.9,0.4,1,long
164,-4.06,11.1,9,95.94,4.06,-0.28,22,5,2,0.4,3,0.9,0.4,1,long
165,-4.16,10.0,10,95.84,4.16,-0.24,26,240,0,0.2,3,0.9,0.4,1,long
166,-4.16,10.0,10,95.84,4.16,-0.24,26,240,1,0.2,3,0.9,0.4,1,long
167,-4.16,10.0,10,95.84,4.16,-0.24,26,60,0,0.2,3,0.9,0.4,1,long
168,-4.16,10.0,10,95.84,4.16,-0.24,26,60,1,0.2,3,0.9,0.4,1,long
169,-4.16,10.0,10,95.84,4.16,-0.24,26,15,0,0.2,3,0.9,0.4,1,long
170,-4.16,10.0,10,95.84,4.16,-0.24,26,15,1,0.2,3,0.9,0.4,1,long
171,-4.16,10.0,10,95.84,4.16,-0.24,26,5,0,0.2,3,0.9,0.4,1,long
172,-4.16,10.0,10,95.84,4.16,-0.24,26,5,1,0.2,3,0.9,0.4,1,long
173,-4.26,0.0,7,95.74,4.26,-0.45,21,240,0,0.4,3,0.9,0.4,1,long
174,-4.26,0.0,7,95.74,4.26,-0.45,21,240,1,0.4,3,0.9,0.4,1,long
175,-4.26,27.8,18,95.74,5.11,-0.05,35,240,2,0.2,2,0.9,0.4,1,short
