Rank,Score,Trading Mode,Direction,Take Profit,Stop Loss,Leverage,Timeframes,Total Trades,Win Rate %,Total PnL,Avg PnL,Max Drawdown %,Profit Factor,Sharpe Ratio,Final Capital
1,14.26,cascade,both,0.9,0.4,1,"4h(0.2%)+2h(0.1%)",62,22.6,-14.51,-0.23,15.3,0.42,-0.43,85.49
2,14.26,cascade,both,0.9,0.4,1,"4h(0.2%)+2h(0.2%)",62,22.6,-14.51,-0.23,15.3,0.42,-0.43,85.49
3,14.22,cascade,both,0.9,0.4,1,"4h(0.1%)+2h(0.1%)",66,22.7,-15.14,-0.23,15.9,0.43,-0.42,84.86
4,14.22,cascade,both,0.9,0.4,1,"4h(0.1%)+2h(0.2%)",66,22.7,-15.14,-0.23,15.9,0.43,-0.42,84.86
