Rank,Score,Trading Mode,Direction,Take Profit,Stop Loss,Leverage,Timeframes,Total Trades,Win Rate %,Total PnL,Avg PnL,Max Drawdown %,Profit Factor,Sharpe Ratio,Final Capital
1,14.86,cascade,both,0.9,0.4,1,"4h(0.169%)",62,24.2,-13.80,-0.22,14.9,0.45,-0.40,86.20
2,14.86,cascade,both,0.9,0.4,1,"4h(0.17%)",62,24.2,-13.80,-0.22,14.9,0.45,-0.40,86.20
3,14.86,cascade,both,0.9,0.4,1,"4h(0.171%)",62,24.2,-13.80,-0.22,14.9,0.45,-0.40,86.20
4,14.86,cascade,both,0.9,0.4,1,"4h(0.172%)",62,24.2,-13.80,-0.22,14.9,0.45,-0.40,86.20
5,14.86,cascade,both,0.9,0.4,1,"4h(0.173%)",62,24.2,-13.80,-0.22,14.9,0.45,-0.40,86.20
6,14.86,cascade,both,0.9,0.4,1,"4h(0.174%)",62,24.2,-13.80,-0.22,14.9,0.45,-0.40,86.20
7,14.86,cascade,both,0.9,0.4,1,"4h(0.175%)",62,24.2,-13.80,-0.22,14.9,0.45,-0.40,86.20
8,14.86,cascade,both,0.9,0.4,1,"4h(0.176%)",62,24.2,-13.80,-0.22,14.9,0.45,-0.40,86.20
9,14.86,cascade,both,0.9,0.4,1,"4h(0.177%)",62,24.2,-13.80,-0.22,14.9,0.45,-0.40,86.20
10,14.86,cascade,both,0.9,0.4,1,"4h(0.178%)",62,24.2,-13.80,-0.22,14.9,0.45,-0.40,86.20
11,14.86,cascade,both,0.9,0.4,1,"4h(0.179%)",62,24.2,-13.80,-0.22,14.9,0.45,-0.40,86.20
12,14.86,cascade,both,0.9,0.4,1,"4h(0.18%)",62,24.2,-13.80,-0.22,14.9,0.45,-0.40,86.20
13,14.86,cascade,both,0.9,0.4,1,"4h(0.181%)",62,24.2,-13.80,-0.22,14.9,0.45,-0.40,86.20
14,14.86,cascade,both,0.9,0.4,1,"4h(0.182%)",62,24.2,-13.80,-0.22,14.9,0.45,-0.40,86.20
15,14.86,cascade,both,0.9,0.4,1,"4h(0.183%)",62,24.2,-13.80,-0.22,14.9,0.45,-0.40,86.20
16,14.86,cascade,both,0.9,0.4,1,"4h(0.184%)",62,24.2,-13.80,-0.22,14.9,0.45,-0.40,86.20
17,14.86,cascade,both,0.9,0.4,1,"4h(0.185%)",62,24.2,-13.80,-0.22,14.9,0.45,-0.40,86.20
18,14.86,cascade,both,0.9,0.4,1,"4h(0.186%)",62,24.2,-13.80,-0.22,14.9,0.45,-0.40,86.20
19,14.86,cascade,both,0.9,0.4,1,"4h(0.187%)",62,24.2,-13.80,-0.22,14.9,0.45,-0.40,86.20
20,14.86,cascade,both,0.9,0.4,1,"4h(0.188%)",62,24.2,-13.80,-0.22,14.9,0.45,-0.40,86.20
21,14.86,cascade,both,0.9,0.4,1,"4h(0.189%)",62,24.2,-13.80,-0.22,14.9,0.45,-0.40,86.20
22,14.86,cascade,both,0.9,0.4,1,"4h(0.19%)",62,24.2,-13.80,-0.22,14.9,0.45,-0.40,86.20
23,14.86,cascade,both,0.9,0.4,1,"4h(0.191%)",62,24.2,-13.80,-0.22,14.9,0.45,-0.40,86.20
24,14.75,cascade,both,0.9,0.4,1,"4h(0.109%)",63,23.8,-14.17,-0.22,15.0,0.45,-0.40,85.83
25,14.75,cascade,both,0.9,0.4,1,"4h(0.11%)",63,23.8,-14.17,-0.22,15.0,0.45,-0.40,85.83
26,14.75,cascade,both,0.9,0.4,1,"4h(0.111%)",63,23.8,-14.17,-0.22,15.0,0.45,-0.40,85.83
