combination_id,take_profit,stop_loss,leverage,trading_mode,max_candles,minimum_timeframes,tf1_interval,tf1_role,tf1_min_swing_pct,tf1_lookback,tf1_min_leg_bars,tf1_weight,tf1_opposite,initial_capital,final_capital,total_return_pct,total_trades,winning_trades,losing_trades,win_rate_pct,total_signals,confirmed_signals,confirmation_rate_pct,execution_rate_pct,signals_per_day,trades_per_day,avg_trade_duration_hours,max_drawdown_pct,sharpe_ratio,profit_factor,avg_win_pct,avg_loss_pct,largest_win_pct,largest_loss_pct,consecutive_wins,consecutive_losses,total_fees,net_profit,roi_annualized_pct,execution_time_ms,error_message
1,0.9,0.4,1,pivot,20160,1,4h,primary,0.1,1,1,1,false,100,90.3145422858064,-9.685457714193603,42,12,29,28.57142857142857,70,70,100,60,5.000248028176,3.0001488169056003,5.000406504065039,0,0,0.4809641023022309,0.9479183192588229,0.4434647429413595,1.1164577919634517,-0.7237163814180929,0,0,0,-9.685457714193603,-252.52624508061697,2920,
2,0.9,0.4,1,pivot,20160,1,4h,primary,0.2,1,1,1,false,100,92.94289924156134,-7.057100758438666,38,12,25,31.57894736842105,57,57,100,66.66666666666666,4.071630537229029,2.7144203581526862,5.185585585585585,0,0,0.5598148904243533,0.9479183192588229,0.44128482358178006,1.1164577919634517,-0.7237163814180929,0,0,0,-7.057100758438665,-183.99782522125912,2384,
3,0.9,0.4,1,pivot,20160,1,4h,primary,0.3,1,1,1,false,100,91.72628894871357,-8.273711051286426,31,8,22,25.806451612903224,39,39,100,79.48717948717949,2.7858524728409146,2.214395555335086,4.482777777777778,0,0,0.4187073243701257,0.944948190931074,0.4469680263061358,1.1164577919634517,-0.7237163814180929,0,0,0,-8.273711051286426,-215.71816700015603,2091,
4,0.9,0.4,1,pivot,20160,1,4h,primary,0.4,1,1,1,false,100,89.24839529430812,-10.751604705691875,28,5,22,17.857142857142858,31,31,100,90.32258064516128,2.214395555335086,2.0000992112704004,3.716049382716049,0,0,0.25196361779244403,0.9242998557705773,0.4533229083883974,0.9422121502658415,-0.7237163814180929,0,0,0,-10.751604705691875,-280.32359905311023,3305,
