Rank,TotalReturn%,WinRate%,TotalTrades,FinalCapital,MaxDrawdown%,AvgTradeReturn%,PivotCount,TimeframeMinutes,Lookback,MinSwingPct,MinLegBars,TakeProfit%,StopLoss%,Leverage,TradeDirection
1,3.73,52.0,25,103.73,2.70,0.27,52,240,1,0.4,1,0.9,0.4,1,long
2,3.47,50.0,28,103.47,3.23,0.24,62,240,1,0.30000000000000004,1,0.9,0.4,1,long
3,1.81,45.2,31,101.81,3.23,0.18,69,240,1,0.2,1,0.9,0.4,1,long
4,0.77,41.9,62,100.77,3.82,0.13,62,240,1,0.30000000000000004,1,0.9,0.4,1,both
5,-1.10,38.9,36,98.90,4.46,0.09,76,240,1,0.1,1,0.9,0.4,1,long
6,-1.71,39.1,69,98.29,4.65,0.10,69,240,1,0.2,1,0.9,0.4,1,both
7,-1.94,38.5,52,98.06,3.32,0.08,52,240,1,0.4,1,0.9,0.4,1,both
8,-2.60,35.3,34,97.40,3.38,0.04,62,240,1,0.30000000000000004,1,0.9,0.4,1,short
9,-3.19,35.0,40,96.81,5.11,0.04,76,240,1,0.1,1,0.9,0.4,1,short
10,-3.46,34.2,38,96.54,4.60,0.03,69,240,1,0.2,1,0.9,0.4,1,short
11,-4.26,36.8,76,95.74,6.37,0.06,76,240,1,0.1,1,0.9,0.4,1,both
12,-5.46,25.9,27,94.54,6.21,-0.09,52,240,1,0.4,1,0.9,0.4,1,short
