Rank,Score,Trading Mode,Direction,Take Profit,Stop Loss,Leverage,Timeframes,Detailed Timeframes,Total Trades,Win Rate %,Total PnL,Avg PnL,Max Drawdown %,Profit Factor,Sharpe Ratio,Final Capital
1,8.52,cascade,both,0.9,0.4,80,"4h(0.7%,L1,B4,OF)","4h: swing=0.7%, lookback=1, minLegBars=4, opposite=false",33,30.3,-99.52,-3.02,99.6,0.37,-0.30,0.48
2,7.68,cascade,both,0.9,0.4,80,"4h(0.1%,L2,B4,OF)","4h: swing=0.1%, lookback=2, minLegBars=4, opposite=false",42,28.6,-99.91,-2.38,100.0,0.29,-0.33,0.09
3,7.21,cascade,both,0.9,0.4,80,"4h(0.1%,L4,B2,OF)","4h: swing=0.1%, lookback=4, minLegBars=2, opposite=false",61,27.9,-100.00,-1.64,100.0,0.24,-0.26,0.00
4,7.21,cascade,both,0.9,0.4,80,"4h(0.2%,L4,B2,OF)","4h: swing=0.2%, lookback=4, minLegBars=2, opposite=false",61,27.9,-100.00,-1.64,100.0,0.24,-0.26,0.00
5,7.21,cascade,both,0.9,0.4,80,"4h(0.3%,L4,B2,OF)","4h: swing=0.3%, lookback=4, minLegBars=2, opposite=false",61,27.9,-100.00,-1.64,100.0,0.24,-0.26,0.00
6,7.21,cascade,both,0.9,0.4,80,"4h(0.4%,L4,B2,OF)","4h: swing=0.4%, lookback=4, minLegBars=2, opposite=false",61,27.9,-100.00,-1.64,100.0,0.24,-0.26,0.00
7,7.21,cascade,both,0.9,0.4,80,"4h(0.5%,L4,B2,OF)","4h: swing=0.5%, lookback=4, minLegBars=2, opposite=false",61,27.9,-100.00,-1.64,100.0,0.24,-0.26,0.00
8,7.20,cascade,both,0.9,0.4,80,"4h(0.2%,L2,B4,OF)","4h: swing=0.2%, lookback=2, minLegBars=4, opposite=false",42,26.2,-99.97,-2.38,100.0,0.29,-0.33,0.03
9,7.20,cascade,both,0.9,0.4,80,"4h(0.3%,L2,B4,OF)","4h: swing=0.3%, lookback=2, minLegBars=4, opposite=false",42,26.2,-99.97,-2.38,100.0,0.29,-0.33,0.03
10,7.14,cascade,both,0.9,0.4,80,"4h(0.4%,L2,B4,OF)","4h: swing=0.4%, lookback=2, minLegBars=4, opposite=false",42,26.2,-99.97,-2.38,100.0,0.29,-0.33,0.03
