Rank,Score,Trading Mode,Direction,Take Profit,Stop Loss,Leverage,Timeframes,Detailed Timeframes,Total Trades,Win Rate %,Total PnL,Avg PnL,Max Drawdown %,Profit Factor,Sharpe Ratio,Final Capital
1,34.75,cascade,both,0.9,0.4,1,"4h(0.2%,L1,B1)+2h(0.2%,L3,B2)","4h: swing=0.2%, lookback=1, minLegBars=1 | 2h: swing=0.2%, lookback=3, minLegBars=2",20,45.0,1.73,0.09,2.3,1.30,0.12,101.73
2,22.93,cascade,both,0.9,0.4,1,"4h(0.2%,L1,B1)+2h(0.2%,L2,B2)","4h: swing=0.2%, lookback=1, minLegBars=1 | 2h: swing=0.2%, lookback=2, minLegBars=2",27,37.0,-0.83,-0.03,2.7,0.91,-0.05,99.17
3,22.48,cascade,both,0.9,0.4,1,"4h(0.2%,L1,B1)+2h(0.2%,L3,B4)","4h: swing=0.2%, lookback=1, minLegBars=1 | 2h: swing=0.2%, lookback=3, minLegBars=4",11,36.4,-0.59,-0.05,2.2,0.85,-0.08,99.41
4,20.08,cascade,both,0.9,0.4,1,"4h(0.2%,L1,B1)+2h(0.2%,L4,B2)","4h: swing=0.2%, lookback=1, minLegBars=1 | 2h: swing=0.2%, lookback=4, minLegBars=2",28,32.1,-3.16,-0.11,5.0,0.70,-0.17,96.84
5,19.63,cascade,both,0.9,0.4,1,"4h(0.2%,L1,B1)+2h(0.2%,L1,B3)","4h: swing=0.2%, lookback=1, minLegBars=1 | 2h: swing=0.2%, lookback=1, minLegBars=3",17,29.4,-2.13,-0.13,3.1,0.66,-0.20,97.87
6,19.40,cascade,both,0.9,0.4,1,"4h(0.2%,L1,B1)+2h(0.2%,L1,B2)","4h: swing=0.2%, lookback=1, minLegBars=1 | 2h: swing=0.2%, lookback=1, minLegBars=2",23,30.4,-3.36,-0.15,4.1,0.62,-0.24,96.64
7,19.24,cascade,both,0.9,0.4,1,"4h(0.2%,L1,B1)+2h(0.2%,L2,B5)","4h: swing=0.2%, lookback=1, minLegBars=1 | 2h: swing=0.2%, lookback=2, minLegBars=5",14,28.6,-2.25,-0.16,2.6,0.61,-0.25,97.75
8,18.40,cascade,both,0.9,0.4,1,"4h(0.2%,L1,B1)+2h(0.2%,L5,B2)","4h: swing=0.2%, lookback=1, minLegBars=1 | 2h: swing=0.2%, lookback=5, minLegBars=2",31,29.0,-4.87,-0.16,6.9,0.60,-0.25,95.13
9,17.67,cascade,both,0.9,0.4,1,"4h(0.2%,L1,B1)+2h(0.2%,L3,B3)","4h: swing=0.2%, lookback=1, minLegBars=1 | 2h: swing=0.2%, lookback=3, minLegBars=3",20,25.0,-3.79,-0.19,3.8,0.51,-0.32,96.21
10,17.42,cascade,both,0.9,0.4,1,"4h(0.2%,L1,B1)+2h(0.2%,L3,B5)","4h: swing=0.2%, lookback=1, minLegBars=1 | 2h: swing=0.2%, lookback=3, minLegBars=5",12,25.0,-2.85,-0.24,3.2,0.46,-0.39,97.15
11,16.80,cascade,both,0.9,0.4,1,"4h(0.2%,L1,B1)+2h(0.2%,L5,B1)","4h: swing=0.2%, lookback=1, minLegBars=1 | 2h: swing=0.2%, lookback=5, minLegBars=1",42,26.2,-8.17,-0.19,9.2,0.51,-0.33,91.83
12,16.61,cascade,both,0.9,0.4,1,"4h(0.2%,L1,B1)+2h(0.2%,L4,B1)","4h: swing=0.2%, lookback=1, minLegBars=1 | 2h: swing=0.2%, lookback=4, minLegBars=1",46,26.1,-8.94,-0.19,10.0,0.51,-0.33,91.06
13,16.44,cascade,both,0.9,0.4,1,"4h(0.2%,L1,B1)+2h(0.2%,L5,B5)","4h: swing=0.2%, lookback=1, minLegBars=1 | 2h: swing=0.2%, lookback=5, minLegBars=5",13,23.1,-3.56,-0.27,3.9,0.39,-0.48,96.44
14,16.36,cascade,both,0.9,0.4,1,"4h(0.2%,L1,B1)+2h(0.2%,L1,B4)","4h: swing=0.2%, lookback=1, minLegBars=1 | 2h: swing=0.2%, lookback=1, minLegBars=4",9,22.2,-2.48,-0.28,3.3,0.39,-0.49,97.52
15,16.02,cascade,both,0.9,0.4,1,"4h(0.2%,L1,B1)+2h(0.2%,L3,B1)","4h: swing=0.2%, lookback=1, minLegBars=1 | 2h: swing=0.2%, lookback=3, minLegBars=1",48,25.0,-9.91,-0.21,11.0,0.48,-0.36,90.09
16,15.99,cascade,both,0.9,0.4,1,"4h(0.2%,L1,B1)+2h(0.2%,L4,B5)","4h: swing=0.2%, lookback=1, minLegBars=1 | 2h: swing=0.2%, lookback=4, minLegBars=5",14,21.4,-4.15,-0.30,4.2,0.38,-0.49,95.85
17,15.97,cascade,both,0.9,0.4,1,"4h(0.2%,L1,B1)+2h(0.2%,L1,B1)","4h: swing=0.2%, lookback=1, minLegBars=1 | 2h: swing=0.2%, lookback=1, minLegBars=1",38,23.7,-8.62,-0.23,8.6,0.44,-0.40,91.38
18,15.84,cascade,both,0.9,0.4,1,"4h(0.2%,L1,B1)+2h(0.2%,L2,B1)","4h: swing=0.2%, lookback=1, minLegBars=1 | 2h: swing=0.2%, lookback=2, minLegBars=1",49,24.5,-10.39,-0.21,11.0,0.47,-0.37,89.61
19,15.82,cascade,both,0.9,0.4,1,"4h(0.2%,L1,B1)+2h(0.2%,L4,B4)","4h: swing=0.2%, lookback=1, minLegBars=1 | 2h: swing=0.2%, lookback=4, minLegBars=4",14,21.4,-4.04,-0.29,4.8,0.37,-0.50,95.96
20,15.50,cascade,both,0.9,0.4,1,"4h(0.2%,L1,B1)+2h(0.2%,L2,B4)","4h: swing=0.2%, lookback=1, minLegBars=1 | 2h: swing=0.2%, lookback=2, minLegBars=4",19,21.1,-5.00,-0.26,6.5,0.39,-0.48,95.00
21,14.79,cascade,both,0.9,0.4,1,"4h(0.2%,L1,B1)+2h(0.2%,L5,B3)","4h: swing=0.2%, lookback=1, minLegBars=1 | 2h: swing=0.2%, lookback=5, minLegBars=3",21,19.0,-6.43,-0.31,6.7,0.35,-0.54,93.57
22,14.65,cascade,both,0.9,0.4,1,"4h(0.2%,L1,B1)+2h(0.2%,L5,B4)","4h: swing=0.2%, lookback=1, minLegBars=1 | 2h: swing=0.2%, lookback=5, minLegBars=4",16,18.8,-5.38,-0.34,5.6,0.30,-0.62,94.62
23,12.85,cascade,both,0.9,0.4,1,"4h(0.2%,L1,B1)+2h(0.2%,L2,B3)","4h: swing=0.2%, lookback=1, minLegBars=1 | 2h: swing=0.2%, lookback=2, minLegBars=3",22,13.6,-7.41,-0.34,7.4,0.24,-0.73,92.59
24,12.75,cascade,both,0.9,0.4,1,"4h(0.2%,L1,B1)+2h(0.2%,L4,B3)","4h: swing=0.2%, lookback=1, minLegBars=1 | 2h: swing=0.2%, lookback=4, minLegBars=3",22,13.6,-7.74,-0.35,7.7,0.24,-0.74,92.26
25,12.19,cascade,both,0.9,0.4,1,"4h(0.2%,L1,B1)+2h(0.2%,L1,B5)","4h: swing=0.2%, lookback=1, minLegBars=1 | 2h: swing=0.2%, lookback=1, minLegBars=5",10,10.0,-4.41,-0.44,4.4,0.16,-1.02,95.59
